nid,title,field_analysis_country,field_total_pop,field_children_percent,field_old_percent,field_infant,field_maternal,field_life_expectancy,field_pop_cover,field_pop_affiliated,field_coverage_unemploy,field_coverage_work_injury,field_coverage_maternity,field_total_expenditure,field_gdp
35,Armenia,50001,2957728,20.76600688,11.48357794,11.7888,26,75.087,54.4,63.2,0,53.2,61.6,6.8,4604.772
36,Bangladesh,50002,163046173,27.21436522,5.180355874,30.75386,173,72.591,28.4,,0,12.5,20.9,0.7,1816.035
37,Bhutan,50003,763094,25.33999743,6.093613631,28.49251,183,71.777,8.8,,0,28.4,10.4,1,3356.779
38,Cambodia,50004,16486542,31.09921413,4.717763131,26.59038,160,69.823,6.2,31.4,0,17.2,,0.9,1620.468
39,Cook Islands,50005,,,,,,,,,,,,,
40,Georgia,50006,3996762,20.03149049,15.06094183,9.58488,25,73.767,97.1,90,0,48.9,26,7.1,4765.085
41,India,50007,1366417756,26.61826798,6.377918145,34.27476,145,69.656,24.4,20.2,0,3.7,41.5,1.4,2097.782
42,Indonesia,50008,270625567,26.21512401,6.050296793,23.88126,177,71.716,27.8,81.3,0,22.5,28.4,1.3,4196.67
43,Kiribati,50009,117608,35.83939868,4.08135501,50.88481,92,68.369,21,,0,,,10.8,1672.376
44,Kyrgyzstan,50010,6415851,32.50173671,4.600247107,18.31171,60,71.6,41.7,73.6,2.7,64.6,65.1,10.3,1323.465
45,Maldives,50011,530957,19.85923531,3.632309208,7.61741,53,78.921,21.2,,0,,26.2,2.9,15504.711
46,Mongolia,50012,3225166,30.79829069,4.189365757,15.63088,45,69.87,100,92.1,28.8,76,100,15.9,4201.823
47,Nepal,50013,28608715,29.55735341,5.782612047,30.79219,186,70.778,17,10.9,0,4.5,9.8,2.1,1078.556
48,Pakistan,50014,216565317,35.054373,4.322409114,67.24191,140,67.273,9.2,8.4,0,2.7,,0.01,1348.676
49,Philippines,50015,108116622,30.47588464,5.314993101,27.27829,121,71.231,36.7,90.4,0,27.8,12.4,2.6,3511.935
50,Sri Lanka,50016,21323734,23.95624988,10.83901628,7.10703,36,76.978,36.4,100,0,58,29.4,3.2,3852.484
51,Thailand,50017,69625581,16.82348906,12.40631084,,37,77.15,68,98,61,31,40,2.9,7806.961
52,Türkiye,50018,83429607,24.29100739,8.726025762,,17,77.691,79.8,99.2,18.3,60.3,,9.9,9150.862
53,Viet Nam,50019,96462108,23.21384268,7.553651015,,43,75.4,38.8,90.2,66.6,26.2,44,2.7,3416.232
100,Simulation Country,50020,16486542,31.09921413,4.717763131,26.59038,160,69.823,6.2,31.4,0,17.2,,0.9,1620.468
101,Myanmar,50021,54045422,25.91433739,6.011761736,44.66096,250,67,6.3,2.5,0,8.5,1.6,0.8,1299.221
102,Lao,50022,7169456,32.3030785,4.163830561,45.52026,185,68,12.1,93.6,7.6,8,12.7,0.7,2660.753
103,Marshall Islands,50023,58791,,,31.81002,,,25.2,,0,,,3.4,4325.683
104,Micronesia,50024,113811,35799,4768,29.4,88,,19.4,,0,,,0.4,4044.881
