tid,name,weight,field_title,field_x_label,field_y_label,field_insight,field_pmt_insight,field_insight2,field_information,field_paragraph
170001,section1,1,Poverty reduction by scheme and national and international poverty lines,Poverty Reduction (% change),Poverty Line,"<p>The figure shows the simulated change in poverty rates by selected scheme(s) at different poverty lines.</p>
<p><b>Poverty rate</b> measured at <u>national poverty line</u> would decrease by <b>[[value]]%</b> for the whole population following the selected schemes.</p>
<p>The reduction in poverty ranges from Y% in [Scheme with smallest reduction] at IPL [T1] to Z% in [Scheme with largest reduction] at IPL [T2]. See the information tab below for data source and methodology.</p>",,,,
170002,section2,2,Simulated change in inequality by scheme and inequality metric,Inequality reduction impact (% change),Inequality Metric,"<p><b>Inequality</b> as measured by Gini coefficient would decrease by [[value]]%.</p>
<p>Simulated impact on inequality is modest and similar across different measures. <b>[[maxValScheme]]</b> contributes to reduction in inequality the most.</p>",,,,
170003,section3,3,"Cost as % GDP, by scheme",Year,Cost as % of GDP,"<p>The <b>cost</b> of the scheme(s) would be <b>[[value]]%</b>, [[compare_text]] Asia-Pacific average of 1.3% in tax financed non-contributory social protection schemes.</p>
<p>The total cost is set to decrease over time with old-age benefits becoming increasingly more important relative to child benefits.</p>",,,,
170004,section4,4,Simulated coverage of scheme(s) (% recipient population),Coverage (%),Schemes,"<p>The scheme(s) would provide <b>coverage</b> by <b>[[value]]%</b> of the whole population in <b>[[country]]</b>.</p>
<p>All children (0-17), older persons (65+) and persons with severe disabilities are covered. <b>[[maxValScheme]]</b> penetrates <b>[[maxVal]]%</b> of households in <b>[[country]]</b>.</p>",,,,
170005,section5,5,Simulated change in household expenditure per capita (% change),Increase in per capita consumption expenditure (%),Schemes,The scheme(s) would boost household expenditure per capita by [[value]]% among the bottom 10%.,,,,
170006,poverty0,6,Poverty reduction by scheme and national and international poverty lines,Poverty Reduction (% change),Poverty Line,<p>The figure shows the simulated change in poverty rates by selected scheme(s) at different poverty lines. <b>Poverty rate</b> measured at <u>national poverty line</u> would decrease by <b>[[20022_labelIdValue]]%</b> for the whole population following the <b>[[selected_schemes]]</b>. The reduction in poverty ranges from <b>[[minVal]]%</b> in <b>[[minValScheme]]</b> at <b>[[minValLabel]]</b> to <b>[[maxVal]]%</b> in <b>[[maxValScheme]]</b> at <b>[[maxValLabel]]</b>. See the information tab below for data source and methodology.</p>,,,"<p>Data source is <b>[[country]]</b> obtained from <b>[[country_source]]</b>.</p>
<p>Change in poverty is calculated by dividing the difference between poverty rates after and before introducing the selected scheme(s) by the poverty rate before scheme was introduced. In countries where schemes similar to selected scheme(s) are captured by the household survey, poverty rates under hypothetical before and after scenarios are computed by removing these benefits to avoid double counting. For countries with existing schemes, see data table for poverty rates under different scenarios including poverty rates in the presence of existing schemes.</p>
<p>Four poverty lines are used in the analysis: national poverty line set by the country, as well as international poverty lines reflecting extreme poverty ($1.9), moderate poverty ($3.2) and near poverty ($5.5). While extreme poverty is more relevant for low income developing countries, higher poverty thresholds relate more to lower-middle income and upper-middle income countries.</p>
",
170007,poverty1,7,,Poverty Reduction (% change),Poverty Line,"The ﬁgure shows the simulated change in poverty rates for the whole population, indicating the change in the share of the total population living below national and international poverty lines after the introduction of <b>[[selected_schemes]]</b>.",,,"<p>Data source is <b>[[country]]</b> obtained from <b>[[country_source]]</b>.</p>
<p>Change in poverty is calculated by dividing the difference between poverty rates after and before introducing the selected scheme(s) by the poverty rate before scheme was introduced. In countries where schemes similar to selected scheme(s) are captured by the household survey, poverty rates under hypothetical before and after scenarios are computed by removing these benefits to avoid double counting. For countries with existing schemes, see data table for poverty rates under different scenarios including poverty rates in the presence of existing schemes.</p>
<p>Four poverty lines are used in the analysis: national poverty line set by the country, as well as international poverty lines reflecting extreme poverty ($1.9), moderate poverty ($3.2) and near poverty ($5.5). While extreme poverty is more relevant for low income developing countries, higher poverty thresholds relate more to lower-middle income and upper-middle income countries.</p>
",
170008,poverty2,8,,Poverty Reduction (% change),Poverty Line,"The ﬁgure shows the simulated change in poverty rates among recipient households, indicating the change in the share of recipient households living below national and international poverty lines after the introduction of <b>[[selected_schemes]]</b>.",,,"<p>Data source is <b>[[country]]</b> obtained from <b>[[country_source]]</b>.</p>
<p>Change in poverty is calculated by dividing the difference between poverty rates after and before introducing the selected scheme(s) by the poverty rate before scheme was introduced. In countries where schemes similar to selected scheme(s) are captured by the household survey, poverty rates under hypothetical before and after scenarios are computed by removing these benefits to avoid double counting. For countries with existing schemes, see data table for poverty rates under different scenarios including poverty rates in the presence of existing schemes.</p>
<p>Four poverty lines are used in the analysis: national poverty line set by the country, as well as international poverty lines reflecting extreme poverty ($1.9), moderate poverty ($3.2) and near poverty ($5.5). While extreme poverty is more relevant for low income developing countries, higher poverty thresholds relate more to lower-middle income and upper-middle income countries.</p>
",
170009,poverty3,9,,Poverty Reduction (% change),Poverty Line,"The ﬁgure shows the simulated change in the poverty gap index for the whole population, indicating the change in the average percentage shortfall in income from the poverty line after the introduction of <b>[[selected_schemes]]</b>",,,"<p>Data source is <b>[[country]]</b> obtained from <b>[[country_source]]</b>.</p>
<p>Change in poverty is calculated by dividing the difference between poverty rates after and before introducing the selected scheme(s) by the poverty rate before scheme was introduced. In countries where schemes similar to selected scheme(s) are captured by the household survey, poverty rates under hypothetical before and after scenarios are computed by removing these benefits to avoid double counting. For countries with existing schemes, see data table for poverty rates under different scenarios including poverty rates in the presence of existing schemes.</p>
<p>Four poverty lines are used in the analysis: national poverty line set by the country, as well as international poverty lines reflecting extreme poverty ($1.9), moderate poverty ($3.2) and near poverty ($5.5). While extreme poverty is more relevant for low income developing countries, higher poverty thresholds relate more to lower-middle income and upper-middle income countries.</p>
",
170010,poverty4,10,,Poverty Reduction (% change),Poverty Line,"The ﬁgure shows the simulated change in poverty gap index among recipient households, indicating the change in the average percentage shortfall in income from poverty line after the introduction of <b>[[selected_schemes]]</b>.",,,"<p>Data source is <b>[[country]]</b> obtained from <b>[[country_source]]</b>.</p>
<p>Change in poverty is calculated by dividing the difference between poverty rates after and before introducing the selected scheme(s) by the poverty rate before scheme was introduced. In countries where schemes similar to selected scheme(s) are captured by the household survey, poverty rates under hypothetical before and after scenarios are computed by removing these benefits to avoid double counting. For countries with existing schemes, see data table for poverty rates under different scenarios including poverty rates in the presence of existing schemes.</p>
<p>Four poverty lines are used in the analysis: national poverty line set by the country, as well as international poverty lines reflecting extreme poverty ($1.9), moderate poverty ($3.2) and near poverty ($5.5). While extreme poverty is more relevant for low income developing countries, higher poverty thresholds relate more to lower-middle income and upper-middle income countries.</p>
",
