id,country,childbenefit,disabilitybenefit,oldagebenefit,childPercentage,disabilityPercentage,oldagePercentage,scheme_id,benefit_level,childmeansA,disabmeansA,oldmeansA,childcovA,disabcovA,oldcovA,poverty_mean_tested,special_cov,pension_tested
1,Cambodia,TRUE,FALSE,FALSE,5,0,0,70001,Other benefit,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
2,Cambodia,FALSE,TRUE,FALSE,0,17,0,70002,Other benefit,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
3,Cambodia,FALSE,FALSE,TRUE,0,0,17,70003,Other benefit,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
4,Cambodia,TRUE,TRUE,TRUE,5,17,17,70001_70002_70003,Other benefit,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
5,Cambodia,TRUE,FALSE,FALSE,4,0,0,70001,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
6,Cambodia,FALSE,TRUE,FALSE,0,14,0,70002,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
7,Cambodia,FALSE,FALSE,TRUE,0,0,16,70003,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
8,Cambodia,TRUE,FALSE,FALSE,4,0,0,70001,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
9,Cambodia,FALSE,TRUE,FALSE,0,23,0,70002,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
10,Cambodia,FALSE,FALSE,TRUE,0,0,22,70003,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
11,Cambodia,TRUE,TRUE,TRUE,4,14,16,70001_70002_70003,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
12,Cambodia,TRUE,TRUE,TRUE,4,23,22,70001_70002_70003,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
17,Cambodia,TRUE,TRUE,FALSE,5,17,0,70001_70002,Other benefit,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
18,Cambodia,FALSE,TRUE,TRUE,0,17,17,70002_70003,Other benefit,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
19,Cambodia,TRUE,FALSE,TRUE,5,0,17,70001_70003,Other benefit,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
20,Cambodia,TRUE,TRUE,FALSE,4,14,0,70001_70002,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
21,Cambodia,TRUE,FALSE,TRUE,4,0,16,70001_70003,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
22,Cambodia,FALSE,TRUE,TRUE,0,14,16,70002_70003,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
23,Cambodia,TRUE,TRUE,FALSE,4,23,0,70001_70002,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
24,Cambodia,TRUE,FALSE,TRUE,4,0,22,70001_70003,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
25,Cambodia,FALSE,TRUE,TRUE,0,23,22,70002_70003,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
26,Cambodia,TRUE,FALSE,FALSE,4,0,0,70001,Basic,TRUE,FALSE,FALSE,40,0,0,40%,FALSE,FALSE
27,Cambodia,FALSE,TRUE,FALSE,0,14,0,70002,Basic,FALSE,TRUE,FALSE,0,40,0,40%,FALSE,FALSE
28,Cambodia,FALSE,FALSE,TRUE,0,0,16,70003,Basic,FALSE,FALSE,TRUE,0,0,40,40%,FALSE,FALSE
29,Cambodia,TRUE,FALSE,FALSE,4,0,0,70001,Enhanced,TRUE,FALSE,FALSE,40,0,0,40%,FALSE,FALSE
30,Cambodia,FALSE,TRUE,FALSE,0,23,0,70002,Enhanced,FALSE,TRUE,FALSE,0,40,0,40%,FALSE,FALSE
31,Cambodia,FALSE,FALSE,TRUE,0,0,22,70003,Enhanced,FALSE,FALSE,TRUE,0,0,40,40%,FALSE,FALSE
32,Cambodia,TRUE,TRUE,TRUE,4,14,16,70001_70002_70003,Basic,TRUE,TRUE,TRUE,40,40,40,40%,FALSE,FALSE
33,Cambodia,TRUE,TRUE,TRUE,4,23,22,70001_70002_70003,Enhanced,TRUE,TRUE,TRUE,40,40,40,40%,FALSE,FALSE
34,Cambodia,TRUE,TRUE,FALSE,5,17,0,70001_70002,Other benefit,TRUE,TRUE,FALSE,40,40,0,40%,FALSE,FALSE
35,Cambodia,FALSE,TRUE,TRUE,0,17,17,70002_70003,Other benefit,FALSE,TRUE,TRUE,0,40,40,40%,FALSE,FALSE
36,Cambodia,TRUE,FALSE,TRUE,5,0,17,70001_70003,Other benefit,TRUE,FALSE,TRUE,40,40,40,40%,FALSE,FALSE
37,Cambodia,TRUE,TRUE,FALSE,4,14,0,70001_70002,Basic,TRUE,TRUE,FALSE,40,40,0,40%,FALSE,FALSE
38,Cambodia,TRUE,FALSE,TRUE,4,0,16,70001_70003,Basic,TRUE,FALSE,TRUE,0,40,40,40%,FALSE,FALSE
39,Cambodia,FALSE,TRUE,TRUE,0,14,16,70002_70003,Basic,FALSE,TRUE,TRUE,40,40,40,40%,FALSE,FALSE
40,Cambodia,TRUE,TRUE,FALSE,4,23,0,70001_70002,Enhanced,TRUE,TRUE,FALSE,40,40,0,40%,FALSE,FALSE
41,Cambodia,TRUE,FALSE,TRUE,4,0,22,70001_70003,Enhanced,TRUE,FALSE,TRUE,0,40,40,40%,FALSE,FALSE
42,Cambodia,FALSE,TRUE,TRUE,0,23,22,70002_70003,Enhanced,FALSE,TRUE,TRUE,40,40,40,40%,FALSE,FALSE
5,Bangladesh,TRUE,FALSE,FALSE,4,0,0,70001,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
6,Bangladesh,FALSE,TRUE,FALSE,0,14,0,70002,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
7,Bangladesh,FALSE,FALSE,TRUE,0,0,16,70003,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
8,Bangladesh,TRUE,FALSE,FALSE,4,0,0,70001,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
9,Bangladesh,FALSE,TRUE,FALSE,0,23,0,70002,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
10,Bangladesh,FALSE,FALSE,TRUE,0,0,22,70003,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
11,Bangladesh,TRUE,TRUE,TRUE,4,14,16,70001_70002_70003,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
12,Bangladesh,TRUE,TRUE,TRUE,4,23,22,70001_70002_70003,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
20,Bangladesh,TRUE,TRUE,FALSE,4,14,0,70001_70002,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
21,Bangladesh,TRUE,FALSE,TRUE,4,0,16,70001_70003,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
22,Bangladesh,FALSE,TRUE,TRUE,0,14,16,70002_70003,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
23,Bangladesh,TRUE,TRUE,FALSE,4,23,0,70001_70002,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
24,Bangladesh,TRUE,FALSE,TRUE,4,0,22,70001_70003,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
25,Bangladesh,FALSE,TRUE,TRUE,0,23,22,70002_70003,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
26,Bangladesh,TRUE,FALSE,FALSE,4,0,0,70001,Basic,TRUE,FALSE,FALSE,40,0,0,40%,FALSE,FALSE
27,Bangladesh,FALSE,TRUE,FALSE,0,14,0,70002,Basic,FALSE,TRUE,FALSE,0,40,0,40%,FALSE,FALSE
28,Bangladesh,FALSE,FALSE,TRUE,0,0,16,70003,Basic,FALSE,FALSE,TRUE,0,0,40,40%,FALSE,FALSE
29,Bangladesh,TRUE,FALSE,FALSE,4,0,0,70001,Enhanced,TRUE,FALSE,FALSE,40,0,0,40%,FALSE,FALSE
30,Bangladesh,FALSE,TRUE,FALSE,0,23,0,70002,Enhanced,FALSE,TRUE,FALSE,0,40,0,40%,FALSE,FALSE
31,Bangladesh,FALSE,FALSE,TRUE,0,0,22,70003,Enhanced,FALSE,FALSE,TRUE,0,0,40,40%,FALSE,FALSE
32,Bangladesh,TRUE,TRUE,TRUE,4,14,16,70001_70002_70003,Basic,TRUE,TRUE,TRUE,40,40,40,40%,FALSE,FALSE
33,Bangladesh,TRUE,TRUE,TRUE,4,23,22,70001_70002_70003,Enhanced,TRUE,TRUE,TRUE,40,40,40,40%,FALSE,FALSE
37,Bangladesh,TRUE,TRUE,FALSE,4,14,0,70001_70002,Basic,TRUE,TRUE,FALSE,40,40,0,40%,FALSE,FALSE
38,Bangladesh,TRUE,FALSE,TRUE,4,0,16,70001_70003,Basic,TRUE,FALSE,TRUE,0,40,40,40%,FALSE,FALSE
39,Bangladesh,FALSE,TRUE,TRUE,0,14,16,70002_70003,Basic,FALSE,TRUE,TRUE,40,40,40,40%,FALSE,FALSE
40,Bangladesh,TRUE,TRUE,FALSE,4,23,0,70001_70002,Enhanced,TRUE,TRUE,FALSE,40,40,0,40%,FALSE,FALSE
41,Bangladesh,TRUE,FALSE,TRUE,4,0,22,70001_70003,Enhanced,TRUE,FALSE,TRUE,0,40,40,40%,FALSE,FALSE
42,Bangladesh,FALSE,TRUE,TRUE,0,23,22,70002_70003,Enhanced,FALSE,TRUE,TRUE,40,40,40,40%,FALSE,FALSE
5,Armenia,TRUE,FALSE,FALSE,4,0,0,70001,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
6,Armenia,FALSE,TRUE,FALSE,0,14,0,70002,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
7,Armenia,FALSE,FALSE,TRUE,0,0,16,70003,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
8,Armenia,TRUE,FALSE,FALSE,4,0,0,70001,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
9,Armenia,FALSE,TRUE,FALSE,0,23,0,70002,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
10,Armenia,FALSE,FALSE,TRUE,0,0,22,70003,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
11,Armenia,TRUE,TRUE,TRUE,4,14,16,70001_70002_70003,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
12,Armenia,TRUE,TRUE,TRUE,4,23,22,70001_70002_70003,Enhanced,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
20,Armenia,TRUE,TRUE,FALSE,4,14,0,70001_70002,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
21,Armenia,TRUE,FALSE,TRUE,4,0,16,70001_70003,Basic,FALSE,FALSE,FALSE,0,0,0,No,FALSE,FALSE
