year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,2951.303,2932.588,2927.212,2933.252,2948.786,2971.89,3000.641,3033.116,3067.392,3101.544,3136.178,3171.897,3194.142,3195.937,3182.939,3168.94,3152.571,3129.142,3098.152,3061.863,3022.492,2978.936,2940.329,2911.243,2887.713,2860.642,2831.167,2800.539,2768.245,2733.679,2697.364,2659.932,2614.921,2559.398,2496.343,2432.998,2369.508,2301.733,2228.857,2153.64,2077.847,1998.959,1933.267,1888.371,1856.195,1820.949,1785.66,1743.177,1688.301,1624.313,1561.277,1499.076,1427.447,1342.897,1250.389,1159.82,1070.934,984.341,901.912,824.795,749.796,674.586,620.301,596.2,591.988,588.197,588.826,582.504,561.636,531.432,505.155,480.703,453.753,423.652,391.597,359.493,327.025,296.292,268.555,243.066,217.906,193.569,170.328,148.164,127.244,107.682,89.37,73.179,59.529,48.021,36.282,27.622,22.663,16.916,10.383,6.626,5.538,4.339,3.031,1.614,2.422
2016,2940.001,2939.961,2927.826,2926.592,2934.694,2950.569,2972.394,2998.346,3028.164,3060.808,3093.932,3126.868,3160.509,3181.002,3181.605,3167.87,3153.117,3135.913,3112.474,3082.649,3048.25,3010.735,2969.207,2931.958,2903.076,2878.995,2851.522,2821.652,2790.574,2757.847,2722.871,2686.051,2647.983,2602.653,2547.318,2484.751,2421.829,2358.821,2291.177,2217.857,2141.836,2065.309,1985.658,1919.37,1874.183,1841.911,1806.509,1771.036,1728.403,1673.412,1609.321,1546.201,1483.975,1412.132,1327.07,1233.88,1142.653,1053.047,966.031,883.659,806.888,732.181,657.317,603.09,578.564,573.63,569.203,569.217,562.383,541.191,510.808,484.37,459.795,432.848,402.908,371.147,339.418,307.419,277.23,250.099,225.29,200.884,177.339,155.088,134.179,114.685,96.254,79.511,65.23,52.766,41.804,31.373,24.091,19.722,14.68,8.964,6.314,4.967,3.491,1.886,2.912
2017,2922.465,2904.434,2929.388,2923.83,2926.735,2936.9,2953.121,2973.673,2996.832,3024.003,3055.024,3087.129,3118.375,3149.949,3168.695,3168.107,3153.632,3138.12,3120.078,3096.622,3067.955,3035.436,2999.767,2960.256,2924.353,2895.668,2871.029,2843.148,2812.875,2781.339,2748.172,2712.776,2675.441,2636.728,2591.067,2535.906,2473.809,2411.296,2348.752,2281.22,2207.438,2130.593,2053.312,1972.877,1905.977,1860.486,1828.111,1792.543,1756.877,1714.084,1658.964,1594.752,1531.532,1469.265,1397.19,1311.593,1217.696,1125.79,1035.439,947.977,865.641,789.196,714.761,640.224,586.04,561.084,555.426,550.363,549.761,542.415,520.893,490.323,463.715,439.011,412.062,382.275,350.799,319.436,287.898,258.245,231.712,207.578,183.919,161.16,139.892,120.233,102.158,84.854,69.675,57.299,46.019,35.598,26.474,20.566,16.788,12.448,7.548,5.657,4.001,2.192,3.484
2018,2899.9,2889.763,2887.55,2919.188,2920.207,2927.252,2939.481,2956.05,2975.332,2995.701,3020.226,3049.63,3080.719,3110.279,3139.789,3156.79,3155.011,3139.794,3123.521,3104.639,3081.163,3053.649,3023.007,2989.179,2951.681,2917.12,2888.629,2863.429,2835.135,2804.456,2772.458,2738.846,2703.026,2665.171,2625.808,2579.81,2524.816,2463.181,2401.068,2338.981,2271.554,2197.299,2119.621,2041.575,1960.347,1892.824,1847.025,1814.543,1778.805,1742.94,1699.982,1644.725,1580.384,1517.056,1454.74,1382.423,1296.281,1201.666,1109.067,1017.96,930.041,847.731,771.602,697.43,623.211,569.063,543.672,537.29,531.59,530.373,522.512,500.658,469.897,443.118,418.281,391.325,361.688,330.494,299.492,268.411,239.291,213.353,189.889,166.975,144.999,124.712,106.299,89.643,73.463,59.847,49.375,39.278,29.397,21.578,17.043,13.855,10.218,6.133,4.554,2.532,4.143
2019,2874.79,2873.649,2877.014,2884.394,2908.898,2916.495,2927.682,2941.976,2958.891,2976.902,2994.48,3016.359,3044.143,3074.216,3102.089,3129.533,3144.789,3141.818,3125.859,3108.826,3089.103,3065.609,3039.25,3010.485,2978.5,2943.016,2909.798,2881.502,2855.741,2827.036,2795.951,2763.492,2729.435,2693.193,2654.819,2614.807,2568.473,2513.647,2452.478,2390.767,2329.138,2261.817,2187.092,2108.583,2029.775,1947.755,1879.613,1833.506,1800.918,1765.01,1728.949,1685.825,1630.434,1565.966,1502.532,1440.169,1367.612,1280.927,1185.596,1092.308,1000.448,912.074,829.791,753.98,680.074,606.175,552.064,526.24,519.134,512.797,510.964,502.59,480.403,449.453,422.502,397.533,370.572,341.085,310.173,279.535,248.911,220.325,194.983,172.191,150.022,128.83,109.525,92.36,77.122,62.068,50.015,41.447,32.533,23.193,16.68,13.519,10.92,7.986,4.717,2.903,4.894
2020,2849.115,2855.664,2863.987,2873.959,2885.456,2898.354,2912.529,2927.857,2944.214,2961.476,2978.214,2992.999,3012.23,3038.391,3067.444,3093.627,3119.004,3132.512,3128.35,3111.65,3093.859,3073.297,3049.786,3024.584,2997.7,2967.561,2934.094,2902.223,2874.123,2847.805,2818.69,2787.202,2754.285,2719.787,2683.125,2644.235,2603.578,2556.912,2502.259,2441.56,2380.256,2319.091,2251.883,2176.694,2097.361,2017.797,1934.992,1866.236,1819.825,1787.134,1751.06,1714.805,1671.521,1616,1551.41,1487.876,1425.471,1352.681,1265.46,1169.422,1075.451,982.846,894.025,811.777,736.292,662.657,589.084,535.016,508.761,500.93,493.957,491.509,482.621,460.105,428.967,401.847,376.749,349.784,320.451,289.823,259.551,229.388,201.337,176.593,154.476,133.054,112.648,94.326,78.41,64.593,50.665,40.177,33.515,25.785,16.986,11.78,9.994,7.985,5.754,3.301,5.741
2021,2823.52,2843.686,2852.367,2862.157,2872.995,2884.82,2897.588,2911.256,2925.672,2940.738,2956.447,2971.511,2984.531,3002.132,3026.944,3054.914,3080.001,3104.189,3117.305,3113.917,3098.724,3082.399,3063.463,3041.036,3015.963,2988.59,2958.116,2924.34,2892.142,2863.761,2837.203,2807.774,2775.859,2742.801,2708.615,2672.523,2634.149,2594.069,2547.594,2492.512,2430.993,2368.927,2306.94,2239.143,2163.783,2084.533,2004.952,1922.081,1853.21,1806.589,1773.599,1737.244,1700.773,1656.959,1600.438,1534.577,1469.844,1406.231,1332.554,1244.965,1148.925,1054.914,962.237,873.614,791.92,717.185,644.306,571.595,517.923,491.313,482.653,474.957,471.805,462.315,439.412,408.064,380.752,355.497,328.637,299.761,269.864,240.39,211.101,184.097,160.587,139.835,119.519,100.724,84.4,69.748,56.524,44.066,35.165,29.264,22.447,14.714,10.993,8.813,6.391,3.727,6.686
2022,2797.079,2814.156,2838.328,2849.141,2860.399,2872.103,2884.255,2896.893,2910.055,2923.559,2937.334,2951.491,2964.881,2976.137,2992.108,3015.572,3042.458,3066.45,3089.449,3102.173,3099.56,3085.873,3071.015,3053.704,3032.36,3007.416,2979.553,2948.743,2914.657,2882.131,2853.469,2826.671,2796.925,2764.584,2731.384,2697.509,2661.987,2624.127,2584.623,2538.339,2482.825,2420.486,2357.656,2294.845,2226.458,2150.924,2071.756,1992.155,1909.217,1840.228,1793.396,1760.106,1723.469,1686.782,1642.437,1584.914,1517.78,1451.847,1387.023,1312.458,1224.498,1128.455,1034.4,941.651,853.224,772.081,698.094,625.969,554.118,500.841,473.876,464.385,455.967,452.11,442.019,418.728,387.169,359.664,334.252,307.496,279.078,249.908,221.232,192.818,166.86,144.583,125.197,105.985,88.801,74.474,61.087,48.455,37.467,30.153,25.013,19.109,12.442,9.664,7.051,4.178,7.724
2023,2769.114,2789.967,2808.988,2832.869,2845.815,2858.54,2871.111,2883.59,2896.097,2908.751,2921.343,2933.827,2946.431,2958.147,2967.637,2981.978,3004.093,3029.894,3052.789,3074.6,3086.931,3085.093,3072.913,3059.522,3043.837,3023.577,2998.762,2970.411,2939.265,2904.871,2872.019,2843.076,2816.039,2785.978,2753.211,2719.871,2686.307,2651.356,2614.012,2575.086,2528.995,2473.051,2409.892,2346.301,2282.668,2213.693,2137.988,2058.906,1979.287,1896.285,1827.18,1780.138,1746.551,1709.633,1672.731,1627.856,1569.333,1500.928,1433.797,1367.766,1292.315,1203.987,1107.943,1013.849,921.029,832.802,752.212,678.976,607.609,536.621,483.74,456.42,446.1,436.96,432.397,421.706,398.027,366.258,338.561,312.993,286.341,258.382,229.943,202.065,174.526,149.615,128.573,110.552,92.446,76.875,64.546,52.422,40.383,30.867,25.14,20.76,15.77,10.17,7.727,4.649,8.843
2024,2738.752,2763.053,2785.16,2805.285,2827.249,2842.326,2856.519,2869.955,2882.76,2895.136,2907.283,2918.961,2930.153,2941.204,2951.245,2958.969,2971.678,2992.443,3017.159,3038.956,3059.576,3071.513,3070.451,3059.778,3047.855,3033.797,3014.622,2989.938,2961.1,2929.621,2894.921,2861.744,2832.522,2805.247,2774.873,2741.682,2708.203,2674.952,2640.575,2603.749,2565.402,2519.506,2463.136,2399.162,2334.813,2270.361,2200.803,2124.931,2045.938,1966.306,1883.245,1814.029,1766.78,1732.896,1695.7,1658.585,1613.183,1553.663,1483.991,1415.667,1348.431,1272.098,1183.407,1087.368,993.24,900.355,812.332,732.301,659.82,589.214,519.093,466.612,438.939,427.789,417.927,412.661,401.368,377.303,345.326,317.44,291.716,265.171,237.672,209.964,182.887,156.225,132.361,112.555,95.901,78.902,64.944,54.613,43.755,32.309,24.264,20.125,16.507,12.431,7.897,5.132,10.025
