year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,12.088,12.284,12.47,12.648,12.818,12.983,13.143,13.301,13.457,13.612,13.764,13.909,14.072,14.264,14.471,14.663,14.837,15.016,15.207,15.392,15.545,15.669,15.738,15.739,15.674,15.576,15.452,15.218,14.84,14.36,13.859,13.326,12.793,12.284,11.792,11.286,10.778,10.278,9.7860003,9.3120003,8.8459997,8.3780003,7.9959998,7.7379999,7.5609999,7.388,7.2459998,7.039,6.7179999,6.329,5.9660001,5.5999999,5.3049998,5.1240001,5.0139999,4.8979998,4.8000002,4.652,4.4130001,4.1230001,3.8529999,3.582,3.369,3.247,3.184,3.1129999,3.0469999,2.967,2.858,2.7279999,2.6059999,2.49,2.358,2.204,2.0350001,1.868,1.7,1.541,1.398,1.267,1.137,1.011,.89300001,.78200001,.67900002,.583,.493,.41299999,.34400001,.285,.227,.183,.154,.12,.082000002,.059,.050000001,.041000001,.029999999,.018999999,.037999999
2016,12.282,12.13,12.29,12.455,12.623,12.793,12.967,13.146,13.314,13.466,13.609,13.753,13.894,14.053,14.24,14.445,14.635,14.806,14.988,15.191,15.393,15.564,15.704,15.785,15.786,15.717,15.614,15.486,15.245,14.855,14.361,13.845,13.297,12.752,12.241,11.75,11.246,10.74,10.241,9.7489996,9.2729998,8.8059998,8.3380003,7.9549999,7.6960001,7.5170002,7.3429999,7.1989999,6.9910002,6.6690001,6.2800002,5.9169998,5.5510001,5.2550001,5.072,4.9590001,4.8410001,4.7410002,4.5910001,4.3520002,4.0619998,3.7920001,3.5220001,3.3080001,3.184,3.1170001,3.043,2.974,2.891,2.779,2.6459999,2.5220001,2.404,2.2709999,2.1159999,1.947,1.7819999,1.615,1.4579999,1.318,1.1900001,1.063,.94099998,.82700002,.72100002,.62400001,.53100002,.44800001,.37599999,.31099999,.25400001,.2,.163,.13600001,.106,.071999997,.055,.045000002,.033,.021,.043000001
2017,12.641,12.543,12.161,12.286,12.43,12.588,12.757,12.94,13.137,13.317,13.466,13.595,13.732,13.867,14.022,14.206,14.408,14.595,14.763,14.948,15.162,15.383,15.569,15.726,15.818,15.822,15.747,15.64,15.508,15.259,14.857,14.35,13.82,13.257,12.702,12.188,11.7,11.197,10.693,10.195,9.7030001,9.2259998,8.7589998,8.2910004,7.908,7.6479998,7.467,7.2909999,7.1459999,6.9369998,6.6139998,6.2259998,5.862,5.4959998,5.1999998,5.0159998,4.901,4.7810001,4.678,4.527,4.2870002,3.9979999,3.7290001,3.4590001,3.244,3.1170001,3.0480001,2.971,2.898,2.812,2.697,2.562,2.4360001,2.316,2.181,2.026,1.858,1.694,1.529,1.374,1.2359999,1.1109999,.98900002,.87,.75999999,.66000003,.56699997,.479,.40200001,.338,.278,.221,.17299999,.142,.118,.092,.061999999,.048999999,.037,.023,.048
2018,13.053,12.761,12.561,12.187,12.277,12.399,12.547,12.716,12.907,13.123,13.314,13.458,13.575,13.704,13.834,13.984,14.165,14.365,14.549,14.713,14.9,15.127,15.365,15.568,15.742,15.845,15.85,15.77,15.659,15.522,15.266,14.853,14.332,13.789,13.211,12.646,12.129,11.644,11.142,10.641,10.145,9.6529999,9.1750002,8.7089996,8.2410002,7.8569999,7.5960002,7.414,7.237,7.0900002,6.8800001,6.5570002,6.1690001,5.8049998,5.4400001,5.1430001,4.9569998,4.8400002,4.7179999,4.6129999,4.46,4.2210002,3.9319999,3.6630001,3.3940001,3.1789999,3.05,2.977,2.8970001,2.8210001,2.733,2.615,2.477,2.349,2.2260001,2.0899999,1.9349999,1.7690001,1.605,1.442,1.289,1.154,1.0319999,.91299999,.79900002,.69400001,.59799999,.51099998,.42699999,.35600001,.30000001,.245,.189,.146,.121,.1,.077,.050999999,.039999999,.026000001,.052999999
2019,13.36,12.935,12.627,12.424,12.215,12.269,12.37,12.508,12.676,12.876,13.11,13.313,13.453,13.556,13.677,13.803,13.949,14.126,14.323,14.505,14.665,14.855,15.094,15.349,15.569,15.759,15.873,15.88,15.795,15.679,15.538,15.275,14.851,14.317,13.76,13.166,12.592,12.072,11.589,11.09,10.591,10.096,9.6049995,9.125,8.6590004,8.191,7.8080001,7.546,7.362,7.1830001,7.0339999,6.823,6.5,6.112,5.7490001,5.3839998,5.0869999,4.8990002,4.7810001,4.6560001,4.5489998,4.3940001,4.1550002,3.8670001,3.598,3.3299999,3.1140001,2.983,2.9059999,2.823,2.7449999,2.6530001,2.5320001,2.3929999,2.2620001,2.1370001,2,1.845,1.679,1.516,1.355,1.204,1.072,.954,.838,.72799999,.62699997,.53600001,.45500001,.375,.31099999,.26199999,.211,.15700001,.119,.1,.082000002,.063000001,.041000001,.028000001,.059
2020,13.452,13,12.665,12.435,12.3,12.247,12.266,12.345,12.474,12.641,12.849,13.102,13.316,13.453,13.543,13.656,13.777,13.918,14.092,14.286,14.466,14.622,14.815,15.066,15.339,15.575,15.783,15.908,15.916,15.825,15.706,15.561,15.289,14.854,14.306,13.735,13.127,12.542,12.02,11.539,11.041,10.545,10.052,9.5600004,9.0790005,8.6120005,8.1450005,7.7610002,7.4980001,7.3119998,7.132,6.9819999,6.77,6.4460001,6.0580001,5.6950002,5.3299999,5.033,4.8429999,4.7220001,4.5960002,4.4860001,4.3299999,4.0900002,3.803,3.5350001,3.266,3.05,2.9170001,2.8369999,2.7509999,2.6689999,2.575,2.451,2.309,2.1760001,2.049,1.91,1.755,1.59,1.429,1.268,1.12,.99000001,.875,.764,.65700001,.56099999,.47499999,.39899999,.32300001,.26499999,.22499999,.178,.125,.092,.079000004,.064999998,.048999999,.030999999,.066
2021,13.267,13.311,12.95,12.673,12.473,12.344,12.276,12.258,12.31,12.435,12.614,12.823,13.071,13.282,13.416,13.504,13.617,13.735,13.879,14.062,14.271,14.464,14.634,14.836,15.086,15.354,15.584,15.787,15.904,15.901,15.798,15.666,15.507,15.226,14.788,14.242,13.672,13.066,12.482,11.96,11.478,10.98,10.483,9.9899998,9.4980001,9.0179996,8.552,8.085,7.7010002,7.4359999,7.2490001,7.0669999,6.914,6.7010002,6.3769999,5.9899998,5.6269999,5.263,4.9650002,4.7729998,4.6500001,4.5209999,4.408,4.25,4.0100002,3.724,3.4560001,3.1889999,2.9719999,2.836,2.753,2.6630001,2.579,2.4820001,2.3559999,2.2119999,2.0769999,1.949,1.8099999,1.6569999,1.4960001,1.3380001,1.183,1.039,.91500002,.80500001,.69800001,.59799999,.50999999,.43000001,.35499999,.285,.235,.199,.15700001,.11,.086000003,.07,.052999999,.034000002,.072999999
2022,12.873,12.735,13.182,12.912,12.692,12.521,12.4,12.316,12.261,12.285,12.407,12.597,12.807,13.052,13.259,13.391,13.478,13.589,13.705,13.852,14.045,14.269,14.475,14.659,14.869,15.12,15.382,15.607,15.805,15.915,15.901,15.785,15.64,15.467,15.176,14.735,14.19,13.622,13.017,12.433,11.91,11.427,10.928,10.43,9.9370003,9.4449997,8.9650002,8.4989996,8.0319996,7.6469998,7.381,7.1919999,7.0079999,6.8530002,6.638,6.3140001,5.927,5.5640001,5.1999998,4.901,4.7080002,4.5819998,4.4499998,4.335,4.1750002,3.934,3.648,3.381,3.1140001,2.8959999,2.7579999,2.671,2.5780001,2.4909999,2.391,2.263,2.1170001,1.98,1.85,1.712,1.561,1.403,1.249,1.098,.95899999,.83999997,.73500001,.63200003,.54000002,.461,.38499999,.31099999,.248,.206,.17299999,.13600001,.093999997,.075999998,.057999998,.037,.081
2023,12.358,12.481,12.562,13.057,12.878,12.716,12.574,12.46,12.361,12.269,12.265,12.384,12.586,12.797,13.037,13.241,13.371,13.457,13.566,13.681,13.83,14.034,14.272,14.492,14.69,14.908,15.16,15.416,15.637,15.829,15.931,15.907,15.778,15.62,15.433,15.132,14.688,14.144,13.576,12.972,12.389,11.866,11.38,10.88,10.382,9.8879995,9.3959999,8.9160004,8.4490004,7.9819999,7.5970001,7.329,7.138,6.9510002,6.7940001,6.5770001,6.2529998,5.8660002,5.5029998,5.138,4.8390002,4.6440001,4.5149999,4.3800001,4.2620001,4.0999999,3.859,3.5739999,3.306,3.04,2.822,2.681,2.5899999,2.494,2.405,2.302,2.171,2.023,1.8839999,1.753,1.614,1.465,1.311,1.161,1.013,.87900001,.76499999,.66600001,.56699997,.48199999,.41100001,.34,.26800001,.211,.176,.148,.115,.079000004,.063000001,.041000001,.089000002
2024,11.857,12.21,12.463,12.63,12.929,12.841,12.736,12.624,12.516,12.403,12.273,12.241,12.357,12.57,12.783,13.019,13.22,13.347,13.432,13.54,13.652,13.804,14.018,14.271,14.504,14.716,14.943,15.195,15.445,15.661,15.849,15.943,15.908,15.767,15.595,15.394,15.083,14.636,14.093,13.526,12.924,12.342,11.817,11.33,10.829,10.33,9.8360004,9.3439999,8.8629999,8.3970003,7.9299998,7.5440001,7.2750001,7.0809999,6.8930001,6.7329998,6.5149999,6.1900001,5.803,5.4400001,5.0760002,4.776,4.579,4.447,4.3099999,4.1890001,4.0250001,3.783,3.4979999,3.2309999,2.9649999,2.7460001,2.6029999,2.5090001,2.4100001,2.3169999,2.211,2.0780001,1.928,1.788,1.654,1.516,1.368,1.2180001,1.072,.92900002,.79900002,.69,.59600002,.50099999,.42300001,.36199999,.29499999,.22400001,.17299999,.147,.122,.094999999,.064000003,.045000002,.097999997
