year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,348.63,354.013,355.95401,354.94901,351.49399,346.08401,339.21399,331.38,323.078,314.802,306.121,296.60199,291.38,292.81,298.60101,303.47601,307.724,312.862,318.86401,324.68701,331.20001,340.5,339.51501,322.55499,296.565,270.64401,238.724,227.31799,249.17599,289.89999,326.603,368.979,379.909,340.25201,269.87399,205.439,136.80299,93.456001,92.872002,119.496,140.688,163.442,178.364,177.64999,167.149,160.328,154.26401,149.506,147.601,147.2,145.802,144.373,140.40199,132.53799,122.33,112.388,101.84,93.903999,90.333,89.473,88.098999,87.078003,84.413002,78.858002,71.552002,64.827003,58.146999,52.431,48.348,45.356998,42.244999,39.250999,36.297001,33.220001,30.122,27.271,24.617001,22.066,19.6,17.237,15.025,12.963,11.023,9.1949997,7.5,5.9460001,4.507,3.3329999,2.4909999,1.903,1.339,.98199999,.77899998,.55000001,.294,.15099999,.124,.093999997,.061999999,.028999999,.029999999
2016,347.892,350.297,354.23099,355.26901,353.81201,350.26401,345.12,338.88101,331.46899,323.09698,314.452,305.58499,295.97198,290.64301,291.94699,297.60501,302.35001,306.46899,311.513,317.47299,323.29099,329.80099,339.10001,338.134,321.21399,295.27802,269.418,237.576,226.211,248.047,288.71201,325.36499,367.67899,378.60901,339.05099,268.82999,204.53999,136.05701,92.803001,92.214996,118.772,139.90601,162.59399,177.46899,176.748,166.263,159.446,153.382,148.612,146.672,146.222,144.77299,143.287,139.27,131.382,121.162,111.202,100.643,92.658997,88.982002,87.982002,86.475998,85.317001,82.556,76.970001,69.677002,62.960999,56.298,50.584,46.474998,43.442001,40.303001,37.294998,34.327,31.238001,28.134001,25.285999,22.638,20.136999,17.782,15.573,13.514,11.612,9.8319998,8.1569996,6.6090002,5.1729999,3.888,2.891,2.1530001,1.612,1.122,.82700002,.65499997,.461,.245,.13699999,.104,.068999998,.030999999,.030999999
2017,349.19101,355.927,351.71701,354.198,354.32999,352.422,348.78201,343.91,338.306,331.32199,322.88599,313.87799,304.832,295.13199,289.698,290.87601,296.396,301.009,304.995,309.94,315.854,321.664,328.16599,337.457,336.51001,319.64301,293.77899,267.99899,236.258,224.942,246.739,287.31699,323.89401,366.116,377.03799,337.60699,267.595,203.495,135.213,92.083,91.490997,117.963,139.024,161.629,176.448,175.72,165.258,158.44901,152.39101,147.61099,145.63699,145.138,143.64,142.097,138.03799,130.132,119.906,109.936,99.373001,91.346001,87.567001,86.428001,84.790001,83.494003,80.638,75.026001,67.750999,61.048,54.405998,48.699001,44.567001,41.493999,38.331001,35.310001,32.331001,29.231001,26.124001,23.281,20.641001,18.191999,15.95,13.896,11.993,10.252,8.6330004,7.1129999,5.7119999,4.3959999,3.2639999,2.4460001,1.813,1.318,.903,.67199999,.53100002,.37200001,.19499999,.116,.075999998,.034000002,.032000002
2018,351.496,356.52301,359.155,352.96301,353.98901,353.216,350.85699,347.12799,342.53,337.56299,331.01001,322.51401,313.14899,303.927,294.14499,288.60999,289.66,295.04099,299.51801,303.37,308.21399,314.07901,319.87799,326.36801,335.647,334.72,317.914,292.134,266.44699,234.823,223.561,245.30901,285.78,322.263,364.371,375.28,335.996,266.22601,202.349,134.302,91.318001,90.723,117.096,138.073,160.58501,175.339,174.604,164.17101,157.375,151.32401,146.537,144.53,143.98199,142.435,140.838,136.73801,128.81799,118.59,108.616,98.054001,89.988998,86.108002,84.831001,83.061996,81.629997,78.68,73.043999,65.792,59.105,52.487999,46.790001,42.637001,39.526001,36.34,33.306999,30.319,27.211,24.101,21.264999,18.635,16.238001,14.11,12.212,10.465,8.8859997,7.4299998,6.0650001,4.8130002,3.6159999,2.6389999,2,1.472,1.024,.685,.51599997,.40599999,.28200001,.145,.085000001,.037999999,.034000002
2019,353.263,356.439,358.12,358.43399,354.189,353.76199,352.08401,349.276,345.45801,341.133,336.80399,330.68201,322.12701,312.40399,303.00699,293.14301,287.50699,288.42999,293.67099,298.013,301.73001,306.47299,312.289,318.077,324.55499,333.82199,332.914,316.16901,290.47601,264.883,233.377,222.16901,243.868,284.23001,320.616,362.60999,373.505,334.36899,264.84601,201.194,133.38499,90.549004,89.949997,116.223,137.11501,159.533,174.22099,173.481,163.077,156.293,150.25101,145.45599,143.41701,142.82001,141.22501,139.57201,135.43201,127.498,117.27,107.291,96.731003,88.627998,84.646004,83.231003,81.332001,79.763,76.720001,71.060997,63.830002,57.160999,50.568001,44.880001,40.706001,37.557999,34.348,31.305,28.308001,25.191,22.079,19.249001,16.629,14.285,12.271,10.529,8.9390001,7.5209999,6.2270002,5.0170002,3.9130001,2.8369999,2.0150001,1.554,1.131,.73000002,.46599999,.36000001,.28099999,.193,.094999999,.041000001,.035999998
2020,353.35999,355.40302,356.60699,357,356.608,355.45901,353.57999,350.99799,347.73999,343.83301,339.78101,336.08701,330.396,321.78101,311.69901,302.12601,292.17999,286.44199,287.23801,292.33899,296.547,300.13,304.77301,310.54001,316.31699,322.784,332.04001,331.15201,314.466,288.85599,263.353,231.96201,220.80701,242.459,282.71701,319.01199,360.89499,371.77802,332.78601,263.49899,200.065,132.48599,89.792,89.190002,115.366,136.17599,158.502,173.127,172.38,162.004,155.23199,149.19701,144.394,142.32201,141.677,140.033,138.32401,134.144,126.195,115.966,105.98,95.420998,87.278999,83.195,81.641998,79.612999,77.907997,74.769997,69.087997,61.877998,55.226002,48.655998,42.977001,38.782001,35.595001,32.362,29.308001,26.301001,23.174999,20.061001,17.237,14.626,12.334,10.435,8.8479996,7.414,6.158,5.026,3.971,3.0150001,2.059,1.391,1.108,.79000002,.43700001,.248,.204,.156,.103,.046,.039999999
2021,351.57401,353.056,354.978,356.11301,356.47699,356.086,354.97,353.15799,350.59399,347.263,343.22501,339.06201,335.26501,329.46301,320.72699,310.52399,300.832,290.76401,284.939,285.69901,290.79901,295.009,298.603,303.26001,309.03699,314.82401,321.30701,330.57599,329.72101,313.099,287.565,262.14099,230.847,219.726,241.30901,281.44,317.61801,359.36301,370.211,331.35101,262.297,199.073,131.715,89.153999,88.538002,114.603,135.315,157.53101,172.071,171.29201,160.914,154.123,148.069,143.21001,141.02499,140.233,138.446,136.584,132.293,124.304,114.079,104.091,93.542999,85.364998,81.167999,79.456001,77.286003,75.440002,72.213997,66.523003,59.360001,52.755001,46.248001,40.625,36.466999,33.312,30.125,27.125999,24.202999,21.202999,18.242001,15.574,13.123,10.986,9.2270002,7.7709999,6.4510002,5.336,4.3540001,3.418,2.5480001,1.721,1.174,.93300003,.66299999,.36399999,.222,.17,.112,.050000001,.045000002
2022,348.271,350.59,352.73099,354.53201,355.59799,355.93301,355.543,354.45901,352.716,350.17001,346.767,342.59799,338.323,334.42401,328.509,319.655,309.32999,299.51901,289.33099,283.41901,284.142,289.242,293.45401,297.05899,301.729,307.51599,313.31201,319.81,329.09299,328.272,311.71201,286.25699,260.914,229.71899,218.632,240.144,280.147,316.20599,357.81,368.62201,329.897,261.07901,198.069,130.937,88.512001,87.879997,113.834,134.44701,156.55,171.004,170.194,159.815,153.005,146.93201,142.017,139.71899,138.78101,136.851,134.83501,130.43401,122.406,112.184,102.195,91.660004,83.445999,79.135002,77.264999,74.953003,72.968002,69.652,63.952999,56.838001,50.280998,43.834999,38.27,34.150002,31.025,27.886,24.941,22.103001,19.229,16.422001,13.909,11.619,9.6359997,8.0179996,6.6929998,5.487,4.5139999,3.681,2.865,2.0799999,1.383,.95599997,.75800002,.537,.29100001,.184,.122,.055,.052000001
2023,344.12201,347.237,349.89499,352.401,354.07901,355.07599,355.383,354.99301,353.94299,352.267,349.73901,346.26401,341.965,337.578,333.57599,327.54999,318.57599,308.13101,298.202,287.89301,281.89301,282.57999,287.67899,291.89301,295.509,300.19199,305.98901,311.79501,318.30801,327.603,326.81601,310.32101,284.944,259.68301,228.58701,217.534,238.976,278.849,314.78799,356.25,367.026,328.436,259.85699,197.062,130.15601,87.866997,87.221001,113.062,133.576,155.567,169.93401,169.093,158.713,151.88499,145.79201,140.82201,138.411,137.325,135.25301,133.084,128.573,120.506,110.288,100.298,89.774002,81.526001,77.100998,75.071999,72.620003,70.494003,67.088997,61.382,54.313999,47.806,41.422001,35.914001,31.832001,28.738001,25.646999,22.756001,20.002001,17.254,14.602,12.243,10.114,8.2860003,6.809,5.6139998,4.5229998,3.691,3.0079999,2.312,1.612,1.044,.73799998,.583,.41,.21799999,.132,.059999999,.059999999
2024,340.07901,343.82501,347.07101,349.79199,352.02701,353.58401,354.51099,354.79001,354.401,353.383,351.77499,349.26599,345.71899,341.29001,336.79199,332.68799,326.55099,317.45901,306.89499,296.84799,286.42001,280.33401,280.98401,286.08099,290.297,293.923,298.61899,304.42499,310.23901,316.76599,326.07401,325.32101,308.89099,283.59698,258.41901,227.427,216.409,237.778,277.517,313.33099,354.647,365.38599,326.936,258.603,196.03,129.36,87.211998,86.551003,112.277,132.689,154.565,168.84399,167.97099,157.592,150.746,144.63499,139.60899,137.08501,135.853,133.638,131.317,126.695,118.591,108.378,98.388,87.876999,79.595001,75.056999,72.870003,70.277,68.011002,64.517998,58.804001,51.784,45.325001,39.004002,33.554001,29.51,26.448,23.403999,20.568001,17.899,15.277,12.779,10.577,8.6079998,6.9349999,5.599,4.5349998,3.5580001,2.868,2.335,1.758,1.143,.70599997,.52100003,.40799999,.28200001,.145,.066,.068000004
