year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,57.662998,55.417,53.678001,53.5,54.549,53.867001,50.202999,46.397999,44.216,43.133999,42.299999,41.717999,41.882,42.247002,42.743,43.193001,45.008999,46.556999,46.945999,47.106998,48.473999,51.542999,55.299,58.646999,59.944,59.160999,58.215,58.348,58.512001,57.974998,56.661999,54.976002,53.43,52.317001,51.508999,50.778,50.265999,50.014999,49.897999,49.735001,49.352001,48.838001,48.577999,48.262001,48.073002,47.686001,47.148998,47.053001,48.061001,49.948002,51.93,53.611,54.744999,55.397999,54.938,53.032001,50.893002,48.951,47.548,46.233002,44.487999,42.911999,41.619999,40.683998,39.495998,37.636002,35.189999,31.615,27.200001,22.468,19.226999,19.525,23.148001,27.969999,31.072001,31.677999,30.408001,27.799999,24.409,20.783001,17.822001,15.76,14.138,12.699,11.256,9.8470001,8.401,6.9510002,5.3379998,3.9809999,2.6930001,1.722,1.079,.75199997,.55500001,.36199999,.235,.141,.088,.068000004,.105
2016,58.952999,57.393002,55.238998,53.534,53.379002,54.448002,53.780998,50.130001,46.334,44.159,43.083,42.247002,41.654999,41.794998,42.123001,42.564999,42.952999,44.699001,46.18,46.507,46.616001,47.944,50.984001,54.723999,58.064999,59.365002,58.592999,57.664001,57.816002,58.002998,57.487999,56.198002,54.536999,53.012001,51.918999,51.129002,50.412998,49.915001,49.675999,49.569,49.415001,49.039001,48.532001,48.273998,47.957001,47.764999,47.369999,46.827999,46.724998,47.717999,49.583,51.539001,53.191002,54.292,54.908001,54.416,52.481998,50.312,48.339001,46.900002,45.537998,43.757,42.159,40.842999,39.872002,38.651001,36.771999,34.323002,30.774,26.413,21.753,18.555,18.771999,22.166,26.653999,29.452999,29.855,28.475,25.844999,22.506001,18.99,16.128,14.116,12.523,11.113,9.7209997,8.3889999,7.0440001,5.7319999,4.3270001,3.174,2.109,1.323,.81199998,.55299997,.39899999,.25400001,.161,.093999997,.057,.105
2017,57.785,58.723,57.247002,55.120998,53.437,53.297001,54.380001,53.721001,50.077999,46.290001,44.118999,43.041,42.196999,41.585999,41.695,41.980999,42.372002,42.705002,44.396,45.827,46.112,46.189999,47.494999,50.521,54.256001,57.597,58.903999,58.144001,57.23,57.398998,57.603001,57.105,55.834,54.189999,52.681,51.601002,50.821999,50.116001,49.626999,49.395,49.292999,49.141998,48.768002,48.261002,48,47.678001,47.478001,47.074001,46.526001,46.412998,47.391998,49.229,51.155998,52.771,53.832001,54.405998,53.870998,51.903,49.702,47.698002,46.213001,44.808998,43.006001,41.386002,40.042,39.034,37.776001,35.870998,33.417999,29.896999,25.591999,21.009001,17.855,17.995001,21.152,25.302,27.798,28.000999,26.52,23.879999,20.610001,17.224001,14.479,12.535,10.99,9.6280003,8.309,7.0599999,5.8280001,4.6609998,3.4579999,2.4920001,1.626,1,.60000002,.39899999,.28099999,.17399999,.107,.061000001,.097000003
2018,55.52,57.595001,58.610001,57.157001,55.048,53.375999,53.245998,54.335999,53.682999,50.043999,46.257,44.085999,43.001999,42.144001,41.511002,41.587002,41.835999,42.186001,42.477001,44.129002,45.528999,45.790001,45.849998,47.146,50.165001,53.900002,57.242001,58.555,57.807999,56.904999,57.085999,57.300999,56.816002,55.555,53.921001,52.422001,51.347,50.576,49.875,49.390999,49.16,49.057999,48.904999,48.528,48.015999,47.749001,47.418999,47.206001,46.790001,46.233002,46.111,47.069,48.875999,50.764999,52.338001,53.348999,53.872002,53.289001,51.280998,49.048,47.004002,45.478001,44.041,42.216999,40.573002,39.196999,38.146,36.844002,34.912998,32.452,28.961,24.715,20.218,17.114,17.17,20.080999,23.881001,26.066,26.069,24.493999,21.862,18.683001,15.449,12.841,10.985,9.507,8.2130003,6.9759998,5.8270001,4.7210002,3.7060001,2.6989999,1.91,1.221,.73400003,.42899999,.278,.19,.115,.068000004,.092
2019,53.839001,55.373001,57.513,58.544998,57.104,55.007,53.341,53.216,54.311001,53.658001,50.021,46.235001,44.058998,42.965,42.092999,41.437,41.487,41.707001,42.029999,42.296001,43.925999,45.307999,45.556,45.609001,46.900002,49.917999,53.651001,56.993999,58.311001,57.570999,56.674999,56.862999,57.083,56.602001,55.347,53.719002,52.221001,51.148998,50.377998,49.678001,49.194,48.960999,48.853001,48.693001,48.306,47.785,47.506001,47.165001,46.938,46.509998,45.941002,45.806,46.738998,48.506001,50.349998,51.869999,52.821999,53.284,52.646,50.598999,48.321999,46.241001,44.685001,43.216999,41.367001,39.692001,38.279999,37.179001,35.827999,33.866001,31.4,27.941999,23.761999,19.360001,16.315001,16.287001,18.938999,22.371,24.237,24.042999,22.389,19.785,16.726999,13.669,11.223,9.4750004,8.0830002,6.8720002,5.7360001,4.7020001,3.7349999,2.8740001,2.053,1.424,.88999999,.52100003,.29699999,.18700001,.125,.072999999,.094999999
2020,50.277,53.691002,55.291,57.445999,58.491001,57.061001,54.971001,53.308998,53.188,54.285999,53.634998,49.998001,46.206001,44.021,42.910999,42.016998,41.334999,41.356998,41.548,41.844002,42.087002,43.698002,45.067001,45.306999,45.356998,46.646999,49.662998,53.400002,56.743999,58.067001,57.334999,56.445,56.638,56.863998,56.387001,55.137001,53.514,52.018002,50.946999,50.179001,49.479,48.993999,48.756001,48.641998,48.472,48.073002,47.542999,47.251999,46.898998,46.66,46.216999,45.636002,45.486,46.389,48.112999,49.902,51.362,52.249001,52.645,51.950001,49.854,47.539001,45.436001,43.852001,42.348999,40.470001,38.762001,37.312,36.153999,34.751999,32.758999,30.285999,26.865999,22.761999,18.465,15.484,15.374,17.764,20.829,22.379999,22.003,20.294001,17.745001,14.83,11.971,9.6999998,8.0749998,6.7820001,5.6680002,4.645,3.7349999,2.9070001,2.194,1.535,1.043,.63499999,.36300001,.20100001,.124,.079999998,.101
2021,48.443001,50.173,53.639999,55.252998,57.416,58.465,57.041,54.953999,53.292999,53.174,54.271,53.620998,49.980999,46.183998,43.991001,42.869999,41.960999,41.263,41.27,41.445999,41.729,41.964001,43.563999,44.925999,45.161999,45.212002,46.499001,49.514999,53.248001,56.591999,57.914001,57.182999,56.293999,56.487999,56.710999,56.233002,54.980999,53.355999,51.859001,50.784,50.013,49.308998,48.816002,48.569,48.442001,48.256001,47.842999,47.299,46.994999,46.625999,46.369999,45.910999,45.313,45.139999,46.006001,47.672001,49.397999,50.783001,51.591,51.917999,51.147999,49.001999,46.662998,44.535999,42.912998,41.366001,39.449001,37.696999,36.196999,34.974998,33.512001,31.482,29.000999,25.625999,21.607,17.431999,14.527,14.323,16.42,19.080999,20.304001,19.756001,18.017,15.557,12.815,10.181,8.1160002,6.645,5.4879999,4.506,3.625,2.859,2.181,1.613,1.104,.73199999,.43599999,.242,.13,.077,.106
2022,50.033001,48.342999,50.123001,53.603001,55.223999,57.391998,58.445999,57.022999,54.938,53.279999,53.16,54.257,53.604,49.959,46.154999,43.950001,42.813999,41.888,41.174999,41.166,41.328999,41.602001,41.827999,43.422001,44.778999,45.014,45.062,46.349998,49.362,53.094002,56.435001,57.756001,57.026001,56.138,56.327999,56.549,56.064999,54.810001,53.183998,51.682999,50.604,49.826,49.116001,48.612,48.351002,48.207001,48.004002,47.571999,47.011002,46.688,46.300999,46.021999,45.541,44.917,44.712002,45.528,47.125,48.769001,50.068001,50.791,51.025002,50.181999,48,45.632999,43.471001,41.801998,40.201,38.240002,36.441002,34.890999,33.603001,32.081001,30.017,27.528999,24.194,20.266001,16.23,13.417,13.12,14.906,17.149,18.054001,17.367001,15.634,13.292,10.758,8.3959999,6.5830002,5.309,4.3200002,3.49,2.7620001,2.141,1.604,1.163,.77999997,.50599998,.294,.16,.083999999,.11
2023,48.597,49.831001,48.209,50.014,53.513,55.148998,57.327,58.389999,56.976002,54.896,53.242001,53.120998,54.210999,53.541,49.867001,46.022999,43.769001,42.581001,41.605,40.845001,40.797001,40.929001,41.181999,41.394001,42.983002,44.341999,44.584,44.643002,45.943001,48.967999,52.713001,56.064999,57.397999,56.682999,55.807999,56.006001,56.234001,55.757,54.511002,52.890999,51.396,50.32,49.542999,48.828999,48.32,48.048,47.889999,47.672001,47.228001,46.655998,46.317001,45.912998,45.611,45.104,44.453999,44.214001,44.973,46.497002,48.056,49.264,49.893002,50.037998,49.132,46.917,44.521,42.324001,40.603001,38.948002,36.945,35.105,33.502998,32.147999,30.566999,28.473,25.971001,22.674,18.849001,14.973,12.273,11.892,13.377,15.224,15.841,15.043,13.333,11.137,8.8509998,6.79,5.2410002,4.164,3.3329999,2.651,2.0610001,1.567,1.149,.815,.53399998,.33899999,.192,.102,.116
2024,47.259998,48.396999,49.696999,48.101002,49.924,53.437,55.084,57.271999,58.341999,56.932999,54.855999,53.201,53.074001,54.145,53.445999,49.731998,45.841,43.535999,42.297001,41.273998,40.476002,40.396999,40.509998,40.75,40.959,42.549,43.915001,44.168999,44.242001,45.556,48.595001,52.349998,55.714001,57.057999,56.355,55.491001,55.696999,55.931,55.459999,54.220001,52.608002,51.117001,50.043999,49.264999,48.546001,48.028,47.745998,47.577,47.346001,46.889999,46.306,45.953999,45.530998,45.206001,44.673,43.993,43.714001,44.417,45.868,47.344002,48.459999,49.001999,49.074001,48.116001,45.870998,43.449001,41.221001,39.456001,37.756001,35.720001,33.841999,32.191002,30.771,29.134001,27.002001,24.483999,21.231001,17.521,13.806,11.217,10.767,11.99,13.496,13.875,12.999,11.347,9.3249998,7.2859998,5.4949999,4.1669998,3.2509999,2.556,1.992,1.516,1.127,.80500001,.55699998,.35499999,.219,.121,.126
2025,46.084,47.069,48.265999,49.589001,48.011002,49.848999,53.372002,55.028999,57.223,58.298,56.893002,54.814999,53.153,53.007999,54.049999,53.311001,49.549999,45.609001,43.251999,41.967999,40.905998,40.078999,39.98,40.082001,40.318001,40.530998,42.129002,43.505001,43.772999,43.862999,45.194,48.244999,52.012001,55.384998,56.741001,56.049,55.195,55.408001,55.647999,55.185001,53.951,52.345001,50.858002,49.785999,49.005001,48.283001,47.758999,47.467999,47.289001,47.049,46.584,45.990002,45.624001,45.182999,44.834,44.275002,43.566002,43.252998,43.905998,45.290001,46.688999,47.726002,48.203999,48.221001,47.216999,44.948002,42.507,40.257,38.458,36.721001,34.657001,32.744999,31.048,29.569,27.877001,25.714001,23.188999,19.987,16.379999,12.81,10.323,9.8219995,10.836,12.074,12.278,11.367,9.7930002,7.928,6.0929999,4.513,3.3610001,2.575,1.984,1.515,1.127,.81599998,.56900001,.382,.237,.142,.154
2026,44.904999,45.896999,46.938,48.16,49.5,47.936001,49.785,53.317001,54.98,57.181,58.258999,56.852001,54.768002,53.088001,52.912998,53.914001,53.127998,49.317001,45.325001,42.923,41.599998,40.509998,39.662998,39.554001,39.652,39.890999,40.112999,41.722,43.111,43.396,43.501999,44.848999,47.914001,51.689999,55.070999,56.436001,55.754002,54.909,55.127998,55.373001,54.915001,53.687,52.084999,50.601002,49.528,48.743,48.014999,47.483002,47.183998,46.994999,46.745998,46.27,45.662998,45.279999,44.817001,44.441002,43.848999,43.110001,42.758999,43.356998,44.668999,45.988998,46.959,47.375999,47.331001,46.279999,43.986,41.523998,39.249001,37.416,35.639999,33.544998,31.594,29.849001,28.308001,26.561001,24.370001,21.844999,18.701,15.212,11.799,9.4250002,8.8850002,9.7040005,10.696,10.749,9.823,8.3409996,6.6430001,5.0170002,3.648,2.668,2.0050001,1.513,1.1289999,.81900001,.57800001,.391,.25600001,.155,.18099999
2027,43.898998,44.721001,45.766998,46.832001,48.07,49.424999,47.872002,49.73,53.27,54.938999,57.141998,58.219002,56.804001,54.702,52.993,52.778,53.731998,52.894001,49.032001,44.994999,42.555,41.202999,40.094002,39.236,39.125,39.226002,39.474998,39.708,41.330002,42.735001,43.035999,43.16,44.521999,47.598,51.383999,54.771,56.141998,55.469002,54.632,54.855999,55.105,54.650002,53.425999,51.827,50.342999,49.265999,48.476002,47.741001,47.202,46.895,46.695,46.433998,45.945,45.323002,44.917999,44.429001,44.019001,43.393002,42.619999,42.229,42.769001,44.007,45.257999,46.162998,46.513,46.403,45.300999,42.981998,40.498001,38.198002,36.326,34.508999,32.379002,30.386,28.589001,26.987,25.188999,22.975,20.457001,17.384001,14.027,10.785,8.5340004,7.9650002,8.6070004,9.375,9.3009996,8.3800001,7.0029998,5.4829998,4.0650001,2.902,2.0810001,1.5319999,1.131,.82200003,.58099997,.39899999,.26300001,.167,.207
2028,43.094002,43.717999,44.592999,45.660999,46.743,47.995998,49.361,47.819,49.682999,53.228001,54.898998,57.101002,58.169998,56.737999,54.606998,52.858002,52.596001,53.498001,52.608002,48.702,44.626999,42.16,40.787998,39.667999,38.807999,38.700001,38.810001,39.070999,39.319,40.956001,42.376999,42.695999,42.835999,44.212002,47.298,51.089001,54.481998,55.858002,55.192001,54.362999,54.591999,54.841999,54.389,53.166,51.566002,50.081001,49,48.203999,47.463001,46.915001,46.598,46.388,46.112,45.605999,44.965,44.534,44.013,43.567001,42.903999,42.096001,41.66,42.141998,43.316002,44.500999,45.334,45.612999,45.435001,44.279999,41.932999,39.425999,37.098,35.186001,33.323002,31.155001,29.118999,27.271,25.608,23.761999,21.532,19.034,16.045,12.836,9.7779999,7.658,7.072,7.5549998,8.1230001,7.9460001,7.0489998,5.7919998,4.454,3.243,2.2709999,1.595,1.148,.82499999,.58499998,.40200001,.26899999,.171,.23
2029,42.327999,42.915001,43.59,44.487,45.571999,46.667999,47.931,49.306999,47.771,49.640999,53.188999,54.860001,57.054001,58.105,56.644001,54.473,52.675999,52.362999,53.213001,52.276001,48.332001,44.23,41.743,40.362,39.240002,38.383999,38.285,38.408001,38.682999,38.948002,40.601002,42.037998,42.372002,42.528999,43.916,47.009998,50.806999,54.201,55.582001,54.924,54.101002,54.331001,54.582001,54.127998,52.903,51.303001,49.813999,48.728001,47.925999,47.178001,46.623001,46.294998,46.07,45.777,45.250999,44.585999,44.124001,43.57,43.084999,42.382999,41.534,41.056999,41.487999,42.601002,43.714001,44.472,44.678001,44.428001,43.216999,40.84,38.310001,35.952,33.994999,32.081001,29.872,27.794001,25.896999,24.176001,22.289,20.052999,17.587999,14.701,11.651,8.7869997,6.809,6.2150002,6.5549998,6.948,6.6919999,5.8400002,4.7140002,3.5610001,2.543,1.743,1.197,.83999997,.588,.405,.271,.176,.24699999
2030,41.597,42.151001,42.789001,43.485001,44.397999,45.498001,46.605,47.877998,49.259998,47.729,49.603001,53.150002,54.812,56.987999,58.009998,56.508999,54.291,52.443001,52.077999,52.881001,51.905998,47.933998,43.813999,41.318001,39.933998,38.816002,37.970001,37.882999,38.02,38.312,38.594002,40.263,41.716,42.066002,42.236,43.634998,46.735001,50.534,53.93,55.313999,54.661999,53.844002,54.073002,54.321999,53.863998,52.638,51.034,49.542,48.451,47.643002,46.888,46.324001,45.981998,45.740002,45.424999,44.875999,44.181999,43.686001,43.095001,42.569,41.824001,40.938,40.426998,40.812,41.859001,42.895,43.574001,43.702999,43.377998,42.108002,39.700001,37.141998,34.75,32.743,30.777,28.530001,26.410999,24.468,22.695999,20.777,18.549999,16.132,13.36,10.484,7.822,5.9899998,5.3979998,5.6149998,5.8610001,5.553,4.7610002,3.777,2.7980001,1.957,1.311,.87800002,.60000002,.41,.27399999,.178,.26100001
2031,41.317001,41.423,42.025002,42.682999,43.396999,44.324001,45.433998,46.550999,47.831001,49.217999,47.692001,49.563999,53.103001,54.747002,56.893002,57.875,56.327,54.056999,52.158001,51.747002,52.511002,51.507,47.515999,43.386002,40.889,39.508999,38.401001,37.568001,37.497002,37.652,37.960999,38.258999,39.944,41.410999,41.775002,41.958,43.365002,46.471001,50.271,53.666,55.051998,54.403999,53.59,53.817001,54.058998,53.597,52.367001,50.758999,49.264,48.169998,47.354,46.591,46.014,45.657001,45.393002,45.053001,44.473,43.749001,43.216999,42.588001,42.016998,41.23,40.317001,39.776001,40.110001,41.085999,42.042,42.638,42.686001,42.280998,40.950001,38.507999,35.917999,33.488998,31.431,29.412001,27.127001,24.969999,22.988001,21.174999,19.237,17.032,14.678,12.037,9.3459997,6.8920002,5.21,4.6300001,4.743,4.8699999,4.5339999,3.8210001,2.9749999,2.1589999,1.475,.96399999,.62800002,.41800001,.27700001,.18000001,.27200001
2032,40.856998,41.144001,41.297001,41.919998,42.595001,43.323002,44.261002,45.381001,46.504002,47.789001,49.18,47.653,49.516998,53.036999,54.653,56.758999,57.693001,56.091999,53.772999,51.827999,51.376999,52.111,51.087002,47.087002,42.957001,40.465,39.095001,38,37.182999,37.129002,37.300999,37.626999,37.943001,39.641998,41.120998,41.498001,41.692001,43.108002,46.215,50.015999,53.410999,54.796001,54.150002,53.335999,53.557999,53.793999,53.325001,52.091,50.48,48.980999,47.881001,47.056999,46.284,45.693001,45.314999,45.026001,44.654999,44.043999,43.286999,42.716999,42.044998,41.43,40.611,39.674,39.099998,39.379002,40.279999,41.153,41.661999,41.624001,41.136002,39.738998,37.256001,34.632999,32.162998,30.052999,27.983,25.665001,23.478001,21.466,19.622999,17.681,15.515,13.242,10.745,8.2460003,6.0029998,4.4749999,3.9170001,3.9460001,3.9820001,3.645,3.0150001,2.299,1.631,1.087,.69099998,.43799999,.28299999,.183,.278
2033,40.646,40.685001,41.018002,41.193001,41.833,42.521,43.259998,44.207001,45.334,46.463001,47.750999,49.140999,47.605999,49.452,52.943001,54.52,56.577999,57.459,55.807999,53.442001,51.458,50.979,51.692001,50.657001,46.655998,42.532001,40.049999,38.694,37.615002,36.816002,36.778999,36.967999,37.312,37.644001,39.355,40.845001,41.233002,41.437,42.860001,45.970001,49.768002,53.159,54.542999,53.896,53.080002,53.296001,53.522999,53.047001,51.807999,50.195,48.692001,47.585999,46.751999,45.965,45.355999,44.953999,44.633999,44.23,43.585999,42.792,42.181,41.467999,40.818001,39.971001,39.006001,38.396,38.617001,39.439999,40.224998,40.641998,40.514999,39.938,38.467999,35.942001,33.280998,30.774,28.613001,26.495001,24.15,21.941999,19.912001,18.052999,16.122999,14.013,11.835,9.4940004,7.1939998,5.165,3.7909999,3.263,3.2320001,3.207,2.8800001,2.335,1.7410001,1.204,.78200001,.484,.29800001,.18700001,.28400001
2034,40.448002,40.476002,40.558998,40.912998,41.105,41.757999,42.458,43.206001,44.160999,45.292999,46.425999,47.712002,49.095001,47.542,49.360001,52.811001,54.338001,56.344002,57.174,55.476002,53.071999,51.060001,50.560001,51.262001,50.223,46.229,42.116001,39.648998,38.307999,37.247002,36.466999,36.448002,36.653999,37.013,37.360001,39.083,40.582001,40.98,41.192001,42.620998,45.731998,49.527,52.910999,54.290001,53.641998,52.823002,53.029999,53.247002,52.764,51.52,49.902,48.396,47.280998,46.435001,45.630001,44.999001,44.568001,44.215,43.776001,43.095001,42.263,41.611,40.866001,40.185001,39.306,38.311001,37.662998,37.823002,38.563,39.255001,39.576,39.353001,38.68,37.130001,34.561001,31.864,29.319,27.111,24.950001,22.589001,20.372999,18.339001,16.482,14.579,12.542,10.473,8.2969999,6.1999998,4.382,3.164,2.677,2.608,2.539,2.234,1.771,1.289,.86799997,.54799998,.33000001,.197,.29100001
2035,40.457001,40.278999,40.351002,40.456001,40.826,41.030998,41.695999,42.403999,43.159,44.119999,45.255001,46.387001,47.666,49.029999,47.449001,49.228001,52.631001,54.105999,56.060001,56.842999,55.106998,52.673,50.641998,50.131001,50.828999,49.794998,45.811001,41.714001,39.263,37.941002,36.898998,36.137001,36.136002,36.358002,36.731998,37.09,38.823002,40.331001,40.737,40.958,42.390999,45.5,49.290001,52.665001,54.036999,53.382999,52.558998,52.757,52.966,52.473999,51.224998,49.604,48.091,46.964001,46.102001,45.276001,44.618,44.155998,43.768002,43.291,42.569,41.700001,41.016998,40.243999,39.527,38.612999,37.587002,36.896999,36.993,37.647999,38.241001,38.459999,38.132999,37.355999,35.723999,33.109001,30.378,27.799999,25.551001,23.358,20.992001,18.782,16.761,14.922,13.065,11.113,9.1660004,7.1609998,5.27,3.664,2.5999999,2.164,2.0680001,1.973,1.698,1.314,.93099999,.61000001,.37400001,.21799999,.30199999
