year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,7.051,7.434,7.623,7.648,7.535,7.314,7.013,6.659,6.281,5.907,5.532,5.15,4.958,5.054,5.363,5.685,6.024,6.531,7.248,8.098,8.939,9.779,10.547,11.188,11.71,12.194,12.643,12.859,12.758,12.423,12.049,11.631,11.094,10.433,9.697,8.933,8.119,7.458,7.053,6.818,6.565,6.328,6.096,5.842,5.579,5.347,5.134,4.932,4.738,4.55,4.366,4.185,4.001,3.81,3.612,3.418,3.235,3.018,2.752,2.458,2.178,1.903,1.667,1.49,1.359,1.232,1.109,1.031,1.011,1.028,1.051,1.086,1.097,1.063,0.999,0.944,0.892,0.828,0.75,0.663,0.575,0.486,0.406,0.341,0.287,0.234,0.183,0.141,0.111,0.089,0.069,0.057,0.047,0.035,0.022,0.014,0.012,0.009,0.007,0.004,0.006
2016,6.961,7.205,7.514,7.657,7.657,7.539,7.335,7.081,6.748,6.342,5.916,5.509,5.102,4.939,5.144,5.617,6.093,6.575,7.254,8.185,9.261,10.315,11.372,12.246,12.822,13.165,13.474,13.738,13.76,13.471,12.957,12.393,11.77,11.09,10.382,9.662,8.91,8.118,7.472,7.057,6.798,6.533,6.293,6.05,5.775,5.486,5.23,4.993,4.773,4.572,4.384,4.2,4.02,3.84,3.656,3.469,3.287,3.117,2.912,2.654,2.367,2.094,1.826,1.597,1.429,1.308,1.189,1.075,1.003,0.982,0.997,1.016,1.048,1.056,1.02,0.954,0.897,0.843,0.779,0.703,0.619,0.536,0.45,0.374,0.313,0.262,0.211,0.164,0.127,0.099,0.079,0.061,0.05,0.041,0.031,0.019,0.013,0.011,0.008,0.004,0.007
2017,6.909,7.395,7.357,7.591,7.686,7.662,7.537,7.352,7.145,6.835,6.401,5.922,5.483,5.05,4.916,5.232,5.872,6.504,7.13,7.985,9.131,10.436,11.706,12.983,13.962,14.473,14.633,14.765,14.841,14.666,14.186,13.49,12.734,11.904,11.08,10.323,9.619,8.881,8.112,7.481,7.057,6.774,6.497,6.253,6,5.704,5.388,5.107,4.847,4.61,4.401,4.212,4.028,3.849,3.674,3.498,3.322,3.152,2.995,2.803,2.554,2.273,2.007,1.746,1.525,1.366,1.255,1.145,1.04,0.973,0.953,0.964,0.98,1.008,1.013,0.975,0.908,0.849,0.793,0.729,0.655,0.575,0.495,0.414,0.341,0.283,0.236,0.188,0.144,0.113,0.088,0.068,0.052,0.043,0.035,0.026,0.016,0.012,0.008,0.005,0.008
2018,6.86,7.311,7.61,7.483,7.639,7.686,7.636,7.506,7.34,7.183,6.896,6.435,5.904,5.435,4.978,4.875,5.301,6.106,6.894,7.663,8.691,10.051,11.583,13.066,14.56,15.643,16.085,16.061,16.013,15.898,15.524,14.854,13.977,13.029,11.993,11.027,10.224,9.539,8.817,8.075,7.461,7.029,6.723,6.435,6.188,5.925,5.61,5.268,4.964,4.68,4.426,4.211,4.023,3.84,3.662,3.491,3.325,3.16,3.003,2.861,2.681,2.442,2.169,1.912,1.658,1.446,1.298,1.196,1.096,1.001,0.939,0.919,0.927,0.94,0.965,0.966,0.926,0.858,0.798,0.74,0.675,0.603,0.528,0.452,0.375,0.307,0.253,0.209,0.164,0.124,0.098,0.076,0.056,0.042,0.035,0.029,0.021,0.013,0.009,0.005,0.009
2019,6.768,7.159,7.438,7.616,7.551,7.63,7.627,7.553,7.418,7.272,7.166,6.905,6.42,5.842,5.346,4.868,4.796,5.33,6.294,7.231,8.138,9.331,10.894,12.64,14.325,16.026,17.203,17.573,17.365,17.137,16.833,16.264,15.409,14.358,13.224,11.991,10.889,10.047,9.386,8.686,7.976,7.384,6.948,6.622,6.325,6.076,5.806,5.473,5.108,4.783,4.478,4.209,3.989,3.803,3.622,3.447,3.283,3.127,2.975,2.831,2.705,2.539,2.312,2.049,1.802,1.558,1.356,1.219,1.129,1.039,0.953,0.898,0.879,0.883,0.893,0.914,0.912,0.87,0.801,0.74,0.681,0.616,0.548,0.477,0.405,0.334,0.27,0.221,0.181,0.138,0.103,0.082,0.063,0.045,0.033,0.027,0.022,0.016,0.01,0.006,0.01
2020,6.602,6.932,7.187,7.37,7.488,7.545,7.545,7.494,7.398,7.259,7.135,7.078,6.846,6.343,5.723,5.206,4.713,4.671,5.306,6.417,7.491,8.524,9.868,11.615,13.555,15.421,17.307,18.566,18.862,18.475,18.073,17.586,16.83,15.802,14.59,13.287,11.872,10.648,9.775,9.144,8.473,7.801,7.237,6.8,6.457,6.154,5.907,5.632,5.285,4.901,4.558,4.236,3.955,3.732,3.55,3.373,3.203,3.046,2.901,2.763,2.635,2.525,2.375,2.161,1.911,1.676,1.445,1.255,1.13,1.051,0.973,0.898,0.849,0.83,0.831,0.838,0.855,0.849,0.806,0.738,0.676,0.616,0.553,0.488,0.422,0.356,0.29,0.232,0.187,0.151,0.112,0.081,0.066,0.05,0.033,0.023,0.02,0.016,0.011,0.006,0.011
2021,6.607,6.73,7.028,7.263,7.437,7.553,7.617,7.634,7.595,7.496,7.349,7.217,7.15,6.92,6.441,5.858,5.369,4.902,4.86,5.451,6.489,7.495,8.466,9.724,11.349,13.15,14.885,16.636,17.824,18.144,17.847,17.532,17.136,16.476,15.542,14.42,13.213,11.902,10.747,9.891,9.24,8.551,7.855,7.274,6.836,6.5,6.199,5.949,5.673,5.324,4.938,4.593,4.269,3.986,3.761,3.577,3.398,3.226,3.067,2.92,2.778,2.646,2.532,2.379,2.162,1.909,1.672,1.438,1.245,1.118,1.037,0.956,0.88,0.828,0.806,0.803,0.806,0.819,0.812,0.767,0.699,0.637,0.578,0.515,0.452,0.39,0.325,0.263,0.211,0.169,0.134,0.098,0.072,0.058,0.044,0.028,0.022,0.017,0.012,0.007,0.012
2022,6.543,6.771,6.787,7.05,7.262,7.424,7.538,7.609,7.643,7.615,7.516,7.361,7.223,7.145,6.92,6.472,5.931,5.477,5.042,4.998,5.539,6.493,7.419,8.317,9.474,10.957,12.599,14.182,15.778,16.879,17.222,17.02,16.795,16.495,15.94,15.111,14.093,12.996,11.804,10.732,9.901,9.238,8.538,7.826,7.233,6.798,6.474,6.178,5.929,5.653,5.306,4.922,4.579,4.256,3.974,3.75,3.567,3.388,3.216,3.056,2.907,2.763,2.629,2.513,2.358,2.14,1.887,1.649,1.415,1.222,1.093,1.011,0.93,0.852,0.799,0.773,0.766,0.766,0.775,0.765,0.72,0.652,0.591,0.532,0.472,0.412,0.353,0.291,0.233,0.188,0.149,0.115,0.083,0.062,0.05,0.037,0.024,0.019,0.013,0.008,0.014
2023,6.427,6.605,6.779,6.8,7.024,7.213,7.363,7.473,7.551,7.601,7.585,7.485,7.324,7.181,7.093,6.875,6.46,5.965,5.547,5.148,5.103,5.591,6.453,7.293,8.114,9.161,10.494,11.966,13.388,14.817,15.826,16.189,16.082,15.949,15.747,15.3,14.582,13.673,12.694,11.629,10.647,9.846,9.175,8.469,7.746,7.145,6.716,6.406,6.115,5.869,5.595,5.252,4.874,4.535,4.215,3.937,3.714,3.532,3.354,3.184,3.025,2.875,2.73,2.595,2.476,2.321,2.104,1.853,1.616,1.383,1.19,1.062,0.979,0.897,0.819,0.764,0.736,0.724,0.72,0.726,0.713,0.667,0.601,0.541,0.484,0.426,0.369,0.314,0.255,0.201,0.164,0.129,0.095,0.068,0.051,0.041,0.031,0.019,0.014,0.008,0.015
2024,6.281,6.42,6.569,6.722,6.805,6.992,7.156,7.294,7.401,7.485,7.551,7.547,7.447,7.279,7.132,7.034,6.823,6.442,5.992,5.612,5.247,5.202,5.636,6.407,7.162,7.904,8.842,10.025,11.327,12.588,13.852,14.768,15.15,15.138,15.095,14.99,14.652,14.043,13.244,12.381,11.443,10.551,9.782,9.103,8.392,7.658,7.05,6.628,6.331,6.047,5.803,5.533,5.194,4.821,4.486,4.171,3.895,3.675,3.495,3.318,3.149,2.99,2.84,2.694,2.558,2.438,2.282,2.066,1.817,1.582,1.35,1.158,1.03,0.946,0.863,0.785,0.729,0.697,0.682,0.674,0.676,0.661,0.615,0.55,0.491,0.435,0.38,0.326,0.275,0.219,0.17,0.14,0.108,0.075,0.052,0.041,0.033,0.024,0.015,0.009,0.016
