year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,2.368,2.369,2.368,2.3859999,2.4100001,2.513,2.441,2.3959999,2.395,2.5079999,2.441,2.4460001,2.401,2.3789999,2.5780001,2.5610001,2.605,2.549,2.401,2.4590001,2.3699999,2.306,2.2750001,2.1159999,1.9809999,1.888,1.652,1.612,1.574,1.544,1.467,1.47,1.346,1.3380001,1.322,1.281,1.176,1.202,1.196,1.205,1.188,1.147,1.1210001,1.017,1.114,1.136,1.062,1.018,1.04,1.075,1.035,.99800003,.98500001,.903,1.026,.96399999,.86900002,.84100002,.86900002,.866,.801,.70099998,.648,.58899999,.58899999,.52200001,.477,.39899999,.345,.26899999,.27700001,.24600001,.223,.20200001,.185,.167,.153,.13699999,.124,.106,.092,.081,.067000002,.056000002,.046,.039000001,.033,.025,.02,.015,.012,.0089999996,.0060000001,.0040000002,.003,.003,.001,.001,.001,0,0
2016,2.335,2.3380001,2.348,2.3510001,2.372,2.398,2.5039999,2.431,2.3889999,2.388,2.503,2.434,2.4400001,2.391,2.3659999,2.559,2.536,2.572,2.5090001,2.355,2.4059999,2.313,2.247,2.2149999,2.0569999,1.921,1.831,1.596,1.5599999,1.524,1.499,1.424,1.4299999,1.308,1.304,1.289,1.25,1.148,1.175,1.171,1.181,1.166,1.128,1.103,.99900001,1.098,1.1210001,1.046,1.0039999,1.025,1.0599999,1.021,.98500001,.972,.88999999,1.012,.94999999,.85600001,.82800001,.85399997,.85000002,.78600001,.68800002,.63300002,.57499999,.57300001,.50700003,.46200001,.38600001,.33199999,.257,.264,.234,.211,.191,.17299999,.156,.142,.126,.112,.096000001,.082999997,.071999997,.059,.048999999,.039999999,.033,.027000001,.021,.015,.012,.0089999996,.0070000002,.0040000002,.003,.003,.001,.001,.001,0,0
2017,2.3310001,2.3080001,2.319,2.332,2.3369999,2.3599999,2.3889999,2.4949999,2.424,2.382,2.3840001,2.4990001,2.428,2.431,2.3789999,2.348,2.5350001,2.503,2.5339999,2.464,2.3039999,2.3540001,2.257,2.191,2.1589999,2.0020001,1.8660001,1.779,1.5470001,1.513,1.48,1.457,1.3839999,1.3940001,1.274,1.273,1.26,1.223,1.123,1.153,1.149,1.161,1.147,1.11,1.086,.98299998,1.082,1.105,1.033,.991,1.012,1.0470001,1.007,.97100002,.958,.87699997,.99800003,.93699998,.84200001,.815,.83999997,.83499998,.76999998,.671,.61900002,.56099999,.55800003,.49200001,.44600001,.37099999,.31900001,.245,.25099999,.221,.198,.178,.162,.14399999,.13,.115,.103,.086000003,.072999999,.063000001,.052000001,.041000001,.034000002,.028000001,.022,.016000001,.012,.0089999996,.0070000002,.0040000002,.003,.003,.001,.001,.001,0,0
2018,2.3150001,2.3050001,2.29,2.3039999,2.319,2.325,2.3510001,2.381,2.4890001,2.4200001,2.378,2.378,2.4920001,2.4189999,2.418,2.362,2.3239999,2.5039999,2.4679999,2.4920001,2.4170001,2.2539999,2.3,2.2019999,2.1370001,2.105,1.951,1.816,1.7309999,1.502,1.471,1.441,1.419,1.349,1.3609999,1.244,1.245,1.233,1.2,1.101,1.131,1.1289999,1.143,1.13,1.094,1.071,.96899998,1.068,1.092,1.0190001,.97799999,.99900001,1.034,.99400002,.95899999,.94499999,.86500001,.98299998,.92199999,.82800001,.80000001,.824,.81800002,.75400001,.65700001,.60299999,.54500002,.54100001,.47600001,.43000001,.35600001,.30399999,.233,.23800001,.20999999,.186,.16599999,.15000001,.132,.119,.104,.092,.077,.064999998,.055,.044,.035,.028000001,.022,.017000001,.013,.0089999996,.0070000002,.0049999999,.003,.003,.001,.001,.001,0,0
2019,2.3,2.29,2.2880001,2.276,2.2920001,2.3069999,2.316,2.3429999,2.3740001,2.484,2.415,2.372,2.372,2.4820001,2.4070001,2.401,2.3380001,2.2950001,2.4690001,2.425,2.444,2.3659999,2.2,2.2449999,2.148,2.0840001,2.0539999,1.9,1.768,1.686,1.46,1.432,1.402,1.3839999,1.318,1.332,1.216,1.219,1.21,1.177,1.079,1.1109999,1.1109999,1.126,1.114,1.077,1.056,.95499998,1.054,1.077,1.006,.96499997,.986,1.02,.98100001,.94599998,.93099999,.852,.96899998,.90600002,.81300002,.78500003,.80800003,.801,.736,.63999999,.58600003,.52899998,.523,.45899999,.41299999,.34,.28999999,.219,.22400001,.197,.17299999,.154,.13699999,.121,.108,.093999997,.082000002,.068000004,.056000002,.046999998,.037999999,.028999999,.023,.017000001,.014,.0099999998,.0070000002,.0049999999,.0040000002,.003,.001,.001,0,0,0
2020,2.2950001,2.2739999,2.2720001,2.273,2.2650001,2.28,2.299,2.309,2.336,2.3699999,2.4790001,2.4089999,2.365,2.3629999,2.47,2.3889999,2.378,2.309,2.2579999,2.425,2.3759999,2.3929999,2.312,2.1459999,2.191,2.0940001,2.0320001,2.003,1.851,1.722,1.643,1.42,1.393,1.367,1.351,1.2869999,1.303,1.189,1.194,1.187,1.155,1.0599999,1.092,1.094,1.109,1.097,1.063,1.041,.94099998,1.039,1.062,.99199998,.94999999,.972,1.006,.96600002,.93099999,.917,.83700001,.95200002,.89099997,.79799998,.76899999,.78899997,.78200001,.71799999,.62199998,.56800002,.50999999,.50400001,.44,.39399999,.32300001,.27399999,.206,.211,.183,.161,.141,.126,.11,.097999997,.083999999,.071999997,.059,.048,.039000001,.030999999,.024,.017999999,.014,.011,.0070000002,.0060000001,.0040000002,.003,.001,.001,.001,0,0
2021,2.29,2.28,2.2639999,2.2639999,2.2650001,2.2590001,2.2750001,2.293,2.306,2.3340001,2.3659999,2.4760001,2.4070001,2.3610001,2.355,2.46,2.3770001,2.3610001,2.289,2.234,2.4000001,2.349,2.365,2.2839999,2.1170001,2.161,2.066,2.0050001,1.977,1.827,1.699,1.623,1.4,1.375,1.35,1.335,1.271,1.288,1.176,1.181,1.175,1.1440001,1.049,1.082,1.084,1.099,1.087,1.052,1.031,.93199998,1.029,1.051,.98199999,.94,.96100003,.995,.954,.91900003,.903,.824,.93599999,.87400001,.78100002,.75199997,.77100003,.76300001,.69800001,.60299999,.551,.493,.48500001,.42300001,.37599999,.308,.259,.19400001,.197,.17,.148,.13,.115,.098999999,.086999997,.074000001,.061999999,.050000001,.041000001,.033,.025,.018999999,.014,.011,.0080000004,.0060000001,.0040000002,.003,.001,.001,.001,0,0
2022,2.3050001,2.276,2.2690001,2.2550001,2.257,2.2590001,2.2539999,2.2690001,2.29,2.303,2.3299999,2.3640001,2.473,2.402,2.3529999,2.346,2.448,2.3599999,2.342,2.2650001,2.2090001,2.3710001,2.3199999,2.335,2.2539999,2.0880001,2.1329999,2.04,1.978,1.952,1.804,1.679,1.602,1.382,1.358,1.3329999,1.319,1.257,1.274,1.163,1.169,1.164,1.131,1.0369999,1.072,1.074,1.087,1.077,1.043,1.021,.92199999,1.018,1.04,.97100002,.93000001,.94999999,.98299998,.94199997,.90499997,.889,.81,.91900003,.85699999,.764,.73400003,.75199997,.74199998,.67699999,.58399999,.53200001,.47400001,.46399999,.40400001,.35699999,.29100001,.244,.182,.183,.15700001,.13600001,.118,.103,.089000002,.075999998,.064000003,.054000001,.043000001,.034000002,.027000001,.021,.015,.011,.0080000004,.0060000001,.0040000002,.003,.001,.001,.001,0,0
2023,2.3180001,2.2909999,2.266,2.2609999,2.2490001,2.2509999,2.2550001,2.25,2.266,2.2880001,2.3,2.3280001,2.3599999,2.4690001,2.395,2.345,2.3340001,2.4319999,2.342,2.3210001,2.2420001,2.184,2.345,2.293,2.3080001,2.2279999,2.062,2.108,2.0150001,1.956,1.9299999,1.784,1.66,1.585,1.365,1.342,1.319,1.306,1.244,1.262,1.151,1.158,1.152,1.1210001,1.027,1.062,1.064,1.0779999,1.067,1.033,1.011,.91299999,1.008,1.029,.95999998,.91900003,.93800002,.96899998,.92699999,.89099997,.875,.79500002,.90100002,.838,.74699998,.71600002,.73199999,.71899998,.65399998,.56300002,.51099998,.454,.44299999,.38299999,.336,.273,.228,.168,.169,.145,.124,.106,.092,.077,.066,.054000001,.046,.035,.028000001,.022,.016000001,.012,.0080000004,.0060000001,.0040000002,.003,.0020000001,.001,.001,0,0
2024,2.3429999,2.3039999,2.2820001,2.257,2.2550001,2.243,2.2460001,2.25,2.2460001,2.2620001,2.2839999,2.2969999,2.3239999,2.355,2.4630001,2.3859999,2.3329999,2.319,2.414,2.3210001,2.2969999,2.217,2.1570001,2.3180001,2.266,2.2820001,2.2019999,2.0369999,2.085,1.993,1.934,1.911,1.765,1.642,1.568,1.349,1.327,1.3049999,1.2920001,1.2309999,1.25,1.141,1.147,1.142,1.112,1.018,1.052,1.054,1.069,1.057,1.023,1.002,.903,.99699998,1.018,.949,.90799999,.926,.95700002,.91399997,.87699997,.85900003,.77899998,.88200003,.82099998,.72899997,.69700003,.70999998,.69700003,.63200003,.542,.49000001,.43399999,.421,.36300001,.31600001,.255,.212,.155,.155,.131,.112,.094999999,.081,.067000002,.056000002,.046,.037999999,.028999999,.022,.016000001,.012,.0089999996,.0070000002,.0040000002,.003,.001,.001,.001,0,0
