year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2016,914.63098,897.08398,892.27002,888.789,892.72998,894.83899,901.474,899.91101,907.72998,908.16302,915.72699,926.82397,941.25598,952.65198,936.89899,920.935,916.41998,916.74701,918.17603,919.54797,915.23901,914.95099,913.89899,906.724,899.12201,888.88702,876.72601,859.06201,862.79901,868.97302,874.73901,877.96802,862.88397,839.35999,816.89301,803.02698,791.034,773.89001,759.28601,744.90601,729.70099,716.33301,706.63098,693.31299,679.77899,664.52301,649.31403,635.18799,619.40302,601.71698,584.63098,563.69702,543.72498,524.78101,505.08099,487.10699,469.87399,452.55701,434.96799,415.55801,395.991,376.51999,355.72101,334.55701,313.565,293.603,275.11099,231.03999,213.938,200.638,185.77499,171.13699,157.396,144.658,133.119,122.517,112.458,102.907,92.975998,82.821999,72.915001,63.734001,54.987,46.355,38.310001,31.045,24.834999,19.459999,14.808,10.915,7.803,5.4089999,3.6059999,2.3629999,1.5140001,.93099999,.54400003,.29899999,.14399999,.071000002,.037999999
2017,919.23499,905.61902,892.89697,888.91803,886.07397,890.48798,892.96002,899.86298,898.50702,906.46503,906.98297,914.55701,925.56897,939.79797,950.862,934.68597,918.20502,913.10999,912.84601,913.72699,914.63397,909.974,909.43903,908.24701,901.04199,893.48602,883.35101,871.32898,853.83099,857.68298,863.95697,869.81201,873.12299,858.15601,834.76398,812.41101,798.61798,786.67401,769.57898,754.995,740.61499,725.39099,711.979,702.19702,688.79498,675.15698,659.78802,644.44501,630.15601,614.20203,596.34198,579.065,557.96301,537.81,518.66998,498.77499,480.57901,463.09799,445.51801,427.65201,407.93301,388.112,368.38699,347.37701,326.03201,304.88,284.75299,266.07101,222.74699,205.49899,191.961,176.963,162.235,148.423,135.62601,124.02,113.341,103.22,93.624001,83.757004,73.796997,64.202003,55.414001,47.174999,39.215,31.923,25.441999,19.969999,15.313,11.366,8.1479998,5.651,3.7939999,2.4449999,1.544,.95099998,.55800003,.303,.154,.064000003,.046
2018,916.77802,910.37598,901.362,889.47198,886.11298,883.75098,888.52502,891.27698,898.38898,897.18799,905.22998,905.76599,913.24799,924.034,937.88,948.42102,931.64398,914.508,908.74597,907.85901,908.20898,908.70502,903.77899,903.09003,901.85199,894.70203,887.26001,877.28497,865.44598,848.15198,852.14697,858.54999,864.51501,867.92798,853.09802,829.85303,807.63098,793.91901,782.03003,764.987,750.42499,736.04303,720.80103,707.34003,697.46899,683.97601,670.22498,654.73102,639.24103,624.776,608.63898,590.59497,573.11603,551.84003,531.5,512.15302,492.052,473.61401,455.86401,437.99899,419.81201,399.82599,379.73999,359.758,338.53699,317.013,295.70099,275.40701,256.53299,214.007,196.625,182.867,167.769,152.99699,139.166,126.364,114.739,104.037,93.914001,84.346001,74.638,64.987,55.825001,47.547001,39.91,32.678001,26.162001,20.458,15.715,11.754,8.4860001,5.902,3.9630001,2.573,1.599,.96899998,.56699997,.308,.15000001,.075000003,.046999998
2019,910.89502,908.19299,906.12701,897.95898,886.71802,883.84399,881.85101,886.89801,889.85901,897.11499,896.005,904.052,904.495,911.73999,922.12903,935.42401,945.29901,927.828,910.005,903.599,902.16302,902.08801,902.29602,897.22198,896.48999,895.29999,888.27698,881.005,871.22498,859.59399,842.51898,846.67102,853.21002,859.29602,862.81299,848.12201,825.02002,802.92102,789.28601,777.44202,760.44,745.888,731.492,716.21899,702.69397,692.71698,679.11401,665.229,649.59198,633.93799,619.28101,602.94702,584.70801,567.01703,545.55701,525.013,505.44199,485.11301,466.41101,448.371,430.21201,411.716,391.452,371.09799,350.854,329.418,307.70901,286.228,265.758,246.689,205.00101,187.508,173.55901,158.40199,143.634,129.83299,117.069,105.472,94.801003,84.740997,75.286003,65.839996,56.606998,47.984001,40.299,33.319,26.829,21.077,16.129,12.085,8.7939997,6.1599998,4.1490002,2.6930001,1.687,1.006,.57999998,.317,.16,.067000002,.052999999
2020,907.68201,902.90198,904.25598,902.94098,895.36298,884.58301,882.052,880.31897,885.55798,888.65698,895.98999,894.896,902.85303,903.08899,909.98102,919.87299,932.56,941.771,923.67499,905.28302,898.383,896.55902,896.21899,896.28302,891.177,890.48499,889.39502,882.51801,875.414,865.81201,854.35901,837.46899,841.73901,848.37201,854.53198,858.112,843.51501,820.51703,798.49902,784.89697,773.05902,756.05902,741.47498,727.02899,711.68402,698.06097,687.94098,674.19202,660.14001,644.32898,628.47998,613.60303,597.04602,578.586,560.65997,538.992,518.22101,498.39801,477.81201,458.819,440.478,421.991,403.16901,382.61499,361.983,341.47,319.81201,297.91,276.25699,255.61301,236.356,195.57899,178.013,163.91299,148.74899,134.03799,120.318,107.648,96.139,85.57,75.664001,66.435997,57.374001,48.678001,40.688,33.660999,27.368999,21.625999,16.627001,12.414,9.0500002,6.3920002,4.3390002,2.8269999,1.774,1.069,.60900003,.329,.163,.081,.054000001
2021,899.67798,900.56702,899.54901,901.50897,900.67401,893.47998,883.00201,880.69202,879.12701,884.47998,887.64899,894.99402,893.84399,901.65198,901.65802,908.22803,917.71802,929.94897,938.69,920.19501,901.47198,894.30701,892.297,891.84998,891.87701,886.80298,886.17401,885.16498,878.39398,871.39398,861.89398,850.534,833.737,838.03699,844.677,850.82599,854.383,839.79498,816.81598,794.79797,781.15198,769.24298,752.172,737.48999,722.927,707.44897,693.66199,683.33899,669.38202,655.10101,639.04999,622.94299,607.784,590.94299,572.203,553.974,532.034,510.96899,490.82501,469.91699,450.54599,431.82001,412.94501,393.73499,372.83499,351.86801,331.04001,309.13599,287.04099,265.23099,244.444,225.049,185.34801,167.80499,153.679,138.655,124.138,110.608,98.116997,86.777,76.399002,66.758003,57.877998,49.313999,41.231998,33.922001,27.580999,21.997999,17.011999,12.766,9.2770004,6.5669999,4.4990001,2.9590001,1.867,1.13,.65499997,.35299999,.175,.078000002,.064000003
2022,893.31598,893.25201,897.59003,897.13599,899.52002,899.01703,892.08698,881.81598,879.651,878.18903,883.59998,886.784,894.09003,892.84601,900.479,900.24701,906.51501,915.66302,927.53198,935.91998,917.15698,898.23102,890.91498,888.81897,888.33801,888.367,883.33002,882.73602,881.76703,875.04797,868.08801,858.625,847.29303,830.52301,834.77698,841.34497,847.40399,850.85797,836.21301,813.19,791.10999,777.35199,765.302,748.09698,733.24701,718.49298,702.80902,688.78699,678.18103,663.94501,649.36603,633.013,616.591,601.08899,583.90997,564.83801,546.25299,523.98798,502.561,482.01001,460.69199,440.867,421.67401,402.34399,382.69601,361.41699,340.10001,318.94901,296.79599,274.50699,252.55499,231.664,212.201,173.828,156.41499,142.32201,127.492,113.226,99.962997,87.745003,76.691002,66.649002,57.431999,49.047001,41.088001,33.720001,27.195,21.655001,16.898001,12.756,9.3179998,6.579,4.52,3.0039999,1.918,1.1720001,.68599999,.38299999,.197,.094999999,.071999997
2023,886.078,887.10699,890.258,895.19098,895.198,897.927,897.68701,890.95801,880.836,878.76898,877.36499,882.78699,885.93298,893.138,891.73297,899.13599,898.62903,904.586,913.41199,924.96802,933.08502,914.15302,895.11902,887.73199,885.60303,885.12201,885.17102,880.177,879.61603,878.677,871.98999,865.05103,855.60303,844.28101,827.52502,831.72601,838.21802,844.18597,847.53601,832.82703,809.75403,787.60999,773.73999,761.55603,744.22101,729.21399,714.284,698.41199,684.172,673.30603,658.81201,643.95898,627.33398,610.625,594.81598,577.32898,557.95599,539.05103,516.49597,494.75299,473.86099,452.20901,432.01999,412.452,392.75101,372.74399,351.15601,329.54599,308.10901,285.73199,263.26999,241.196,220.21899,200.692,163.496,146.181,132.097,117.425,103.388,90.401001,78.509003,67.829002,58.223999,49.523998,41.716,34.435001,27.802999,22.011,17.162001,13.073,9.6090002,6.8340001,4.6880002,3.1289999,2.0220001,1.255,.74599999,.42399999,.23,.114,.092
2024,884.51099,880.133,884.19897,887.92999,893.29999,893.64697,896.62701,896.578,889.99402,879.974,877.96399,876.573,881.95599,885.00598,892.04498,890.422,897.54602,896.73999,902.383,910.90698,922.19299,930.09399,911.05402,891.96997,884.56097,882.435,881.97601,882.05798,877.10699,876.57599,875.65601,868.98798,862.05798,852.61499,841.29199,824.539,828.67401,835.07599,840.935,844.16302,829.37299,806.23401,784.00897,770.00897,757.66901,740.18597,725.00201,709.875,693.79303,679.31403,668.15997,653.388,638.245,621.32898,604.315,588.17401,570.35999,550.66302,531.40802,508.53601,486.453,465.20099,443.20001,422.63901,402.686,382.60501,362.229,340.32599,318.41299,296.69,274.10001,251.493,229.343,208.33701,188.811,152.88699,135.73399,121.717,107.269,93.542,80.925003,69.472,59.286999,50.234001,42.146,34.983002,28.41,22.518999,17.457001,13.289,9.8570004,7.0539999,4.8740001,3.2490001,2.108,1.325,.79900002,.46200001,.255,.134,.115
2025,877.10999,878.78003,877.31097,881.93597,886.09302,891.78497,892.38098,895.54303,895.62799,889.14301,879.185,877.19,875.76501,881.04999,883.94098,890.75598,888.867,895.68701,894.57898,899.92999,908.19299,919.26202,927.00702,907.91699,888.83301,881.43799,879.33698,878.91199,879.026,874.11298,873.60101,872.69,866.03003,859.099,849.64899,838.315,821.55402,825.60797,831.90302,837.63501,840.72101,825.83099,802.60901,780.28497,766.13599,753.62,735.96899,720.586,705.23999,688.92499,674.18201,662.72101,647.65198,632.19702,614.97101,597.63098,581.13702,562.96698,542.91901,523.28302,500.07001,477.62701,455.99899,433.64099,412.69699,392.349,371.87799,351.12399,328.89499,306.67899,284.67801,261.90302,239.196,217.03,196.062,176.603,142.04601,125.121,111.238,97.097,83.777,71.646004,60.755001,51.179001,42.775002,35.362999,28.881001,23.028,17.872,13.529,10.029,7.2420001,5.0359998,3.381,2.1900001,1.382,.84500003,.495,.27700001,.148,.13500001
