year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,694.96997,666.09998,639.18903,627.961,629.44202,630.771,613.83899,582.367,547.06799,525.72302,517.73401,507.56699,517.08002,516.25403,516.95099,524.45697,542.18799,573.30402,598.55298,617.92902,624.05798,633.20801,639.98499,644.61499,631.43701,609.53802,605.48602,606.54602,598.151,572.35101,546.60498,516.966,494.67499,477.87399,465.42999,451.10599,434.05701,424.94199,414.37201,402.39401,391.047,379.457,368.06799,356.46799,345.76099,334.05801,324.535,324.44101,322.08499,323.354,317.677,310.78799,307.17001,294.073,281.05099,263.46201,246.041,231.702,218.976,206.099,192.672,180.78101,168.817,157.052,147.853,109.991,96.394997,85.734001,78.663002,74.174004,71.613998,70.194,69.371002,68.359001,66.825996,65.563004,64.863998,60.077999,53.644001,46.655998,41.208,35.212002,30.712,27.1,23.513,19.632999,16.396999,12.813,9.3999996,6.5939999,4.6350002,3.095,2.02,1.296,.80500001,.46900001,.257,.145,.081,.044,.045000002
2016,711.92499,693.07898,665.41699,638.72498,627.62598,629.18402,630.55402,613.64099,582.17401,546.875,525.53003,517.53003,507.33099,516.784,515.875,516.46399,523.83801,541.42297,572.38202,597.48297,616.72699,622.75598,631.82098,638.53497,643.12701,629.94702,608.065,604.01801,605.07202,596.67499,570.89099,545.16498,515.55603,493.284,476.49899,464.061,449.74899,432.71301,423.58499,412.98801,400.98199,389.603,377.98001,366.547,354.897,344.138,332.38199,322.79099,322.578,320.09201,321.17599,315.34,308.284,304.46201,291.228,278.06799,260.397,242.911,228.489,215.64799,202.59399,189.02,177.02,164.95799,153.12,143.821,106.711,93.224998,82.722,75.683998,71.130997,68.415001,66.753998,65.624001,64.267998,62.396,60.764,59.648998,54.793999,48.507,41.797001,36.556,30.900999,26.622999,23.167999,19.795,16.250999,13.324,10.211,7.3410001,5.0440001,3.47,2.266,1.444,.90100002,.54000002,.301,.155,.082000002,.045000002,.045000002
2017,716.16101,709.948,692.30103,664.87,638.323,627.31,628.91498,630.30701,613.40601,581.94501,546.651,525.29602,517.25201,506.97299,516.29602,515.22198,515.61298,522.76898,540.13202,570.87402,595.78601,614.87701,620.79797,629.78802,636.46002,641.039,627.883,606.04797,602.03601,603.112,594.74103,569.00299,543.32501,513.77197,491.54901,474.80099,462.392,448.112,431.10199,421.97299,411.36099,399.33301,387.93399,376.28601,364.81299,353.11899,342.314,330.50601,320.84799,320.51099,317.88699,318.77802,312.772,305.548,301.51401,288.14001,274.83701,257.07999,239.53,225.02299,212.01199,198.80299,185.164,173.071,160.93401,149.03101,139.632,103.292,89.913002,79.559998,72.545998,67.925003,65.050003,63.154999,61.731998,60.056999,57.876999,55.910999,54.419998,49.541,43.449001,37.063,32.071999,26.794001,22.778,19.525,16.405001,13.22,10.621,7.9689999,5.6079998,3.77,2.5350001,1.618,1.002,.60000002,.34299999,.17900001,.086999997,.041999999,.044
2018,718.99799,714.138,709.09003,691.677,664.401,637.95203,626.99701,628.633,630.039,613.14398,581.69098,546.38702,524.98102,516.83301,506.39401,515.49402,514.16101,514.26898,521.138,538.23499,568.73602,593.45502,612.40198,618.24103,627.18701,633.849,638.45099,625.354,603.59698,599.64502,600.771,592.45001,566.784,541.17999,511.70801,489.55099,472.85901,460.48999,446.25201,429.28,420.15399,409.53299,397.492,386.07501,374.40399,362.897,351.16,340.31,328.448,318.72101,318.24799,315.47501,316.16101,309.979,302.57901,298.32199,284.79901,271.34698,253.50101,235.88699,221.24001,208.07899,194.79601,181.11099,168.946,156.743,144.778,135.267,99.714996,86.433998,76.230003,69.240997,64.554001,61.528999,59.415001,57.723999,55.757,53.304001,51.044998,49.224998,44.376999,38.527,32.507999,27.808001,22.938999,19.219999,16.205,13.366,10.554,8.2969999,6.0890002,4.1890001,2.7539999,1.806,1.1210001,.667,.38,.20299999,.101,.046999998,.041999999
2019,769.57898,716.94,713.21899,708.40399,691.15002,663.97699,637.591,626.67401,628.33502,629.75299,612.86401,581.396,546.03601,524.51099,516.17102,505.46899,514.24902,512.57599,512.34399,518.89899,535.71997,565.99402,590.547,609.38898,615.18597,624.12903,630.823,635.48102,622.47302,600.82098,596.95599,598.15198,589.90302,564.32898,538.81598,509.44,487.36301,470.733,458.41199,444.22101,427.29001,418.16901,407.53799,395.48401,384.052,372.358,360.81601,349.03201,338.13199,326.20901,316.401,315.78,312.84601,313.31299,306.94601,299.358,294.86099,281.17801,267.565,249.627,231.888,217.125,203.89799,190.55701,176.845,164.617,152.34801,140.30901,130.659,95.921997,82.744003,72.693001,65.736,60.995998,57.838001,55.526001,53.587002,51.358002,48.665001,46.153,44.056,39.292999,33.736,28.127001,23.757999,19.323999,15.931,13.19,10.659,8.2320004,6.322,4.5310001,3.0450001,1.952,1.244,.74199998,.419,.222,.113,.050999999,.041999999
2020,792.76898,767.409,715.97601,712.48999,707.83301,690.68298,663.57898,637.23901,626.35303,628.03101,629.45697,612.54901,581.01501,545.52197,523.784,515.14398,504.086,512.47302,510.41501,509.82999,516.08099,532.65601,562.745,587.18103,605.96899,611.77197,620.758,627.51898,632.26398,619.37097,597.84399,594.08502,595.367,587.20599,561.73499,536.32397,507.052,485.05801,468.49399,456.21899,442.07401,425.18201,416.06601,405.422,393.354,381.90302,370.18201,358.60001,346.763,335.802,323.81,313.91,313.12601,310.021,310.254,303.68799,295.89801,291.142,277.28699,263.50601,245.412,227.575,212.782,199.504,186.12601,172.39799,160.104,147.755,135.619,125.807,91.915001,78.850998,68.968002,62.063,57.292999,54.026001,51.539001,49.377998,46.917999,44.023998,41.310001,38.995998,34.370998,29.155001,23.990999,19.983999,16.003,12.961,10.515,8.3120003,6.2690001,4.697,3.2839999,2.1500001,1.339,.81900001,.461,.241,.122,.059,.039999999
2021,822.54498,790.90802,766.68201,715.46698,712.10303,707.51898,690.40997,663.33301,637.01202,626.13501,627.81598,629.22803,612.276,580.66101,545.04901,523.14001,514.29401,503.01099,511.16199,508.89099,508.121,514.22198,530.67999,560.67999,585.065,603.83301,609.65198,618.66101,625.453,630.23102,617.38898,595.92102,592.19598,593.49298,585.34601,559.90802,534.52698,505.28799,483.30899,466.741,454.44699,440.284,423.37299,414.203,403.49301,391.35599,379.836,368.04001,356.36301,344.418,333.33801,321.216,311.16901,310.15201,306.80301,306.71399,299.86801,291.798,286.702,272.62799,258.57001,240.319,222.453,207.608,194.23801,180.76401,166.967,154.556,142.099,129.85899,119.879,87.078003,74.208,64.565002,57.769001,53.014999,49.665001,47.023998,44.655998,41.985001,38.922001,36.044998,33.558998,29.143999,24.334,19.679001,16.1,12.652,10.042,7.9720001,6.1529999,4.5279999,3.3069999,2.2550001,1.437,.86400002,.50599998,.26899999,.13500001,.064000003,.046999998
2022,794.20801,820.70398,790.19202,766.17499,715.091,711.79401,707.24902,690.16699,663.10901,636.79999,625.92798,627.59497,628.96503,611.93201,580.19397,544.41602,522.30798,513.23602,501.728,509.66101,507.207,506.29099,512.28101,528.66199,558.60797,582.97101,601.742,607.58801,616.62799,623.45203,628.26599,615.47699,594.06598,590.37402,591.68402,583.547,558.133,532.776,503.564,481.58899,465.01099,452.689,438.5,421.564,412.33099,401.54199,389.32501,377.72299,365.836,354.05099,341.98099,330.76999,318.513,308.31,307.05499,303.45599,303.039,295.90799,287.55399,282.10599,267.73901,253.416,235.097,217.20799,202.31799,188.866,175.315,161.467,148.957,136.396,124.053,113.912,82.228996,69.584999,60.216,53.563999,48.851002,45.452999,42.695,40.168999,37.351002,34.198002,31.242001,28.663,24.49,20.091,15.949,12.81,9.8789997,7.6849999,5.9650002,4.4949999,3.2279999,2.299,1.526,.93800002,.53799999,.29800001,.15099999,.071999997,.052000001
2023,768.15601,792.52002,820.08301,789.76898,765.87097,714.86298,711.59998,707.06799,689.98999,662.93201,636.62299,625.73901,627.37402,628.68701,611.57599,579.74103,543.85303,521.62097,512.422,500.798,508.62,506.082,505.103,511.04501,527.38702,557.297,581.63702,600.39502,606.24103,615.27197,622.08197,626.87598,614.08301,592.67798,588.966,590.24298,582.08398,556.67902,531.32397,502.11899,480.13,463.51801,451.14301,436.901,419.91699,410.60599,399.73599,387.439,375.75,363.76599,351.86899,339.67801,328.32999,315.93399,305.56799,304.052,300.189,299.457,292.07001,283.44,277.62299,263.02399,248.536,230.173,212.243,197.256,183.687,170.02699,156.11099,143.532,130.952,118.641,108.49,77.969002,65.592003,56.41,49.818001,45.074001,41.577999,38.696999,36.063999,33.198002,30.073999,27.167,24.621,20.747999,16.761,13.074,10.302,7.7859998,5.9260001,4.5029998,3.3180001,2.329,1.617,1.041,.61799997,.34299999,.182,.089000002,.071000002
2024,746.883,766.54602,791.92297,819.65302,789.46198,765.63501,714.66803,711.41901,706.88898,689.81,662.75201,636.43402,625.52197,627.09998,628.32898,611.117,579.16602,543.15997,520.80701,511.492,499.76801,507.50101,504.901,503.88,509.793,526.11102,555.995,580.31799,599.065,604.90601,613.92401,620.71198,625.48102,612.68103,591.28198,587.54401,588.784,580.59998,555.19397,529.83301,500.62601,478.61301,461.95801,449.521,435.21899,418.17999,408.78101,397.823,385.43799,373.646,361.548,349.52399,337.19699,325.69501,313.14899,302.60501,300.806,296.66901,295.60501,287.92401,278.97,272.771,257.995,243.371,224.952,206.972,191.884,178.183,164.423,150.461,137.836,125.269,113.023,102.87,73.556999,61.472,52.499001,45.993,41.251999,37.703999,34.754002,32.067001,29.207001,26.163,23.347,20.872999,17.322001,13.756,10.526,8.1280003,6.0139999,4.4819999,3.3310001,2.4000001,1.642,1.105,.68699998,.39199999,.20999999,.107,.093000002
2025,724.742,745.341,765.97101,791.50702,819.34003,789.22302,765.43298,714.48798,711.24103,706.71002,689.62799,662.56097,636.21698,625.25098,626.74597,627.86798,610.534,578.46301,542.34003,519.87701,510.461,498.66,506.32401,503.68399,502.64099,508.54001,524.84698,554.711,579.01898,597.74902,603.58099,612.57703,619.33899,624.07703,611.26703,589.87097,586.10602,587.30298,579.08197,553.66699,528.29102,499.07199,477.02701,460.32001,447.814,433.444,416.34299,406.84698,395.79099,383.302,371.39099,359.16299,346.99701,334.517,322.85199,310.138,299.39801,297.30701,292.88,291.44101,283.418,274.12799,267.59299,252.67101,237.88901,219.40401,201.373,186.173,172.347,158.508,144.524,131.888,119.368,107.198,97.050003,68.997002,57.237,48.504002,42.120998,37.429001,33.876999,30.913,28.226999,25.421,22.493999,19.801001,17.438,14.226,11.087,8.3129997,6.2859998,4.5560002,3.322,2.4130001,1.694,1.123,.72899997,.43700001,.23999999,.123,.115
2026,707.52698,723.26599,744.78601,765.56897,791.203,819.09601,789.01801,765.24597,714.31097,711.06201,706.52502,689.43298,662.341,635.94598,624.901,626.289,627.28302,609.82001,577.62903,541.401,518.84601,509.35101,497.49701,505.11301,502.453,501.401,507.29901,523.59998,553.44501,577.73401,596.44202,602.258,611.22803,617.95801,622.66199,609.841,588.44598,584.64697,585.78998,577.52301,552.086,526.685,497.44699,475.36099,458.59601,446.013,431.56601,414.396,404.79199,393.62201,381.01401,368.96701,356.59201,344.267,331.62399,319.77701,306.883,295.94501,293.54001,288.78699,286.91599,278.539,268.965,262.112,247.02299,232.06799,213.51401,195.423,180.118,166.19099,152.29601,138.328,125.713,113.252,101.167,91.041,64.306,52.910999,44.458,38.245998,33.653,30.152,27.223,24.582001,21.868,19.089001,16.552999,14.335,11.479,8.7690001,6.4369998,4.7690001,3.382,2.411,1.707,1.1619999,.74299997,.46399999,.26699999,.141,.13600001
2027,691.04102,706.10901,722.729,744.39398,765.27197,790.96399,818.888,788.828,765.06299,714.133,710.87903,706.33002,689.20898,662.06598,635.59802,624.44897,625.70898,626.56598,608.97601,576.677,540.36298,517.737,508.18701,496.29999,503.88699,501.22101,500.17401,506.07599,522.37299,552.19702,576.46002,595.14001,600.935,609.87097,616.56702,621.23199,608.39697,586.99701,583.15503,584.23199,575.90399,550.43799,525.00098,495.737,473.60501,456.77399,444.103,429.57101,412.32401,402.59698,391.29599,378.55099,366.35101,353.81299,341.31601,328.49301,316.44901,303.37,292.224,289.46799,284.33499,282.01199,273.32901,263.49301,256.29001,241.01601,225.88,207.248,189.10899,173.72301,159.716,145.802,131.886,119.305,106.911,94.932999,84.855003,59.502998,48.522999,40.401001,34.414001,29.971001,26.566999,23.716999,21.158001,18.566999,15.965,13.614,11.575,9.0860004,6.8000002,4.8889999,3.5450001,2.46,1.71,1.173,.77100003,.47400001,.285,.15700001,.15899999
2028,678.05603,689.677,705.58801,722.349,744.104,765.039,790.76099,818.69501,788.64398,764.87903,713.953,710.68597,706.10602,688.93201,661.71301,635.146,623.87402,624.99902,625.71997,608.013,575.62402,539.24597,516.573,506.98801,495.08701,502.66101,500.00101,498.966,504.875,521.16602,550.96198,575.19397,593.83899,599.60699,608.50702,615.16302,619.78601,606.92999,585.51898,581.62299,582.61798,574.216,548.70898,523.229,493.935,471.74899,454.84299,442.077,427.45099,410.112,400.242,388.79099,375.89301,363.522,350.80899,338.12399,325.10501,312.85901,299.58801,288.202,285.04099,279.51199,276.77802,267.81,257.681,250.10201,234.633,219.297,200.597,182.439,166.998,152.94901,139.05299,125.203,112.662,100.358,88.515999,78.524002,54.625999,44.120998,36.386002,30.673,26.424999,23.159,20.421,17.974001,15.538,13.138,10.999,9.1700001,7.0510001,5.171,3.6389999,2.5810001,1.747,1.178,.77999997,.493,.292,.167,.18099999
2029,671.77899,676.73602,689.17102,705.21698,722.06598,743.87598,764.84003,790.573,818.50598,788.45697,764.69,713.76099,710.46301,705.82599,688.573,661.25598,634.56897,623.16699,624.15601,624.75098,606.94397,574.48798,538.07098,515.37097,505.771,493.87299,501.44601,498.798,497.77499,503.689,519.96899,549.73102,573.92401,592.52899,598.26599,607.12598,613.73901,618.31097,605.42603,583.995,580.02802,580.92902,572.43799,546.883,521.354,492.02499,469.77802,452.789,439.918,425.181,407.73499,397.70401,386.086,373.01801,360.46399,347.55701,334.668,321.44901,308.99301,295.50101,283.83099,280.24701,274.36801,271.237,261.953,251.509,243.53,227.85001,212.317,193.58099,175.435,159.979,145.925,132.06,118.284,105.806,93.621002,81.956001,72.108002,49.737999,39.77,32.470001,27.073999,23.056999,19.959,17.362,15.056,12.799,10.624,8.7209997,7.1259999,5.3699999,3.8559999,2.654,1.836,1.206,.78500003,.5,.30399999,.17200001,.199
