year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,42.248001,43.063999,43.379002,43.264,42.787998,42.022999,41.036999,39.902,38.688,37.466,36.255001,35.077999,34.25,33.939999,34.07,34.285,34.521999,35.513,37.541,40.234001,42.860001,45.484001,47.917,49.964001,51.640999,53.237,54.790001,55.445,54.833,53.333,51.743999,49.969002,48.075001,46.195,44.327999,42.360001,40.337002,38.507,36.991001,35.742001,34.602001,33.615002,32.875999,32.418999,32.240002,32.179001,32.122002,32.749001,34.334999,36.495998,38.525002,40.507999,42.087002,42.993,43.327999,43.598,43.868,43.096001,40.868999,37.693001,34.459999,30.962999,27.966,25.931999,24.511,23.011999,21.716999,20.035,17.65,14.972,12.475,9.7559996,8.6789999,10.12,13.068,15.811,18.909,20.295,18.839001,15.595,12.693,9.6440001,7.3600001,6.4889998,6.5079999,6.277,6.0609999,5.619,4.7309999,3.5929999,2.3740001,1.424,1.145,.861,.574,.43900001,.36000001,.289,.22400001,.167,.45899999
2016,41.773998,42.437,43.106998,43.334,43.176998,42.696999,41.964001,41.049999,39.959,38.728001,37.452,36.208,35.007,34.154999,33.82,33.926998,34.118999,34.333,35.308998,37.334999,40.033001,42.666,45.298,47.738998,49.796001,51.480999,53.087002,54.651001,55.313999,54.709999,53.216999,51.633999,49.865002,47.974998,46.098,44.234001,42.266998,40.243,38.412998,36.896999,35.646,34.502998,33.512001,32.766998,32.306,32.120998,32.051998,31.986,32.598999,34.162998,36.297001,38.299999,40.257,41.805,42.674999,42.971001,43.203999,43.435001,42.634998,40.396999,37.220001,33.987999,30.493999,27.496,25.452999,24.018999,22.504,21.181999,19.497,17.149,14.527,12.083,9.434,8.3380003,9.6210003,12.327,14.846,17.702999,18.955,17.537001,14.44,11.674,8.776,6.599,5.7519999,5.7470002,5.5289998,5.3150001,4.8920002,4.0819998,3.043,1.985,1.209,.96899998,.727,.48199999,.34299999,.271,.208,.155,.43099999
2017,41.167999,42.435001,42.595001,43.119999,43.257999,43.060001,42.575001,41.875,41.033001,39.986,38.741001,37.411999,36.134998,34.910999,34.035,33.675999,33.759998,33.929001,34.119999,35.080002,37.102001,39.804001,42.441002,45.078999,47.528,49.591,51.284,52.897999,54.472,55.145,54.549,53.062,51.486,49.724998,47.841,45.969002,44.106998,42.143002,40.120998,38.292,36.776001,35.525002,34.379002,33.383999,32.634998,32.168999,31.978001,31.902,31.827,32.425999,33.966999,36.073002,38.047001,39.976002,41.493,42.326,42.584,42.778999,42.970001,42.143002,39.896,36.721001,33.491001,30.002001,27.006001,24.955999,23.51,21.979,20.629999,18.944,16.635,14.071,11.681,9.1059999,7.9920001,9.1129999,11.576,13.868,16.483999,17.601,16.221001,13.275,10.645,7.9000001,5.8340001,5.0110002,4.9809999,4.776,4.5650001,4.1599998,3.4289999,2.4909999,1.595,.99299997,.79299998,.59200001,.38999999,.257,.19499999,.142,.382
2018,40.444,41.808998,42.737999,42.734001,43.112,43.160999,42.922001,42.432999,41.766998,40.997002,39.994999,38.735001,37.354,36.046001,34.799,33.898998,33.515999,33.577,33.722,33.889999,34.834,36.851002,39.556,42.196999,44.839001,47.293999,49.363998,51.063,52.685001,54.266998,54.949001,54.362,52.882999,51.314999,49.561001,47.683998,45.817001,43.959999,41.999001,39.98,38.152,36.638,35.387001,34.240002,33.241001,32.487,32.016998,31.820999,31.737,31.653999,32.237,33.755001,35.831001,37.776001,39.676998,41.160999,41.958,42.175999,42.333,42.485001,41.632,39.375999,36.205002,32.978001,29.497,26.504,24.447001,22.989,21.444,20.069,18.382,16.114,13.609,11.274,8.7729998,7.6420002,8.6020002,10.82,12.885,15.257,16.238001,14.898,12.103,9.6110001,7.0209999,5.0650001,4.2680001,4.2129998,4.0209999,3.812,3.427,2.7750001,1.937,1.204,.77600002,.61699998,.45699999,.29699999,.185,.12800001,.31999999
2019,39.624001,41.036999,42.077,42.775002,42.868999,43.101002,43.062,42.780998,42.287998,41.654999,40.958,40.000999,38.726002,37.293999,35.952999,34.683998,33.759998,33.354,33.390999,33.514,33.658001,34.585999,36.598,39.305,41.949001,44.596001,47.056999,49.132,50.838001,52.467999,54.058998,54.75,54.169998,52.700001,51.139999,49.394001,47.523998,45.661999,43.810001,41.853001,39.835999,38.009998,36.497002,35.245998,34.097,33.095001,32.338001,31.862,31.660999,31.569,31.478001,32.046001,33.541,35.587002,37.502998,39.375,40.826,41.585999,41.765999,41.884998,41.998001,41.117001,38.853001,35.686001,32.464001,28.99,25.999001,23.936001,22.466999,20.908001,19.507,17.82,15.591,13.146,10.867,8.4399996,7.2909999,8.0900002,10.063,11.901,14.029,14.875,13.574,10.931,8.5769997,6.1420002,4.2969999,3.5250001,3.4449999,3.266,3.0599999,2.694,2.122,1.3839999,.81400001,.55900002,.44100001,.322,.204,.118,.26100001
2020,38.724998,40.159,41.285999,42.124001,42.693001,43.011002,43.096001,42.969002,42.646999,42.150002,41.550999,40.924999,40.014,38.723,37.240002,35.867001,34.575001,33.626999,33.196999,33.210999,33.311001,33.431999,34.344002,36.351002,39.061001,41.708,44.361,46.827999,48.909,50.620998,52.258999,53.860001,54.558998,53.987999,52.526001,50.973,49.235001,47.372002,45.514999,43.667,41.713001,39.699001,37.875,36.362,35.111,33.960999,32.955002,32.193001,31.714001,31.507,31.407,31.306999,31.861,33.332001,35.348999,37.236,39.078999,40.499001,41.221001,41.362999,41.443001,41.518002,40.610001,38.337002,35.173,31.954,28.487,25.5,23.43,21.948999,20.375999,18.948999,17.26,15.072,12.686,10.461,8.1090002,6.9419999,7.5799999,9.309,10.919,12.805,13.515,12.254,9.7620001,7.5450001,5.2649999,3.53,2.7839999,2.678,2.5120001,2.309,1.961,1.469,.83099997,.42300001,.34299999,.264,.18700001,.112,.21600001
2021,37.756001,38.827999,40.16,41.226002,42.036999,42.603001,42.945999,43.084,42.987,42.648998,42.106998,41.478001,40.828999,39.893002,38.578999,37.073002,35.678001,34.363998,33.402,32.967999,32.987,33.091999,33.219002,34.138,36.153,38.870998,41.527,44.188999,46.665001,48.752998,50.471001,52.113998,53.719002,54.423,53.855,52.394001,50.842999,49.105,47.242001,45.384998,43.535,41.578999,39.562,37.734001,36.217999,34.964001,33.807999,32.792999,32.023998,31.535999,31.320999,31.211,31.099001,31.632,33.071999,35.049,36.896999,38.701,40.077999,40.750999,40.841,40.870998,40.893002,39.949001,37.664001,34.505001,31.292,27.836,24.851,22.768999,21.268,19.673,18.216,16.528,14.39,12.079,9.9280005,7.6690001,6.5089998,7.0170002,8.5360003,9.9549999,11.635,12.247,11.064,8.7620001,6.645,4.5479999,3.095,2.4330001,2.283,2.128,1.95,1.652,1.233,.69400001,.373,.289,.20200001,.112,.18700001
2022,36.716,38.129002,38.926998,40.155998,41.16,41.943001,42.507,42.875,43.064999,42.998001,42.645,42.057999,41.398998,40.726002,39.766998,38.429001,36.901001,35.485001,34.147999,33.171001,32.734001,32.757999,32.867001,33.000999,33.928001,35.950001,38.674999,41.339001,44.011002,46.495998,48.59,50.312,51.960999,53.570999,54.278999,53.713001,52.255001,50.705002,48.967999,47.105,45.248001,43.396999,41.438999,39.418999,37.588001,36.069,34.811001,33.648998,32.626999,31.849001,31.355,31.131001,31.01,30.885,31.398001,32.806,34.743999,36.551998,38.318001,39.651001,40.273998,40.312,40.292,40.262001,39.282001,36.987,33.832001,30.625,27.181,24.198999,22.105,20.583,18.968,17.48,15.793,13.705,11.471,9.3929996,7.2280002,6.0749998,6.4520001,7.7610002,8.9879999,10.462,10.977,9.8719997,7.7610002,5.744,3.8310001,2.6600001,2.082,1.8890001,1.744,1.591,1.342,.99699998,.55699998,.32499999,.226,.118,.171
2023,35.657001,37.019001,38.257,39.023998,40.151001,41.092999,41.848,42.41,42.801998,43.044998,43.008999,42.639,42.007999,41.319,40.623001,39.639,38.278,36.728001,35.290001,33.931,32.939999,32.5,32.528,32.641998,32.783001,33.716999,35.745998,38.478001,41.151001,43.832001,46.325001,48.425999,50.153,51.806,53.421001,54.132999,53.57,52.113998,50.566002,48.830002,46.966999,45.110001,43.257999,41.298,39.275002,37.441002,35.918999,34.657001,33.490002,32.459999,31.674,31.172001,30.940001,30.808001,30.671,31.164,32.540001,34.437,36.206001,37.932999,39.223,39.797001,39.783001,39.712002,39.630001,38.615002,36.307999,33.159,29.957001,26.524,23.547001,21.440001,19.896999,18.261999,16.743999,15.058,13.02,10.862,8.8570004,6.7870002,5.6420002,5.888,6.9860001,8.0220003,9.2889996,9.7069998,8.6800003,6.7600002,4.842,3.1140001,2.2249999,1.732,1.494,1.3609999,1.232,1.033,.76200002,.419,.25400001,.12899999,.16599999
2024,34.644001,35.921001,37.131001,38.259998,39.119999,40.145,41.026001,41.752998,42.313,42.729,43.025002,43.019001,42.632999,41.958,41.237999,40.519001,39.511002,38.126999,36.555,35.095001,33.714001,32.708,32.264999,32.297001,32.417,32.563999,33.505001,35.542,38.280998,40.962002,43.652,46.153,48.261002,49.993,51.651001,53.271,53.986,53.426998,51.973,50.426998,48.691002,46.827999,44.971001,43.118,41.157001,39.131001,37.293999,35.768002,34.502998,33.330002,32.292999,31.499001,30.989,30.749001,30.606001,30.457001,30.929001,32.273998,34.131001,35.859001,37.548,38.793999,39.319,39.252998,39.132,38.998001,37.946999,35.627998,32.485001,29.289,25.868,22.893999,20.775,19.212,17.556999,16.007999,14.322,12.335,10.253,8.3219995,6.3460002,5.2080002,5.323,6.211,7.0549998,8.1169996,8.4370003,7.4879999,5.7579999,3.941,2.3970001,1.79,1.381,1.1,.977,.87300003,.72299999,.52600002,.28200001,.139,.169
