year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,0.222344139,0.222344139,0.222344139,0.222344139,0.222344139,0.256254159,0.256254159,0.256254159,0.256254159,0.256254159,0.286103098,0.286103098,0.286103098,0.286103098,0.286103098,0.269046561,0.269046561,0.269046561,0.269046561,0.269046561,0.228029652,0.228029652,0.228029652,0.228029652,0.228029652,0.184779148,0.184779148,0.184779148,0.184779148,0.184779148,0.18031196,0.18031196,0.18031196,0.18031196,0.18031196,0.180108906,0.180108906,0.180108906,0.180108906,0.180108906,0.169550097,0.169550097,0.169550097,0.169550097,0.169550097,0.19655628,0.19655628,0.19655628,0.19655628,0.19655628,0.211582277,0.211582277,0.211582277,0.211582277,0.211582277,0.207724251,0.207724251,0.207724251,0.207724251,0.207724251,0.164270693,0.164270693,0.164270693,0.164270693,0.164270693,0.127517917,0.127517917,0.127517917,0.127517917,0.127517917,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105,0.03841105
2016,0.214245654,0.214245654,0.214245654,0.214245654,0.214245654,0.246920562,0.246920562,0.246920562,0.246920562,0.246920562,0.275682307,0.275682307,0.275682307,0.275682307,0.275682307,0.259247024,0.259247024,0.259247024,0.259247024,0.259247024,0.219724081,0.219724081,0.219724081,0.219724081,0.219724081,0.178048899,0.178048899,0.178048899,0.178048899,0.178048899,0.173744421,0.173744421,0.173744421,0.173744421,0.173744421,0.173548762,0.173548762,0.173548762,0.173548762,0.173548762,0.16337454,0.16337454,0.16337454,0.16337454,0.16337454,0.189397071,0.189397071,0.189397071,0.189397071,0.189397071,0.203875773,0.203875773,0.203875773,0.203875773,0.203875773,0.200158268,0.200158268,0.200158268,0.200158268,0.200158268,0.158287428,0.158287428,0.158287428,0.158287428,0.158287428,0.122873306,0.122873306,0.122873306,0.122873306,0.122873306,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996,0.037011996
2017,0.215170889,0.215170889,0.215170889,0.215170889,0.215170889,0.247986905,0.247986905,0.247986905,0.247986905,0.247986905,0.27687286,0.27687286,0.27687286,0.27687286,0.27687286,0.2603666,0.2603666,0.2603666,0.2603666,0.2603666,0.220672975,0.220672975,0.220672975,0.220672975,0.220672975,0.178817816,0.178817816,0.178817816,0.178817816,0.178817816,0.174494748,0.174494748,0.174494748,0.174494748,0.174494748,0.174298245,0.174298245,0.174298245,0.174298245,0.174298245,0.164080084,0.164080084,0.164080084,0.164080084,0.164080084,0.190214995,0.190214995,0.190214995,0.190214995,0.190214995,0.204756224,0.204756224,0.204756224,0.204756224,0.204756224,0.201022666,0.201022666,0.201022666,0.201022666,0.201022666,0.158971003,0.158971003,0.158971003,0.158971003,0.158971003,0.123403943,0.123403943,0.123403943,0.123403943,0.123403943,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835,0.037171835
2018,0.216273885,0.216273885,0.216273885,0.216273885,0.216273885,0.249258122,0.249258122,0.249258122,0.249258122,0.249258122,0.27829215,0.27829215,0.27829215,0.27829215,0.27829215,0.261701277,0.261701277,0.261701277,0.261701277,0.261701277,0.221804176,0.221804176,0.221804176,0.221804176,0.221804176,0.179734462,0.179734462,0.179734462,0.179734462,0.179734462,0.175389233,0.175389233,0.175389233,0.175389233,0.175389233,0.175191723,0.175191723,0.175191723,0.175191723,0.175191723,0.164921182,0.164921182,0.164921182,0.164921182,0.164921182,0.191190065,0.191190065,0.191190065,0.191190065,0.191190065,0.205805834,0.205805834,0.205805834,0.205805834,0.205805834,0.202053137,0.202053137,0.202053137,0.202053137,0.202053137,0.159785912,0.159785912,0.159785912,0.159785912,0.159785912,0.12403653,0.12403653,0.12403653,0.12403653,0.12403653,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384,0.037362384
2019,0.217186067,0.217186067,0.217186067,0.217186067,0.217186067,0.250309421,0.250309421,0.250309421,0.250309421,0.250309421,0.279465907,0.279465907,0.279465907,0.279465907,0.279465907,0.262805058,0.262805058,0.262805058,0.262805058,0.262805058,0.222739683,0.222739683,0.222739683,0.222739683,0.222739683,0.18049253,0.18049253,0.18049253,0.18049253,0.18049253,0.176128975,0.176128975,0.176128975,0.176128975,0.176128975,0.175930631,0.175930631,0.175930631,0.175930631,0.175930631,0.165616772,0.165616772,0.165616772,0.165616772,0.165616772,0.19199645,0.19199645,0.19199645,0.19199645,0.19199645,0.206673864,0.206673864,0.206673864,0.206673864,0.206673864,0.202905339,0.202905339,0.202905339,0.202905339,0.202905339,0.160459843,0.160459843,0.160459843,0.160459843,0.160459843,0.12455968,0.12455968,0.12455968,0.12455968,0.12455968,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967,0.037519967
2020,0.218124,0.218124,0.218124,0.218124,0.218124,0.2513904,0.2513904,0.2513904,0.2513904,0.2513904,0.2806728,0.2806728,0.2806728,0.2806728,0.2806728,0.26394,0.26394,0.26394,0.26394,0.26394,0.2237016,0.2237016,0.2237016,0.2237016,0.2237016,0.181272,0.181272,0.181272,0.181272,0.181272,0.1768896,0.1768896,0.1768896,0.1768896,0.1768896,0.1766904,0.1766904,0.1766904,0.1766904,0.1766904,0.166332,0.166332,0.166332,0.166332,0.166332,0.1928256,0.1928256,0.1928256,0.1928256,0.1928256,0.2075664,0.2075664,0.2075664,0.2075664,0.2075664,0.2037816,0.2037816,0.2037816,0.2037816,0.2037816,0.1611528,0.1611528,0.1611528,0.1611528,0.1611528,0.1250976,0.1250976,0.1250976,0.1250976,0.1250976,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682,0.037682
2021,0.219,0.219,0.219,0.219,0.219,0.2524,0.2524,0.2524,0.2524,0.2524,0.2818,0.2818,0.2818,0.2818,0.2818,0.265,0.265,0.265,0.265,0.265,0.2246,0.2246,0.2246,0.2246,0.2246,0.182,0.182,0.182,0.182,0.182,0.1776,0.1776,0.1776,0.1776,0.1776,0.1774,0.1774,0.1774,0.1774,0.1774,0.167,0.167,0.167,0.167,0.167,0.1936,0.1936,0.1936,0.1936,0.1936,0.2084,0.2084,0.2084,0.2084,0.2084,0.2046,0.2046,0.2046,0.2046,0.2046,0.1618,0.1618,0.1618,0.1618,0.1618,0.1256,0.1256,0.1256,0.1256,0.1256,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333,0.037833333
2022,0.2199198,0.2199198,0.2199198,0.2199198,0.2199198,0.25346008,0.25346008,0.25346008,0.25346008,0.25346008,0.28298356,0.28298356,0.28298356,0.28298356,0.28298356,0.266113,0.266113,0.266113,0.266113,0.266113,0.22554332,0.22554332,0.22554332,0.22554332,0.22554332,0.1827644,0.1827644,0.1827644,0.1827644,0.1827644,0.17834592,0.17834592,0.17834592,0.17834592,0.17834592,0.17814508,0.17814508,0.17814508,0.17814508,0.17814508,0.1677014,0.1677014,0.1677014,0.1677014,0.1677014,0.19441312,0.19441312,0.19441312,0.19441312,0.19441312,0.20927528,0.20927528,0.20927528,0.20927528,0.20927528,0.20545932,0.20545932,0.20545932,0.20545932,0.20545932,0.16247956,0.16247956,0.16247956,0.16247956,0.16247956,0.12612752,0.12612752,0.12612752,0.12612752,0.12612752,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233,0.037992233
2023,0.220843463,0.220843463,0.220843463,0.220843463,0.220843463,0.254524612,0.254524612,0.254524612,0.254524612,0.254524612,0.284172091,0.284172091,0.284172091,0.284172091,0.284172091,0.267230675,0.267230675,0.267230675,0.267230675,0.267230675,0.226490602,0.226490602,0.226490602,0.226490602,0.226490602,0.18353201,0.18353201,0.18353201,0.18353201,0.18353201,0.179094973,0.179094973,0.179094973,0.179094973,0.179094973,0.178893289,0.178893289,0.178893289,0.178893289,0.178893289,0.168405746,0.168405746,0.168405746,0.168405746,0.168405746,0.195229655,0.195229655,0.195229655,0.195229655,0.195229655,0.210154236,0.210154236,0.210154236,0.210154236,0.210154236,0.206322249,0.206322249,0.206322249,0.206322249,0.206322249,0.163161974,0.163161974,0.163161974,0.163161974,0.163161974,0.126657256,0.126657256,0.126657256,0.126657256,0.126657256,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801,0.038151801
2024,0.221837259,0.221837259,0.221837259,0.221837259,0.221837259,0.255669973,0.255669973,0.255669973,0.255669973,0.255669973,0.285450865,0.285450865,0.285450865,0.285450865,0.285450865,0.268433213,0.268433213,0.268433213,0.268433213,0.268433213,0.22750981,0.22750981,0.22750981,0.22750981,0.22750981,0.184357905,0.184357905,0.184357905,0.184357905,0.184357905,0.1799009,0.1799009,0.1799009,0.1799009,0.1799009,0.179698309,0.179698309,0.179698309,0.179698309,0.179698309,0.169163572,0.169163572,0.169163572,0.169163572,0.169163572,0.196108189,0.196108189,0.196108189,0.196108189,0.196108189,0.21109993,0.21109993,0.21109993,0.21109993,0.21109993,0.207250699,0.207250699,0.207250699,0.207250699,0.207250699,0.163896203,0.163896203,0.163896203,0.163896203,0.163896203,0.127227213,0.127227213,0.127227213,0.127227213,0.127227213,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484,0.038323484
