year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,58.08,58.255,57.886,57.061,55.87,54.401,52.742,50.985,49.216,47.525,45.85,44.13,43.207,43.472,44.561,45.672,46.908,48.29,49.73,51.207,52.75,54.312,55.765,57.035,58.113,59.128,60.13,60.571,60.212,59.321,58.398,57.341,56.442,55.893,55.565,55.133,54.661,54.214,53.789,53.387,53.075,52.915,52.587,51.96,51.228,50.546,49.682,49.794,51.409,53.897,56.182,58.579,59.903,59.488,57.916,56.413,54.711,53.156,52.037,51.128,49.964,48.701,47.059,44.875,42.343,39.92,37.63,35.23,32.684,30.177,27.664,24.839,23.55,24.609,27.036,29.25,31.829,32.465,29.933,25.412,21.246,16.896,13.475,11.75,11.113,10.217,9.369,8.343,6.904,5.26,3.497,2.191,1.751,1.246,0.677,0.377,0.307,0.234,0.158,0.08,0.108
2016,56.355,57.96,58.101,57.715,56.889,55.708,54.259,52.633,50.894,49.119,47.404,45.71,43.973,43.025,43.251,44.295,45.361,46.55,47.892,49.304,50.76,52.283,53.825,55.267,56.538,57.623,58.647,59.661,60.114,59.769,58.892,57.983,56.942,56.057,55.519,55.201,54.777,54.313,53.869,53.445,53.04,52.723,52.555,52.218,51.585,50.846,50.155,49.28,49.371,50.951,53.393,55.632,57.98,59.262,58.813,57.214,55.683,53.952,52.367,51.217,50.275,49.08,47.785,46.116,43.91,41.36,38.912,36.585,34.163,31.62,29.123,26.622,23.833,22.48,23.323,25.448,27.383,29.668,30.149,27.684,23.375,19.408,15.281,12.037,10.395,9.785,8.934,8.178,7.245,5.944,4.44,2.914,1.85,1.475,1.046,0.564,0.332,0.252,0.169,0.083,0.104
2017,54.305,56.312,57.9,58.004,57.602,56.774,55.601,54.172,52.577,50.855,49.071,47.331,45.616,43.861,42.886,43.074,44.073,45.095,46.24,47.544,48.927,50.364,51.868,53.393,54.826,56.097,57.191,58.225,59.252,59.719,59.387,58.522,57.627,56.601,55.728,55.202,54.892,54.476,54.019,53.579,53.154,52.747,52.424,52.248,51.903,51.262,50.516,49.814,48.929,48.999,50.544,52.942,55.138,57.441,58.68,58.198,56.57,55.009,53.248,51.633,50.45,49.474,48.247,46.918,45.22,42.99,40.419,37.944,35.578,33.132,30.589,28.1,25.608,22.851,21.434,22.062,23.888,25.546,27.539,27.865,25.466,21.363,17.592,13.683,10.613,9.052,8.469,7.662,6.998,6.157,4.992,3.627,2.335,1.511,1.201,0.848,0.452,0.277,0.185,0.088,0.104
2018,52.146,54.86,56.674,57.871,57.94,57.521,56.691,55.526,54.115,52.55,50.844,49.051,47.283,45.547,43.773,42.77,42.921,43.876,44.854,45.954,47.221,48.578,49.996,51.482,52.991,54.415,55.688,56.791,57.835,58.875,59.356,59.037,58.184,57.303,56.291,55.431,54.915,54.613,54.205,53.754,53.318,52.893,52.483,52.154,51.969,51.616,50.968,50.213,49.501,48.604,48.654,50.165,52.521,54.675,56.932,58.13,57.614,55.957,54.365,52.573,50.926,49.71,48.7,47.439,46.077,44.348,42.093,39.5,36.997,34.591,32.119,29.574,27.092,24.607,21.881,20.399,20.813,22.34,23.723,25.424,25.596,23.26,19.363,15.784,12.093,9.195,7.713,7.156,6.393,5.82,5.071,4.041,2.815,1.758,1.173,0.927,0.65,0.341,0.204,0.096,0.107
2019,50.172,53.336,55.614,57.095,57.843,57.878,57.442,56.609,55.451,54.06,52.524,50.835,49.032,47.238,45.48,43.686,42.656,42.769,43.679,44.614,45.67,46.899,48.229,49.629,51.098,52.589,54.005,55.28,56.391,57.447,58.5,58.995,58.689,57.848,56.98,55.982,55.134,54.629,54.336,53.935,53.491,53.059,52.634,52.22,51.886,51.692,51.33,50.674,49.912,49.189,48.281,48.31,49.787,52.101,54.212,56.425,57.582,57.032,55.345,53.722,51.899,50.22,48.97,47.927,46.632,45.237,43.477,41.197,38.582,36.05,33.603,31.106,28.56,26.084,23.606,20.911,19.364,19.563,20.792,21.898,23.308,23.326,21.053,17.361,13.976,10.501,7.775,6.374,5.843,5.123,4.642,3.984,3.09,2.002,1.179,0.834,0.654,0.452,0.229,0.106,0.113
2020,48.6,51.898,54.398,56.169,57.28,57.8,57.799,57.346,56.511,55.362,53.99,52.484,50.811,48.999,47.179,45.4,43.587,42.53,42.605,43.471,44.361,45.373,46.564,47.867,49.248,50.698,52.173,53.58,54.856,55.976,57.042,58.108,58.617,58.324,57.495,56.641,55.657,54.822,54.328,54.043,53.65,53.213,52.784,52.359,51.942,51.602,51.401,51.029,50.367,49.597,48.863,47.943,47.952,49.395,51.667,53.734,55.902,57.017,56.433,54.717,53.063,51.209,49.499,48.217,47.14,45.812,44.383,42.593,40.288,37.652,35.092,32.606,30.083,27.536,25.068,22.598,19.935,18.323,18.307,19.236,20.066,21.184,21.047,18.839,15.354,12.162,8.905,6.352,5.031,4.527,3.851,3.461,2.895,2.138,1.188,0.601,0.495,0.379,0.254,0.117,0.122
2021,47.582,49.06,51.959,54.215,55.871,56.967,57.576,57.764,57.442,56.597,55.352,53.935,52.41,50.709,48.858,46.994,45.171,43.314,42.219,42.267,43.115,43.989,44.985,46.168,47.473,48.864,50.327,51.816,53.237,54.525,55.657,56.735,57.814,58.335,58.052,57.233,56.386,55.409,54.579,54.084,53.797,53.401,52.958,52.522,52.087,51.658,51.305,51.085,50.698,50.022,49.24,48.491,47.557,47.537,48.934,51.146,53.154,55.258,56.32,55.698,53.954,52.27,50.387,48.639,47.306,46.171,44.789,43.307,41.468,39.118,36.442,33.839,31.303,28.754,26.218,23.78,21.345,18.743,17.113,16.951,17.666,18.304,19.218,19.01,16.939,13.724,10.695,7.706,5.552,4.378,3.851,3.255,2.918,2.435,1.792,0.989,0.55,0.424,0.285,0.131,0.133
2022,47.003,49.511,49.483,51.981,53.992,55.53,56.612,57.308,57.686,57.495,56.64,55.301,53.84,52.296,50.569,48.681,46.773,44.907,43.007,41.876,41.898,42.727,43.583,44.562,45.736,47.044,48.444,49.917,51.42,52.854,54.154,55.296,56.386,57.477,58.009,57.737,56.927,56.089,55.12,54.294,53.8,53.511,53.111,52.662,52.219,51.775,51.335,50.968,50.731,50.328,49.64,48.846,48.083,47.134,47.087,48.435,50.586,52.533,54.573,55.579,54.921,53.151,51.437,49.525,47.742,46.359,45.167,43.731,42.198,40.311,37.918,35.204,32.56,29.976,27.403,24.88,22.474,20.075,17.536,15.889,15.582,16.083,16.529,17.237,16.957,15.025,12.083,9.218,6.501,4.747,3.721,3.172,2.657,2.373,1.972,1.444,0.79,0.474,0.32,0.148,0.147
2023,46.721,48.478,50.11,49.889,51.986,53.75,55.171,56.238,57.021,57.589,57.528,56.665,55.232,53.727,52.165,50.412,48.488,46.537,44.629,42.687,41.518,41.514,42.325,43.163,44.125,45.29,46.599,48.007,49.491,51.006,52.453,53.764,54.916,56.018,57.12,57.664,57.402,56.602,55.773,54.812,53.991,53.499,53.207,52.803,52.35,51.899,51.446,50.996,50.615,50.361,49.941,49.242,48.436,47.659,46.696,46.621,47.92,50.01,51.895,53.87,54.821,54.125,52.329,50.587,48.648,46.829,45.398,44.149,42.66,41.075,39.141,36.706,33.955,31.271,28.639,26.043,23.533,21.161,18.799,16.324,14.66,14.208,14.494,14.748,15.251,14.9,13.106,10.439,7.739,5.294,3.941,3.063,2.491,2.057,1.827,1.509,1.096,0.59,0.356,0.165,0.163
2024,46.503,47.522,48.661,49.874,50.302,51.998,53.517,54.821,55.872,56.742,57.5,57.569,56.698,55.17,53.622,52.042,50.262,48.301,46.308,44.358,42.373,41.168,41.137,41.929,42.749,43.694,44.851,46.161,47.578,49.072,50.6,52.061,53.383,54.545,55.658,56.772,57.327,57.076,56.286,55.466,54.512,53.696,53.205,52.911,52.503,52.045,51.587,51.125,50.663,50.269,49.997,49.562,48.85,48.033,47.242,46.265,46.162,47.413,49.441,51.265,53.174,54.071,53.338,51.516,49.745,47.778,45.923,44.443,43.137,41.595,39.959,37.977,35.5,32.711,29.988,27.307,24.687,22.191,19.852,17.527,15.115,13.434,12.838,12.909,12.971,13.269,12.845,11.191,8.798,6.262,4.089,3.136,2.405,1.812,1.459,1.282,1.046,0.749,0.39,0.18,0.182
