weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab,hhid
34.782696,4,"Couple household, with children",240.356,1,5.2560186,0,5,0,0,0,0,0,0,0,0,0,1,33,6,0,0,0,1
139.13078,1,"One-person household, 60+ years",281.07901,1,5.4423189,0,6,1,1,150,0,0,0,0,0,0,1,62,12,1,0,0,2
27.826157,5,Other household types,300.71417,1,5.3852482,0,7,1,0,0,0,0,0,0,0,0,1,56,11,1,0,0,3
93.069618,2,"Couple household, with no children",566.59967,1,6.5121536,0,9,0,1,75,0,0,0,0,0,0,1,66,13,0,0,0,4
46.534809,4,Three generation household,274.79007,1,5.5484924,0,6,1,1,37.5,0,0,0,0,0,0,1,61,12,1,0,0,5
46.534809,4,"Couple household, with no children",327.01157,1,6.2564421,0,7,0,0,0,0,0,0,0,0,0,1,48,9,0,0,0,6
62.046413,3,"Couple household, with no children",824.44409,1,6.0761857,0,10,0,0,0,0,0,0,0,0,0,1,52,10,0,0,0,7
186.13924,1,"One-person household, 18-59 years",429.63422,1,5.7157664,0,9,1,0,0,0,0,0,0,0,0,1,55,11,1,0,0,8
93.069618,2,Other household types,540.60797,1,5.980619,0,9,0,0,0,0,0,0,0,0,0,1,61,12,0,0,0,9
46.534809,4,Three generation household,431.05032,1,5.9264674,0,9,1,1,37.5,0,0,0,0,0,0,1,71,14,1,0,0,10
37.227848,5,Other household types,195.09131,1,5.4123144,0,4,1,1,30,0,0,0,0,0,0,1,82,16,1,0,0,11
93.069618,2,Single parent/caregiver (<60 years),346.19641,1,5.6751328,0,8,1,0,0,0,0,0,0,0,0,1,53,10,1,0,0,12
46.534809,4,Other household types,359.10172,1,5.9484053,0,8,1,1,37.5,0,0,0,0,0,0,1,85,16,1,0,0,13
31.023207,6,Three generation household,205.99965,1,5.4473157,0,4,0,0,0,0,0,0,0,0,0,1,60,12,0,0,0,14
93.069618,2,Other household types,130.12328,1,5.7627063,1,2,1,1,75,0,0,0,0,0,0,1,65,13,1,0,0,15
46.534809,4,"Couple household, with children",213.9537,1,5.5218911,0,4,0,0,0,0,0,0,0,0,0,1,58,11,0,0,0,16
69.565392,2,"Couple household, with no children",764.78809,1,6.9409118,0,10,0,0,0,0,0,0,0,0,0,1,50,10,0,0,0,17
69.565392,2,"Couple household, with no children",248.73175,1,5.5196724,0,5,0,0,0,0,0,0,0,0,0,1,57,11,0,0,0,18
139.13078,1,"One-person household, 60+ years",191.11481,1,5.3659515,0,4,1,1,150,0,0,0,0,0,0,1,76,15,1,0,0,19
19.875826,7,"Couple household, with children",157.77335,1,5.5205812,0,3,0,0,0,0,0,0,0,0,0,1,56,11,0,0,0,20
69.565392,2,Single parent/caregiver (<60 years),126.25002,1,4.9371824,1,2,1,0,0,0,0,0,0,0,0,1,54,10,1,0,0,21
46.376926,3,"Couple household, with no children",249.38281,1,5.6080899,0,5,0,0,0,0,0,0,0,0,0,1,50,10,0,0,0,22
41.020767,6.0000005,Three generation household,298.31256,1,5.8714247,0,7,0,1,24.999998,0,0,0,0,0,0,0,75,15,0,0,0,23
31.023207,6,Three generation household,83.923981,1,4.9857044,1,1,0,1,25,0,0,0,0,0,0,1,76,15,0,0,0,24
19.875826,7,"Couple household, with children",121.80852,1,4.9585981,1,2,0,0,0,0,0,0,0,0,0,1,52,10,0,0,0,25
139.13078,1,"One-person household, 60+ years",205.26009,1,5.367311,0,4,1,1,150,0,0,0,0,0,0,1,69,13,1,0,0,26
69.565392,2,"Couple household, with no children",338.13141,1,5.9302344,0,8,0,0,0,0,0,0,0,0,0,1,63,12,0,0,0,27
27.826157,5,Three generation household,171.14034,1,5.5130563,0,3,0,1,30,0,0,0,0,0,0,1,75,15,0,0,0,28
46.376926,3,"Couple household, with no children",232.29082,1,6.1655912,0,5,0,0,0,0,0,0,0,0,0,1,43,8,0,0,0,29
139.13078,1,"One-person household, 60+ years",224.81271,1,5.8250647,0,5,0,1,150,0,0,0,0,0,0,1,71,14,0,0,0,30
27.826157,5,"Couple household, with children",410.12283,1,6.1247339,0,8,0,0,0,0,0,0,0,0,0,1,52,10,0,0,0,31
23.188463,6,"Couple household, with children",237.22217,1,6.0052772,0,5,0,0,0,0,0,0,0,0,0,1,54,10,0,0,0,32
27.826157,5,Three generation household,287.04523,1,5.5303168,0,6,0,0,0,0,0,0,0,0,0,1,79,15,1,0,0,33
34.782696,4,"Couple household, with no children",1500.2494,1,7.157145,0,10,0,0,0,0,0,0,0,0,0,1,47,9,0,0,0,34
69.565392,2,"Couple household, with no children",484.85376,1,5.6126337,0,9,0,1,75,0,0,0,0,0,0,1,75,15,0,0,0,35
23.188463,6,Three generation household,501.28064,1,6.0809155,0,9,0,1,25,0,0,0,0,0,0,1,67,13,0,0,0,36
49.224922,5,"Couple household, with children",445.96408,1,6.0200067,0,9,0,0,0,0,0,0,0,0,0,0,48,9,0,0,0,37
27.826157,5,Three generation household,173.13083,1,5.612884,0,3,1,1,30,0,0,0,0,0,0,1,76,15,1,0,0,38
17.391348,8,Three generation household,213.04204,1,5.0426278,0,4,0,1,18.75,0,0,0,0,0,0,1,78,15,0,0,0,39
46.376926,3,Other household types,610.00488,1,5.9446735,0,10,0,0,0,0,0,0,0,0,0,1,79,15,0,0,0,40
139.13078,1,"One-person household, 60+ years",111.80208,1,5.2036324,1,1,1,1,150,0,0,0,0,0,0,1,75,15,1,0,0,41
34.782696,4,"Couple household, with children",236.95721,1,6.2250037,0,5,0,0,0,0,0,0,0,0,0,1,43,8,0,0,0,42
34.782696,4,"Couple household, with children",236.91661,1,5.5477819,0,5,0,0,0,0,0,0,0,0,0,1,47,9,0,0,0,43
123.06231,2,"Couple household, with no children",343.38568,1,6.0984359,0,8,0,1,75,0,0,0,0,0,0,0,68,13,0,0,0,44
27.826157,5,"Couple household, with no children",166.18526,1,5.2448139,0,3,0,1,30,0,0,0,0,0,0,1,75,15,0,0,0,45
69.565392,2,Other household types,145.7485,1,5.7674923,0,2,1,1,75,0,0,0,0,0,0,1,75,15,1,0,0,46
26.322521,7,Three generation household,319.09143,1,5.1167173,0,7,0,1,21.428572,0,0,0,0,0,0,0,89,16,0,0,0,47
49.224922,5,"Couple household, with no children",434.44885,1,6.1551423,0,9,1,0,0,0,0,0,0,0,0,0,54,10,1,0,0,48
82.041534,3.0000002,"Couple household, with no children",476.17438,1,7.2583547,0,9,0,1,49.999996,0,0,0,0,0,0,0,66,13,0,0,0,49
27.826157,5,Other household types,343.13062,1,5.9186635,0,8,1,0,0,0,0,0,0,0,0,1,58,11,1,0,0,50
41.020767,6.0000005,"Couple household, with children",127.01567,1,5.7277069,1,2,0,0,0,0,0,0,0,0,0,0,52,10,0,0,0,51
27.826157,5,Three generation household,1282.4746,1,5.8851404,0,10,0,0,0,0,0,0,0,0,0,1,79,15,1,0,0,52
34.782696,4,"Couple household, with children",373.67862,1,5.6091743,0,8,0,0,0,0,0,0,0,0,0,1,42,8,0,0,0,53
69.565392,2,"Couple household, with no children",386.52148,1,5.6008186,0,8,0,1,75,0,0,0,0,0,0,1,76,15,0,0,0,54
19.875826,7,Three generation household,277.1571,1,5.7328439,0,6,0,0,0,0,0,0,0,0,0,1,73,14,1,0,0,55
23.188463,6,Three generation household,354.82553,1,5.4371972,0,8,1,1,25,0,0,0,0,0,0,1,73,14,1,0,0,56
69.565392,2,"Couple household, with no children",409.51672,1,5.7710595,0,8,0,0,0,0,0,0,0,0,0,1,62,12,0,0,0,57
23.188463,6,"Couple household, with children",314.60049,1,5.1668725,0,7,0,0,0,0,0,0,0,0,0,1,46,9,0,0,0,58
27.347179,9,"Couple household, with children",228.88339,1,5.3924828,0,5,0,0,0,0,0,0,0,0,0,0,52,10,0,0,0,59
246.12462,1,"One-person household, 60+ years",250.69312,1,5.2615747,0,5,0,1,150,0,0,0,0,1,60,0,74,14,0,0,0,60
123.06231,2,Other household types,398.51068,1,5.4421935,0,8,1,1,75,0,0,0,0,0,0,0,73,14,1,0,0,61
246.12462,1,"One-person household, 60+ years",242.36998,1,5.4738088,0,5,1,1,150,0,0,0,0,1,60,0,75,15,1,0,0,62
49.224922,5,"Couple household, with children",128.1909,1,5.4061322,1,2,0,0,0,0,0,0,0,0,0,0,51,10,0,0,0,63
123.06231,2,Other household types,384.05011,1,5.7256274,0,8,0,0,0,0,0,0,0,0,0,0,81,16,1,0,0,64
82.041534,3.0000002,Other household types,1143.7538,1,6.2907171,0,10,1,0,0,0,0,0,0,0,0,0,74,14,1,0,0,65
123.06231,2,"Couple household, with no children",1486.1891,1,6.5896554,0,10,0,1,75,0,0,0,0,0,0,0,75,15,0,0,0,66
82.041534,3.0000002,Other household types,97.395981,1,5.8469157,1,1,1,1,49.999996,0,0,0,0,0,0,0,67,13,1,0,0,67
61.531155,4,"Couple household, with no children",72.237534,1,5.5993376,1,1,0,0,0,0,0,0,0,0,0,0,44,8,0,0,0,68
61.531155,4,"Couple household, with no children",468.1004,1,5.7618222,0,9,0,0,0,0,0,0,0,0,0,0,63,12,0,0,0,69
123.06231,2,"Couple household, with no children",65.558296,1,5.1069398,1,1,0,0,0,0,0,0,0,0,0,0,55,11,0,0,1,70
49.224922,5,"Couple household, with children",399.82275,1,5.7249846,0,8,0,0,0,0,0,0,0,0,0,0,33,6,0,0,0,71
123.06231,2,Other household types,178.50163,1,5.4845028,0,3,1,1,75,0,0,0,0,0,0,0,63,12,1,0,0,72
61.531155,4,"Couple household, with no children",726.57727,1,5.8773279,0,10,0,0,0,0,0,0,0,0,0,0,63,12,0,0,0,73
49.224922,5,"Couple household, with children",187.4687,1,6.1641202,0,4,0,0,0,0,0,0,0,0,0,0,36,7,1,0,0,74
123.06231,2,Single parent/caregiver (<60 years),962.80042,1,6.0077934,0,10,1,0,0,0,0,0,0,0,0,0,52,10,1,0,0,75
49.224922,5,Three generation household,393.66605,1,5.67769,0,8,0,0,0,0,0,0,0,0,0,0,73,14,1,0,0,76
61.531155,4,"Couple household, with children",457.96414,1,5.9086189,0,9,0,0,0,0,0,0,0,0,0,0,40,8,0,0,0,77
123.06231,2,Single parent/caregiver (<60 years),1534.5195,1,5.6599226,0,10,1,0,0,0,0,0,0,0,0,0,41,8,1,0,0,78
82.041534,3.0000002,"Couple household, with no children",1654.5168,1,6.1170993,0,10,0,0,0,0,0,0,0,0,0,0,64,12,0,0,0,79
246.12462,1,"One-person household, 60+ years",701.86139,1,5.8018827,0,10,1,1,150,0,0,0,0,0,0,0,66,13,1,0,0,80
82.041534,3.0000002,"Couple household, with no children",858.87091,1,5.6949258,0,10,0,0,0,0,0,0,0,0,0,0,52,10,0,0,0,81
61.531155,4,"Couple household, with children",892.02301,1,5.9431167,0,10,0,0,0,0,0,0,0,0,0,0,53,10,0,0,0,82
61.531155,4,Other household types,137.83656,1,5.2396455,1,2,1,0,0,0,0,0,0,1,15,0,54,10,1,0,0,83
61.531155,4,"Couple household, with children",311.71512,1,5.1867437,0,7,0,0,0,0,0,0,0,0,0,0,57,11,0,0,0,84
82.041534,3.0000002,Other household types,137.12968,1,5.4742026,1,2,1,0,0,0,0,0,0,0,0,0,36,7,1,0,0,85
49.224922,5,Three generation household,296.29541,1,5.8384848,0,7,0,0,0,0,0,0,0,0,0,0,62,12,1,0,0,86
49.224922,5,"Couple household, with children",484.50574,1,5.5533571,0,9,0,0,0,0,0,0,0,0,0,0,52,10,0,0,0,87
46.376926,3,"Couple household, with no children",585.27399,1,5.7599678,0,9,0,0,0,0,0,0,0,0,0,1,64,12,0,0,0,88
17.391348,8,Three generation household,212.11632,1,4.9282598,0,4,1,1,18.75,0,0,0,0,0,0,1,73,14,1,0,0,89
46.376926,3,"Couple household, with children",748.76514,1,6.273437,0,10,0,0,0,0,0,0,0,0,0,1,59,11,0,0,0,90
46.376926,3,Other household types,1496.2188,1,5.9801979,0,10,1,1,50,0,0,0,0,0,0,1,70,14,1,0,0,91
20.473072,9,Three generation household,256.99176,1,5.1224756,0,6,0,1,16.666666,0,0,0,0,0,0,0,75,15,0,0,0,92
41.020767,6.0000005,Three generation household,217.29735,1,6.0801601,0,5,0,1,24.999998,0,0,0,0,0,0,0,66,13,0,0,0,93
