year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,2.6989999,2.872,2.974,3.013,2.9979999,2.941,2.849,2.7320001,2.5999999,2.4619999,2.3080001,2.1270001,2.0280001,2.059,2.1700001,2.2679999,2.378,2.4330001,2.3959999,2.2980001,2.214,2.1259999,2.059,2.0320001,2.0280001,2.0139999,1.999,1.966,1.904,1.823,1.7460001,1.666,1.5930001,1.534,1.483,1.432,1.387,1.332,1.262,1.1849999,1.112,1.036,.99599999,1.013,1.064,1.11,1.16,1.186,1.168,1.122,1.08,1.039,.98799998,.92699999,.85799998,.78799999,.71499997,.65200001,.60699999,.57499999,.542,.509,.479,.45100001,.42399999,.39899999,.37599999,.352,.32699999,.301,.27599999,.252,.228,.20299999,.178,.154,.131,.111,.096000001,.085000001,.074000001,.064000003,.056000002,.048999999,.041999999,.035999998,.032000002,.027000001,.023,.017999999,.013,.0099999998,.0080000004,.0060000001,.0040000002,.0020000001,.0020000001,.001,.001,.001,.001
2016,2.701,2.744,2.8789999,2.957,2.9849999,2.97,2.921,2.848,2.744,2.609,2.46,2.3,2.115,2.0120001,2.039,2.1470001,2.2420001,2.348,2.402,2.3629999,2.267,2.1830001,2.096,2.029,2.0039999,2.0009999,1.989,1.976,1.944,1.8839999,1.804,1.728,1.649,1.577,1.5190001,1.469,1.419,1.375,1.321,1.251,1.174,1.102,1.026,.98699999,1.0039999,1.0549999,1.101,1.15,1.175,1.1569999,1.1109999,1.069,1.027,.97600001,.91500002,.847,.77700001,.70300001,.64099997,.59600002,.56400001,.53100002,.49900001,.46900001,.44,.41299999,.38800001,.36500001,.34099999,.31600001,.28999999,.26499999,.242,.21799999,.193,.168,.145,.122,.103,.088,.078000002,.068000004,.059,.050999999,.044,.037,.032000002,.028000001,.024,.02,.016000001,.012,.0089999996,.0070000002,.0049999999,.003,.0020000001,.0020000001,.001,.001,.001
2017,2.7950001,2.928,2.7820001,2.878,2.9330001,2.95,2.934,2.8940001,2.8399999,2.7479999,2.612,2.4519999,2.286,2.098,1.992,2.0150001,2.119,2.21,2.313,2.3640001,2.325,2.2290001,2.1459999,2.0599999,1.995,1.97,1.969,1.959,1.947,1.918,1.858,1.78,1.705,1.628,1.558,1.5,1.451,1.402,1.359,1.306,1.2359999,1.161,1.089,1.0140001,.97500002,.99199998,1.043,1.0880001,1.137,1.1619999,1.1440001,1.097,1.0549999,1.013,.96200001,.90100002,.833,.764,.69099998,.62800002,.58399999,.55199999,.51899999,.48699999,.45699999,.428,.40099999,.37599999,.35299999,.329,.30399999,.278,.25299999,.23,.207,.183,.15800001,.13600001,.113,.094999999,.081,.071000002,.061000001,.052999999,.045000002,.039000001,.033,.028000001,.024,.021,.017000001,.013,.0099999998,.0070000002,.0060000001,.0049999999,.003,.0020000001,.001,.001,.001
2018,2.9419999,2.9860001,3.006,2.816,2.8740001,2.905,2.911,2.8940001,2.8629999,2.8280001,2.7490001,2.6110001,2.4400001,2.2690001,2.0780001,1.9680001,1.988,2.0880001,2.1760001,2.2739999,2.323,2.283,2.188,2.1070001,2.0209999,1.9579999,1.9349999,1.9349999,1.926,1.916,1.888,1.831,1.7539999,1.681,1.605,1.536,1.48,1.432,1.3839999,1.341,1.289,1.221,1.146,1.075,1.001,.96200001,.97899997,1.029,1.074,1.123,1.147,1.1289999,1.082,1.04,.99800003,.94700003,.88599998,.81900001,.74900001,.67699999,.61500001,.57099998,.53899997,.50599998,.47400001,.44499999,.41600001,.389,.36399999,.34099999,.317,.292,.266,.242,.219,.19499999,.17200001,.148,.126,.104,.086000003,.072999999,.063000001,.054000001,.046999998,.039999999,.034000002,.028000001,.024,.021,.017999999,.014,.011,.0080000004,.0060000001,.0049999999,.0040000002,.0020000001,.0020000001,.001,.0020000001
2019,3.085,3.043,3.006,2.9719999,2.8529999,2.872,2.8800001,2.875,2.8570001,2.835,2.819,2.753,2.6129999,2.431,2.2539999,2.0599999,1.947,1.9630001,2.0599999,2.1429999,2.2379999,2.2839999,2.244,2.1500001,2.069,1.985,1.923,1.901,1.903,1.895,1.887,1.8609999,1.8049999,1.73,1.658,1.584,1.516,1.461,1.414,1.367,1.325,1.273,1.206,1.132,1.062,.98799998,.94999999,.96700001,1.017,1.062,1.11,1.1339999,1.115,1.068,1.026,.98400003,.93199998,.87199998,.80500001,.736,.66399997,.602,.55800003,.52700001,.49399999,.46200001,.433,.40400001,.377,.352,.329,.30500001,.28,.25400001,.23,.207,.184,.161,.138,.117,.096000001,.078000002,.066,.056000002,.048,.041000001,.035,.028999999,.024,.02,.017000001,.015,.012,.0080000004,.0060000001,.0049999999,.0040000002,.003,.0020000001,.001,.0020000001
2020,3.1800001,3.086,3.013,2.96,2.9219999,2.895,2.8759999,2.8610001,2.845,2.826,2.813,2.816,2.7620001,2.6199999,2.427,2.244,2.046,1.929,1.942,2.0350001,2.115,2.207,2.25,2.21,2.1159999,2.036,1.9529999,1.892,1.8710001,1.874,1.868,1.862,1.8380001,1.783,1.709,1.638,1.5650001,1.499,1.4450001,1.399,1.352,1.311,1.26,1.194,1.12,1.051,.97799999,.94,.95700002,1.006,1.051,1.099,1.122,1.104,1.056,1.013,.97100002,.92000002,.85900003,.79299998,.72399998,.65200001,.59100002,.54699999,.51499999,.48300001,.45100001,.42199999,.39300001,.36500001,.34,.317,.294,.26899999,.243,.219,.19599999,.17399999,.15099999,.12800001,.107,.086999997,.07,.057999998,.048999999,.041999999,.035,.028999999,.024,.018999999,.016000001,.013,.011,.0089999996,.0060000001,.0040000002,.003,.003,.0020000001,.001,.0020000001
2021,3.2019999,3.1459999,3.066,3.0050001,2.957,2.921,2.8929999,2.868,2.848,2.832,2.813,2.799,2.8010001,2.7449999,2.602,2.408,2.223,2.0239999,1.906,1.918,2.0109999,2.092,2.1830001,2.227,2.187,2.095,2.016,1.934,1.874,1.854,1.857,1.852,1.846,1.822,1.768,1.6950001,1.624,1.552,1.4859999,1.432,1.387,1.341,1.299,1.249,1.183,1.109,1.041,.96799999,.93000001,.94599998,.99400002,1.038,1.085,1.107,1.0880001,1.04,.99699998,.954,.903,.84200001,.77600002,.708,.63700002,.57599998,.53299999,.50099999,.46900001,.43700001,.40799999,.37900001,.35100001,.32600001,.303,.28,.255,.23,.206,.184,.162,.14,.118,.097999997,.079000004,.063000001,.052000001,.044,.037,.030999999,.026000001,.021,.017000001,.013,.012,.0099999998,.0080000004,.0049999999,.0040000002,.003,.0020000001,.001,.0020000001
2022,3.184,3.0940001,3.1170001,3.053,3.0009999,2.9590001,2.925,2.895,2.865,2.8410001,2.8239999,2.806,2.7909999,2.7909999,2.733,2.5880001,2.392,2.2060001,2.006,1.887,1.898,1.9910001,2.072,2.164,2.2079999,2.1689999,2.0769999,1.999,1.918,1.859,1.84,1.844,1.839,1.834,1.8099999,1.757,1.684,1.614,1.5420001,1.476,1.423,1.377,1.331,1.29,1.24,1.173,1.101,1.0319999,.95899999,.921,.93599999,.98400003,1.026,1.073,1.094,1.074,1.026,.98199999,.93900001,.88700002,.82700002,.76200002,.69400001,.62300003,.56300002,.51899999,.48800001,.45500001,.42399999,.39500001,.366,.338,.31299999,.28999999,.266,.242,.21699999,.193,.171,.15000001,.12899999,.109,.090000004,.071999997,.057,.046,.039000001,.032000002,.027000001,.022,.017999999,.014,.011,.0099999998,.0080000004,.0060000001,.0040000002,.003,.0020000001,.001,.0020000001
2023,3.1389999,3.085,3.0439999,3.0910001,3.043,3.0009999,2.9649999,2.9330001,2.901,2.8659999,2.8380001,2.819,2.802,2.786,2.7839999,2.7249999,2.5769999,2.3800001,2.1919999,1.99,1.869,1.881,1.974,2.0550001,2.1470001,2.1919999,2.1530001,2.062,1.985,1.905,1.846,1.8279999,1.832,1.8279999,1.823,1.8,1.747,1.675,1.605,1.533,1.4680001,1.415,1.369,1.323,1.2819999,1.232,1.166,1.0930001,1.024,.95200002,.91399997,.92799997,.97500002,1.016,1.062,1.082,1.062,1.013,.96899998,.92500001,.87300003,.81300002,.74800003,.68099999,.61000001,.55000001,.50700003,.47499999,.44299999,.41100001,.382,.35299999,.32499999,.30000001,.27599999,.25299999,.228,.204,.18099999,.15899999,.138,.118,.098999999,.081,.064000003,.050000001,.041000001,.034000002,.027000001,.023,.018999999,.015,.012,.0089999996,.0080000004,.0070000002,.0049999999,.003,.0020000001,.001,.003
2024,3.089,3.072,3.0569999,3.0420001,3.0650001,3.033,3.0009999,2.971,2.9400001,2.9070001,2.8659999,2.8340001,2.8139999,2.7980001,2.7809999,2.777,2.7160001,2.5669999,2.3670001,2.178,1.974,1.852,1.863,1.956,2.0369999,2.1300001,2.175,2.1370001,2.0469999,1.97,1.891,1.834,1.816,1.821,1.817,1.813,1.79,1.737,1.665,1.596,1.525,1.459,1.406,1.3609999,1.3150001,1.274,1.224,1.158,1.086,1.017,.94400001,.90600002,.92000002,.96600002,1.006,1.051,1.071,1.049,1,.95499998,.91100001,.85900003,.79900002,.73400003,.667,.597,.537,.49399999,.46200001,.43000001,.39899999,.36899999,.34,.31200001,.28600001,.26300001,.23999999,.215,.191,.168,.147,.127,.108,.089000002,.072999999,.057,.044,.035,.028999999,.023,.018999999,.016000001,.012,.0089999996,.0070000002,.0060000001,.0049999999,.0040000002,.0020000001,.001,.003
