hhid,weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab
20001,375.061767578125,3,Other household types,3513.2207,1,8.4730072,0,4,1,0,0,0,0,0,0,0,0,0,48,9,Женский,0,0
20002,288.7285766601563,1,"One-person household, 18-59 years",6457.1777,1,9.0099678,0,8,0,0,0,0,0,0,0,0,0,0,43,8,0,0,0
20003,329.72216796875,5,"Couple household, with children",3605.355,1,8.1460791,0,4,1,0,0,0,0,0,0,0,0,0,47,9,Женский,0,0
20004,276.4281921386719,3,"Couple household, with no children",2900.032,1,8.6423311,0,2,0,1,0,0,0,0,0,0,0,0,68,13,0,0,0
20005,266.1107482910156,2,Single parent/caregiver (<60 years),10435.962,1,8.6626205,0,10,1,0,0,0,0,0,0,0,0,0,56,11,Женский,0,0
20006,251.2347106933594,4,Three generation household,9768.8135,1,8.3777714,0,10,0,0,0,0,0,0,0,0,0,0,61,12,0,0,0
20008,288.7285766601563,1,"One-person household, 18-59 years",5455.9063,1,8.9518909,0,7,0,0,0,0,0,0,0,0,0,0,44,8,0,0,0
20009,358.2545776367188,4,"Couple household, with children",3000.2109,1,8.4641409,0,2,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0
20010,253.5207977294922,5,"Couple household, with children",2878.1523,1,8.2699623,0,2,0,0,0,0,0,0,0,0,0,0,50,10,0,0,0
20011,198.3841552734375,2,Single parent/caregiver (<60 years),4996.5757,1,8.6623573,0,7,1,0,0,0,0,0,0,0,0,0,57,11,Женский,0,0
20012,291.4718322753906,3,"Couple household, with children",6308.1631,1,8.4776611,0,8,0,0,0,0,0,0,0,0,0,0,58,11,0,0,0
20013,354.2173461914063,7,"Couple household, with children",2108.3108,1,7.9897413,100,1,0,0,0,0,0,0,0,0,0,0,46,9,0,0,0
20014,266.5615844726563,7,Three generation household,3223.0261,1,7.9796314,0,3,1,0,0,0,0,0,0,0,0,0,69,13,Женский,0,0
20015,229.5738525390625,2,"Couple household, with no children",7045.106,1,8.7511005,0,9,0,1,0,0,0,0,0,0,0,0,69,13,0,0,0
20016,253.1899108886719,2,Single parent/caregiver (<60 years),9017.3096,1,8.5964403,0,10,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0
20018,406.160400390625,4,"Couple household, with no children",4133.2544,1,8.4498148,0,5,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0
20019,423.5206604003906,7,"Couple household, with children",3361.4026,1,8.0020151,0,3,0,0,0,0,0,0,0,0,0,0,53,10,0,0,0
20020,299.1006469726563,7,Three generation household,4128.4609,1,8.0228424,0,5,1,0,0,0,0,0,0,0,0,0,65,13,Женский,0,0
20021,276.0681762695313,2,"Couple household, with no children",7691.6782,1,8.7371979,0,9,0,0,0,0,0,0,0,0,0,0,47,9,0,0,0
20022,384.5707702636719,8,"Couple household, with children",2826.0286,1,7.8994913,0,2,0,0,0,0,0,0,0,0,0,0,55,11,0,0,1
20023,151.0415649414063,2,"Couple household, with no children",9131.8564,1,8.7402897,0,10,0,1,0,0,0,0,0,0,0,0,63,12,0,0,0
20024,260.98681640625,4,"Couple household, with children",5601.2217,1,8.2938194,0,7,0,0,0,0,0,1,0,0,0,0,44,8,0,0,0
20025,358.3338623046875,4,"Couple household, with children",3716.4053,1,8.380146,0,4,0,0,0,0,0,0,0,0,0,0,52,10,0,0,0
20026,371.8456726074219,6,"Couple household, with children",3536.2415,1,8.2017612,0,4,0,0,0,0,0,0,0,0,0,0,52,10,0,0,0
20027,198.3841552734375,2,Single parent/caregiver (<60 years),6986.21,1,8.586298,0,9,1,0,0,0,0,0,0,0,0,0,59,11,Женский,0,0
20028,339.9335632324219,8,"Couple household, with children",2528.1975,1,7.886941,100,1,0,0,0,0,0,0,0,0,0,0,58,11,0,0,0
20029,339.5609436035156,3,"Couple household, with no children",4645.686,1,8.5963116,0,6,0,0,0,0,0,0,0,0,0,0,60,12,0,0,0
20030,289.7024841308594,7,"Couple household, with children",2580.7109,1,7.9666429,100,2,0,0,0,0,0,0,0,0,0,0,40,8,0,0,0
20031,337.4654235839844,6,"Couple household, with children",4149.4907,1,8.2582617,0,5,0,0,0,0,0,0,0,0,0,0,58,11,0,0,0
20032,266.1107482910156,2,Single parent/caregiver (<60 years),7041.3916,1,8.6070166,0,9,1,0,0,0,0,0,0,0,0,0,57,11,Женский,0,0
20033,317.1803894042969,4,"Couple household, with children",4069.0537,1,8.3818741,0,5,0,0,0,0,0,0,0,0,0,0,57,11,0,0,0
20034,321.101806640625,8,Three generation household,1462.2129,1,7.9905682,100,1,0,1,0,0,0,0,0,0,0,0,65,13,0,0,0
20035,327.5141296386719,5,"Couple household, with children",2391.0969,1,8.1813974,100,1,0,0,0,0,0,0,0,0,0,0,47,9,0,0,0
