weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab,hhid
375.061767578125,3,Other household types,3302.3748,1,8.427104,0,4,1,0,0,0,0,0,0,0,0,0,48,9,Женский,0,0,1
288.7285766601563,1,"One-person household, 18-59 years",6069.6499,1,8.8863983,0,8,0,0,0,0,0,0,0,0,0,0,43,8,0,0,0,2
329.72216796875,5,"Couple household, with children",3388.9795,1,8.100071,0,4,1,0,0,0,0,0,0,0,0,0,47,9,Женский,0,0,3
276.4281921386719,3,"Couple household, with no children",2725.9866,1,8.5758972,0,2,0,1,0,0,0,0,0,0,0,0,68,13,0,0,0,4
266.1107482910156,2,Single parent/caregiver (<60 years),9809.6475,1,8.6071615,0,10,1,0,0,0,0,0,0,0,0,0,56,11,Женский,0,0,5
251.2347106933594,4,Three generation household,9182.5381,1,8.3104229,0,10,0,0,0,0,0,0,0,0,0,0,61,12,0,0,0,6
288.7285766601563,1,"One-person household, 18-59 years",5128.4697,1,8.9071112,0,7,0,0,0,0,0,0,0,0,0,0,44,8,0,0,0,7
358.2545776367188,4,"Couple household, with children",2820.1533,1,8.3928566,0,2,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0,8
253.5207977294922,5,"Couple household, with children",2705.4199,1,8.1960249,0,2,0,0,0,0,0,0,0,0,0,0,50,10,0,0,0,9
198.3841552734375,2,Single parent/caregiver (<60 years),4696.7061,1,8.6064692,0,7,1,0,0,0,0,0,0,0,0,0,57,11,Женский,0,0,10
291.4718322753906,3,"Couple household, with children",5929.5786,1,8.4114094,0,8,0,0,0,0,0,0,0,0,0,0,58,11,0,0,0,11
354.2173461914063,7,"Couple household, with children",1981.7805,1,7.9259281,100,1,0,0,0,0,0,0,0,0,0,0,46,9,0,0,0,12
266.5615844726563,7,Three generation household,3029.5962,1,7.9210196,0,3,1,0,0,0,0,0,0,0,0,0,69,13,Женский,0,0,13
229.5738525390625,2,"Couple household, with no children",6622.2939,1,8.6821022,0,9,0,1,0,0,0,0,0,0,0,0,69,13,0,0,0,14
253.1899108886719,2,Single parent/caregiver (<60 years),8476.1357,1,8.5251303,0,10,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0,15
406.160400390625,4,"Couple household, with no children",3885.1973,1,8.3888617,0,5,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0,16
