year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2020,159.18201,158.409,158.39,157.97301,156.94,152.966,151.366,150.364,149.813,149.879,150.20599,150.394,150.188,149.468,146.718,144.153,143.27299,143.386,145.905,147.33299,146.86099,144.13901,140.703,139.248,137.871,135.786,134.44,132.786,130.841,128.619,126.72,124.137,120.45,116.487,112.507,108.518,104.381,100.117,95.818001,91.932999,88.037003,84.390999,81.551003,78.841003,76.164001,73.210999,70.558998,68.313004,65.980003,63.564999,61.435001,59.820999,58.063999,56.299999,54.738998,52.671001,50.463001,48.653999,46.674999,44.506001,41.917999,39.278999,36.924999,34.601002,32.331001,29.937,27.639,25.580999,23.608999,21.767,19.847,17.983999,16.48,15.089,13.781,12.393,11.172,10.159,9.1660004,8.2010002,7.131,6.2069998,5.4710002,4.77,4.118,3.45,2.8800001,2.437,2.0109999,1.625,1.261,.95999998,.74599999,.56900001,.42300001,.29899999,.21699999,.168,.12899999,.097000003,.21699999
2021,159.30701,157.901,157.834,157.952,157.633,156.675,152.755,151.19299,150.215,149.68201,149.758,150.08501,150.263,150.035,149.28101,146.48599,143.867,142.924,142.97301,145.42999,146.80499,146.295,143.552,140.10699,138.64999,137.28,135.207,133.87601,132.241,130.312,128.108,126.225,123.657,119.988,116.039,112.073,108.094,103.969,99.714996,95.424004,91.543999,87.651001,84.005997,81.162003,78.446999,75.763,72.803001,70.141998,67.882004,65.532997,63.103001,60.955002,59.317001,57.535,55.744999,54.153999,52.062,49.827999,47.986,45.974998,43.773998,41.162998,38.500999,36.125999,33.780998,31.489,29.082001,26.775,24.701,22.718,20.864,18.941,17.084999,15.579,14.191,12.89,11.52,10.312,9.2980003,8.309,7.3530002,6.3189998,5.428,4.7179999,4.0500002,3.4400001,2.832,2.3210001,1.924,1.553,1.225,.926,.68400002,.51700002,.382,.273,.186,.12899999,.096000001,.071000002,.16
2022,158.311,158.08701,157.35201,157.411,157.62199,157.373,156.465,152.584,151.04601,150.086,149.562,149.638,149.95599,150.11099,149.84801,149.045,146.194,143.51199,142.506,142.494,144.89799,146.233,145.698,142.944,139.50101,138.05,136.69,134.633,133.31799,131.7,129.787,127.599,125.732,123.179,119.523,115.588,111.632,107.664,103.547,99.301003,95.013,91.136002,87.244003,83.597,80.745003,78.021004,75.323997,72.353996,69.677002,67.400002,65.032997,62.585999,60.415001,58.750999,56.941002,55.122002,53.498001,51.373001,49.109001,47.229,45.18,42.946999,40.306999,37.623001,35.220001,32.849998,30.537001,28.118999,25.799999,23.714001,21.722,19.861,17.945999,16.105,14.605,13.225,11.933,10.586,9.3950005,8.3879995,7.4099998,6.4790001,5.4910002,4.6479998,3.9719999,3.349,2.7880001,2.2520001,1.806,1.466,1.155,.88700002,.65100002,.46700001,.34099999,.243,.167,.109,.071999997,.050000001,.116
2023,157.257,157.242,157.536,156.937,157.093,157.37199,157.172,156.299,152.444,150.922,149.97099,149.448,149.51401,149.80901,149.92799,149.614,148.752,145.836,143.091,142.026,141.964,144.325,145.632,145.082,142.327,138.89301,137.452,136.10699,134.067,132.769,131.16701,129.271,127.098,125.242,122.702,119.058,115.135,111.189,107.23,103.12,98.878998,94.596001,90.720001,86.828003,83.178001,80.319,77.584999,74.877998,71.897003,69.207001,66.914001,64.529999,62.064999,59.875,58.185001,56.348999,54.501999,52.844002,50.692001,48.402,46.487999,44.408001,42.146,39.484001,36.782001,34.359001,31.969,29.639999,27.209999,24.882,22.785999,20.785999,18.919001,17.011,15.184,13.689,12.312,11.027,9.6999998,8.5279999,7.533,6.5799999,5.6830001,4.7540002,3.9679999,3.3399999,2.77,2.2650001,1.79,1.403,1.109,.852,.63700002,.454,.317,.22499999,.155,.103,.064999998,.041999999,.086999997
2024,156.295,156.257,156.713,157.134,156.629,156.851,157.17599,157.011,156.161,152.323,150.811,149.86,149.327,149.371,149.63,149.698,149.32401,148.396,145.41901,142.616,141.50101,141.401,143.733,145.022,144.467,141.72099,138.3,136.87399,135.54601,133.52299,132.241,130.655,128.772,126.612,124.767,122.236,118.604,114.69,110.751,106.798,102.694,98.456001,94.174004,90.297997,86.403,82.748001,79.878998,77.134003,74.413002,71.419998,68.714996,66.403999,64.000999,61.516998,59.305,57.588001,55.722,53.844002,52.151001,49.970001,47.650002,45.700001,43.588001,41.296001,38.612999,35.890999,33.445999,31.038,28.691,26.252001,23.917999,21.813,19.809,17.941,16.045,14.237,12.751,11.384,10.111,8.8109999,7.665,6.6950002,5.777,4.9239998,4.0630002,3.3410001,2.767,2.2520001,1.803,1.392,1.062,.81900001,.61299998,.44400001,.30700001,.20900001,.14300001,.096000001,.061999999,.037999999,.068000004
2025,155.45399,155.358,155.74699,156.326,156.83501,156.394,156.661,157.019,156.875,156.041,152.214,150.702,149.741,149.187,149.19501,149.403,149.412,148.97301,147.981,144.946,142.097,140.944,140.81799,143.132,144.41499,143.864,141.13,137.726,136.31799,135.004,132.99899,131.731,130.159,128.289,126.14,124.304,121.781,118.157,114.25,110.317,106.367,102.265,98.028,93.745003,89.865997,85.964996,82.303001,79.422997,76.663002,73.928001,70.919998,68.198997,65.867996,63.444,60.938,58.702,56.955002,55.056999,53.145,51.416,49.202,46.851002,44.866001,42.717999,40.396,37.689999,34.946999,32.48,30.052999,27.688,25.242001,22.903999,20.797001,18.794001,16.93,15.052,13.268,11.795,10.444,9.191,7.927,6.8189998,5.8839998,5.0110002,4.2129998,3.425,2.7709999,2.253,1.796,1.404,1.0549999,.787,.58999997,.428,.30199999,.20299999,.134,.089000002,.057999998,.035999998,.056000002
2026,154.912,154.573,154.869,155.37399,156.037,156.606,156.21001,156.508,156.88699,156.758,155.933,152.10699,150.586,149.604,149.013,148.972,149.121,149.065,148.562,147.511,144.429,141.54401,140.368,140.22701,142.533,143.817,143.276,140.558,137.174,135.78101,134.485,132.494,131.24001,129.679,127.82,125.679,123.85,121.333,117.715,113.813,109.883,105.934,101.832,97.593002,93.306,89.419998,85.512001,81.841003,78.945999,76.170998,73.418999,70.394997,67.655998,65.301003,62.855,60.325001,58.063,56.282001,54.351002,52.403,50.633999,48.386002,46.005001,43.979,41.796001,39.441002,36.710999,33.949001,31.459999,29.014,26.632,24.181999,21.846001,19.739,17.743,15.891,14.035,12.282,10.829,9.5,8.2740002,7.0560002,5.9980001,5.1090002,4.2930002,3.556,2.8440001,2.2579999,1.799,1.401,1.067,.78299999,.56699997,.414,.292,.2,.13,.082999997,.054000001,.034000002,.046999998
2027,153.998,154.08099,154.10201,154.509,155.09599,155.81599,156.427,156.061,156.379,156.77299,156.65199,155.827,151.993,150.451,149.43401,148.79401,148.694,148.77901,148.658,148.09599,146.996,143.88,140.972,139.782,139.63699,141.944,143.23399,142.707,140.006,136.64101,135.26601,133.983,132.007,130.765,129.214,127.363,125.23,123.404,120.89,117.276,113.376,109.447,105.495,101.389,97.146004,92.853996,88.958,85.041,81.358002,78.447998,75.653999,72.884003,69.843002,67.083,64.704002,62.230999,59.675999,57.384998,55.569,53.599998,51.613998,49.801998,47.519001,45.104,43.037998,40.817001,38.428001,35.673,32.889999,30.381001,27.917,25.524,23.073,20.743,18.643999,16.662001,14.824,12.999,11.282,9.8570004,8.559,7.3720002,6.2129998,5.2129998,4.381,3.6270001,2.9560001,2.322,1.806,1.405,1.067,.79400003,.56599998,.398,.28200001,.19400001,.12899999,.081,.050000001,.030999999,.046999998
2028,152.97501,153.216,153.62801,153.756,154.239,154.881,155.64101,156.28101,155.936,156.269,156.67,156.548,155.713,151.86,150.282,149.217,148.52,148.356,148.37601,148.196,147.58501,146.44901,143.31,140.392,139.19901,139.058,141.37,142.672,142.157,139.47501,136.129,134.76801,133.49899,131.536,130.302,128.759,126.914,124.786,122.963,120.449,116.836,112.936,109.004,105.048,100.935,96.683998,92.384003,88.477997,84.549004,80.852997,77.925003,75.111,72.32,69.260002,66.476997,64.069,61.569,58.985001,56.664001,54.810001,52.801998,50.776001,48.918999,46.597,44.147999,42.039001,39.778,37.355,34.574001,31.773001,29.242001,26.764999,24.363001,21.917999,19.603001,17.516001,15.552,13.738,11.948,10.276,8.8870001,7.632,6.4959998,5.4050002,4.4749999,3.7049999,3.02,2.4170001,1.859,1.4119999,1.071,.79400003,.57499999,.398,.273,.18799999,.125,.081,.050000001,.029999999,.039999999
2029,151.99699,152.23599,152.77901,153.291,153.494,154.03101,154.71201,155.49899,156.16,155.82899,156.16701,156.56799,156.437,155.582,151.69299,150.069,148.946,148.186,147.95799,147.92101,147.69,147.04201,145.881,142.73199,139.813,138.62399,138.493,140.814,142.12801,141.62801,138.964,135.636,134.289,133.03,131.078,129.851,128.315,126.474,124.349,122.523,120.007,116.392,112.489,108.551,104.588,100.466,96.206001,91.894997,87.974998,84.032997,80.321999,77.374001,74.539001,71.723999,68.641998,65.833,63.396,60.865002,58.250999,55.896999,54.001999,51.952999,49.883999,47.98,45.618999,43.132999,40.979,38.676998,36.216999,33.414001,30.594,28.046,25.558001,23.155001,20.722,18.426001,16.360001,14.421,12.636,10.89,9.2720003,7.9320002,6.7309999,5.6570001,4.6440001,3.79,3.089,2.4719999,1.939,1.457,1.079,.80000001,.57599998,.405,.273,.182,.122,.078000002,.050000001,.028999999,.037999999
