hhid,rural,female_head,weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,current_B,value_B,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,age,age5yrs,sex,disab,pension
10010026,0,0,272.26544,4,"Couple household, with children",1244560.3,1.1546993,14.311191,0,9,0,0,0,0,0,0,0,0,37,7,1,0,0
10010223,0,0,272.26544,4,"Couple household, with no children",1117956,1.1546993,14.106398,0,9,0,0,0,0,0,0,0,0,26,5,0,0,0
10010289,0,0,272.26544,5,"Couple household, with children",777125.06,1.1546993,13.751993,0,8,0,0,0,0,0,0,0,0,32,6,1,0,0
10010354,0,0,272.26544,5,Three generation household,1060504.6,1.1546993,13.772583,0,9,0,0,0,0,0,0,0,0,64,12,0,0,0
10010486,0,0,272.26544,5,"Couple household, with children",1459325.1,1.1546993,14.198426,0,10,0,0,0,0,0,0,0,0,35,7,1,0,0
10010617,0,0,272.26544,6,"Couple household, with children",3471399.8,1.1546993,14.354848,0,10,0,0,0,0,0,0,0,0,10,2,1,0,0
10010683,0,0,272.26544,2,Other household types,1066942.1,1.1546993,14.251616,0,9,0,0,0,0,0,0,0,0,40,8,0,0,0
10010749,0,0,272.26544,5,"Couple household, with no children",1284857.3,1.1546993,14.279462,0,9,0,0,0,0,0,0,0,0,22,4,1,0,0
10010880,0,0,272.26544,5,"Couple household, with children",994801.44,1.1546993,13.719352,0,9,0,0,0,0,0,0,0,0,10,2,0,0,0
10010946,0,0,272.26544,3,"Couple household, with no children",1505732.5,1.1546993,14.24965,0,10,0,0,0,0,0,0,0,0,22,4,0,0,0
10020048,0,0,432.40897,4,"Couple household, with no children",956544.75,1.1461204,13.891438,0,9,0,0,0,0,0,0,0,0,51,10,0,0,0
10020099,0,0,432.40897,5,"Couple household, with no children",1902292,1.1461204,13.732538,0,10,0,0,0,0,0,0,0,0,47,9,0,0,0
10020254,0,0,432.40897,4,"Couple household, with children",1428696.5,1.1461204,13.856075,0,10,0,0,0,0,0,0,0,0,6,1,1,0,0
10020305,0,1,432.40897,2,Other household types,2512553.5,1.1461204,14.033253,0,10,0,0,0,0,0,0,0,0,77,15,1,0,0
