hhsize,weight,rural,female_head,hhtype3,adj_factor,pov,adj_welfare,decile,pmt,age,age5yrs,sex,pension,disab,current_B,value_B,current_childA,value_childA,current_disabA,value_disabA,value_oldA,current_oldA,hhid
5,13.3493,0,1,Other household types,1,0,261.72025,3,5.6277633,31,7,0,0,0,0,0,0,0,0,0,0,0,1
5,13.3493,0,1,Other household types,1,0,261.72025,3,5.6277633,41,9,0,0,0,0,0,0,0,0,0,0,0,1
5,13.3493,0,1,Other household types,1,0,261.72025,3,5.6277633,60,13,1,0,0,0,0,0,0,0,0,0,0,1
5,13.3493,0,1,Other household types,1,0,261.72025,3,5.6277633,29,6,1,0,0,0,0,0,0,0,0,0,0,1
5,13.3493,0,1,Other household types,1,0,261.72025,3,5.6277633,18,4,0,0,0,0,0,0,0,0,0,0,0,1
3,17.04134,1,0,"Couple household, with children",1,0,376.62918,5,5.7231464,29,6,0,0,0,0,0,0,0,0,0,0,0,2
3,17.04134,1,0,"Couple household, with children",1,0,376.62918,5,5.7231464,4,1,1,0,0,0,0,0,0,0,0,0,0,2
3,17.04134,1,0,"Couple household, with children",1,0,376.62918,5,5.7231464,27,6,1,0,0,0,0,0,0,0,0,0,0,2
2,53.3972,0,0,"Couple household, with no children",1,0,259.94653,3,5.9541621,32,7,0,0,0,0,0,0,0,0,0,0,0,3
2,53.3972,0,0,"Couple household, with no children",1,0,259.94653,3,5.9541621,24,5,1,0,0,0,0,0,0,0,0,0,0,3
2,25.56201,1,0,"Couple household, with no children",1,0,669.41864,8,6.7687888,49,10,0,0,0,0,0,0,0,0,0,0,0,4
2,25.56201,1,0,"Couple household, with no children",1,0,669.41864,8,6.7687888,56,12,1,0,0,0,0,0,0,0,0,0,0,4
4,16.8162,0,1,Other household types,1,0,346.08829,4,5.9829946,17,4,0,0,0,0,0,0,0,0,0,0,0,5
4,16.8162,0,1,Other household types,1,0,346.08829,4,5.9829946,47,10,0,0,0,0,0,0,0,0,0,0,0,5
4,16.8162,0,1,Other household types,1,0,346.08829,4,5.9829946,22,5,0,0,0,0,0,0,0,0,0,0,0,5
4,16.8162,0,1,Other household types,1,0,346.08829,4,5.9829946,47,10,1,0,0,0,0,0,0,0,0,0,0,5
1,66.7465,0,1,"One-person household, 60+ years",1,0,1037.4093,9,6.8045993,60,13,1,1,0,0,0,0,0,0,0,0,0,6
3,33.37325,0,0,Other household types,1,0,357.66336,4,6.0404963,19,4,0,0,0,0,0,0,0,0,0,0,0,7
3,33.37325,0,0,Other household types,1,0,357.66336,4,6.0404963,40,9,0,0,0,0,0,0,0,0,0,0,0,7
3,33.37325,0,0,Other household types,1,0,357.66336,4,6.0404963,67,14,0,0,0,0,0,0,0,0,0,0,0,7
5,8.520670000000001,1,0,"Couple household, with children",1,0,344.23605,4,5.3275714,9,2,1,0,0,0,0,0,0,0,0,0,0,8
5,8.520670000000001,1,0,"Couple household, with children",1,0,344.23605,4,5.3275714,32,7,0,0,0,0,0,0,0,0,0,0,0,8
5,8.520670000000001,1,0,"Couple household, with children",1,0,344.23605,4,5.3275714,11,3,0,0,0,0,0,0,0,0,0,0,0,8
5,8.520670000000001,1,0,"Couple household, with children",1,0,344.23605,4,5.3275714,11,3,0,0,0,0,0,0,0,0,0,0,0,8
5,8.520670000000001,1,0,"Couple household, with children",1,0,344.23605,4,5.3275714,39,8,1,0,0,0,0,0,0,0,0,0,0,8
4,25.0585,1,0,"Couple household, with children",1,1,146.19044,1,4.7678185,5,2,0,0,0,0,0,0,0,0,0,0,0,9
4,25.0585,1,0,"Couple household, with children",1,1,146.19044,1,4.7678185,17,4,1,0,0,0,0,0,0,0,0,0,0,9
4,25.0585,1,0,"Couple household, with children",1,1,146.19044,1,4.7678185,31,7,1,0,0,0,0,0,0,0,0,0,0,9
4,25.0585,1,0,"Couple household, with children",1,1,146.19044,1,4.7678185,41,9,0,0,0,0,0,0,0,0,0,0,0,9
5,13.3493,0,0,Other household types,1,0,438.21704,6,5.6924958,27,6,0,0,0,0,0,0,0,0,0,0,0,10
5,13.3493,0,0,Other household types,1,0,438.21704,6,5.6924958,14,3,0,0,0,0,0,0,0,0,0,0,0,10
5,13.3493,0,0,Other household types,1,0,438.21704,6,5.6924958,29,6,1,0,0,0,0,0,0,0,0,0,0,10
5,13.3493,0,0,Other household types,1,0,438.21704,6,5.6924958,16,4,0,0,0,0,0,0,0,0,0,0,0,10
5,13.3493,0,0,Other household types,1,0,438.21704,6,5.6924958,19,4,1,0,0,0,0,0,0,0,0,0,0,10
5,13.3493,0,0,"Couple household, with children",1,0,375.79938,5,6.2490993,36,8,0,0,0,0,0,0,0,0,0,0,0,11
5,13.3493,0,0,"Couple household, with children",1,0,375.79938,5,6.2490993,37,8,1,0,0,0,0,0,0,0,0,0,0,11
5,13.3493,0,0,"Couple household, with children",1,0,375.79938,5,6.2490993,13,3,1,0,0,0,0,0,0,0,0,0,0,11
5,13.3493,0,0,"Couple household, with children",1,0,375.79938,5,6.2490993,15,4,1,0,0,0,0,0,0,0,0,0,0,11
5,13.3493,0,0,"Couple household, with children",1,0,375.79938,5,6.2490993,5,2,0,0,0,0,0,0,0,0,0,0,0,11
5,13.3493,0,0,Three generation household,1,0,225.97849,2,5.6366425,62,13,0,1,0,0,0,0,0,0,0,0,0,12
5,13.3493,0,0,Three generation household,1,0,225.97849,2,5.6366425,53,11,1,0,0,0,0,0,0,0,0,0,0,12
5,13.3493,0,0,Three generation household,1,0,225.97849,2,5.6366425,32,7,0,0,0,0,0,0,0,0,0,0,0,12
5,13.3493,0,0,Three generation household,1,0,225.97849,2,5.6366425,28,6,1,0,0,0,0,0,0,0,0,0,0,12
5,13.3493,0,0,Three generation household,1,0,225.97849,2,5.6366425,1,1,0,0,0,0,0,0,0,0,0,0,0,12
7,10.4325,1,0,Three generation household,1,0,424.4393,6,5.6897826,12,3,0,0,0,0,0,0,0,0,0,0,0,13
7,10.4325,1,0,Three generation household,1,0,424.4393,6,5.6897826,13,3,1,0,0,0,0,0,0,0,0,0,0,13
7,10.4325,1,0,Three generation household,1,0,424.4393,6,5.6897826,61,13,0,0,0,0,0,0,0,0,0,0,0,13
7,10.4325,1,0,Three generation household,1,0,424.4393,6,5.6897826,2,1,1,0,0,0,0,0,0,0,0,0,0,13
7,10.4325,1,0,Three generation household,1,0,424.4393,6,5.6897826,16,4,1,0,0,0,0,0,0,0,0,0,0,13
7,10.4325,1,0,Three generation household,1,0,424.4393,6,5.6897826,13,3,1,0,0,0,0,0,0,0,0,0,0,13
7,10.4325,1,0,Three generation household,1,0,424.4393,6,5.6897826,58,12,1,1,0,0,0,0,0,0,0,0,0,13
2,7.97781,1,0,"Couple household, with no children",1,0,1351.7728,10,7.4958358,25,6,1,0,0,0,0,0,0,0,0,0,0,14
2,7.97781,1,0,"Couple household, with no children",1,0,1351.7728,10,7.4958358,32,7,0,0,0,0,0,0,0,0,0,0,0,14
7,11.2108,0,0,Other household types,1,0,277.40118,3,5.5412169,4,1,1,0,0,0,0,0,0,0,0,0,0,15
7,11.2108,0,0,Other household types,1,0,277.40118,3,5.5412169,0,1,1,0,0,0,0,0,0,0,0,0,0,15
7,11.2108,0,0,Other household types,1,0,277.40118,3,5.5412169,40,9,1,0,0,0,0,0,0,0,0,0,0,15
7,11.2108,0,0,Other household types,1,0,277.40118,3,5.5412169,12,3,1,0,0,0,0,0,0,0,0,0,0,15
7,11.2108,0,0,Other household types,1,0,277.40118,3,5.5412169,48,10,0,0,0,0,0,0,0,0,0,0,0,15
7,11.2108,0,0,Other household types,1,0,277.40118,3,5.5412169,13,3,1,0,0,0,0,0,0,0,0,0,0,15
7,11.2108,0,0,Other household types,1,0,277.40118,3,5.5412169,20,5,0,0,0,0,0,0,0,0,0,0,0,15
6,2.71041,1,1,Other household types,1,0,431.8429,6,,19,4,0,0,0,0,0,0,0,0,0,0,0,16
6,2.71041,1,1,Other household types,1,0,431.8429,6,,22,5,0,0,0,0,0,0,0,0,0,0,0,16
6,2.71041,1,1,Other household types,1,0,431.8429,6,,37,8,0,0,0,0,0,0,0,0,0,0,0,16
6,2.71041,1,1,Other household types,1,0,431.8429,6,,57,12,1,0,0,0,0,0,0,0,0,0,0,16
6,2.71041,1,1,Other household types,1,0,431.8429,6,,90,16,1,1,0,0,0,0,0,0,0,0,0,16
6,2.71041,1,1,Other household types,1,0,431.8429,6,,56,12,0,0,0,0,0,0,0,0,0,0,0,16
6,8.520670000000001,1,0,"Couple household, with children",1,0,417.09689,5,5.296885,8,2,1,0,0,0,0,0,0,0,0,0,0,17
6,8.520670000000001,1,0,"Couple household, with children",1,0,417.09689,5,5.296885,10,3,1,0,0,0,0,0,0,0,0,0,0,17
6,8.520670000000001,1,0,"Couple household, with children",1,0,417.09689,5,5.296885,33,7,0,0,0,0,0,0,0,0,0,0,0,17
6,8.520670000000001,1,0,"Couple household, with children",1,0,417.09689,5,5.296885,30,7,1,0,0,0,0,0,0,0,0,0,0,17
6,8.520670000000001,1,0,"Couple household, with children",1,0,417.09689,5,5.296885,2,1,0,0,0,0,0,0,0,0,0,0,0,17
6,8.520670000000001,1,0,"Couple household, with children",1,0,417.09689,5,5.296885,14,3,0,0,0,0,0,0,0,0,0,0,0,17
6,13.3493,0,1,Three generation household,1,1,129.90285,1,5.336277,10,3,1,0,0,0,0,0,0,0,0,0,0,18
6,13.3493,0,1,Three generation household,1,1,129.90285,1,5.336277,29,6,0,0,1,0,0,0,0,0,0,0,0,18
6,13.3493,0,1,Three generation household,1,1,129.90285,1,5.336277,24,5,1,0,0,0,0,0,0,0,0,0,0,18
6,13.3493,0,1,Three generation household,1,1,129.90285,1,5.336277,64,13,1,1,0,0,0,0,0,0,0,0,0,18
6,13.3493,0,1,Three generation household,1,1,129.90285,1,5.336277,0,1,0,0,0,0,0,0,0,0,0,0,0,18
6,13.3493,0,1,Three generation household,1,1,129.90285,1,5.336277,2,1,1,0,0,0,0,0,0,0,0,0,0,18
5,13.3493,0,0,"Couple household, with children",1,0,265.83157,3,5.642025,44,9,0,0,0,0,0,0,0,0,0,0,0,19
5,13.3493,0,0,"Couple household, with children",1,0,265.83157,3,5.642025,4,1,1,0,0,0,0,0,0,0,0,0,0,19
5,13.3493,0,0,"Couple household, with children",1,0,265.83157,3,5.642025,10,3,0,0,0,0,0,0,0,0,0,0,0,19
5,13.3493,0,0,"Couple household, with children",1,0,265.83157,3,5.642025,12,3,1,0,0,0,0,0,0,0,0,0,0,19
5,13.3493,0,0,"Couple household, with children",1,0,265.83157,3,5.642025,43,9,1,0,0,0,0,0,0,0,0,0,0,19
8,2.71041,1,0,Other household types,1,0,240.71767,2,5.0587401,32,7,0,0,0,0,0,0,0,0,0,0,0,20
