year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,78.179,75.782,72.996,69.91,66.614,63.195,59.743,56.346,53.094,50.075,47.225,44.478,42.691,42.262,42.816,43.527,44.485,45.762,47.284,48.998,50.783,52.495,54.467,56.796,59.184,61.418,63.761,64.526,62.921,59.782,56.716,53.38,50.656,49.14,48.402,47.386,46.266,45.284,44.442,43.686,42.99,42.392,41.575,40.388,38.98,37.589,36.096,34.91,34.234,33.834,33.333,32.881,31.901,30.092,27.757,25.505,23.217,21.132,19.432,17.999,16.542,15.123,13.791,12.54,11.383,10.307,9.282,8.476,7.963,7.647,7.368,7.165,6.87,6.385,5.787,5.25,4.739,4.259,3.829,3.436,3.051,2.684,2.328,1.977,1.64,1.327,1.033,0.788,0.607,0.475,0.342,0.249,0.2,0.145,0.086,0.053,0.045,0.035,0.023,0.01,0.009
2016,77.731,77.889,75.651,72.968,69.938,66.66,63.222,59.713,56.276,53.025,50.032,47.188,44.438,42.647,42.213,42.762,43.466,44.418,45.688,47.205,48.914,50.694,52.401,54.367,56.689,59.069,61.295,63.63,64.389,62.781,59.641,56.574,53.235,50.509,48.989,48.246,47.225,46.1,45.109,44.254,43.483,42.77,42.155,41.32,40.117,38.691,37.283,35.775,34.572,33.876,33.456,32.936,32.465,31.474,29.664,27.338,25.094,22.816,20.741,19.05,17.625,16.176,14.767,13.443,12.201,11.052,9.984,8.967,8.162,7.638,7.305,7.009,6.79,6.486,6.004,5.417,4.89,4.392,3.926,3.51,3.134,2.767,2.419,2.085,1.76,1.452,1.163,0.899,0.689,0.528,0.405,0.289,0.212,0.17,0.123,0.072,0.049,0.038,0.026,0.012,0.011
2017,76.36,76.768,77.648,75.566,72.984,70.009,66.747,63.288,59.72,56.24,52.988,50.019,47.18,44.425,42.63,42.19,42.734,43.433,44.379,45.643,47.155,48.861,50.637,52.34,54.301,56.618,58.991,61.21,63.538,64.291,62.679,59.536,56.466,53.123,50.393,48.868,48.12,47.093,45.962,44.962,44.094,43.306,42.576,41.944,41.091,39.87,38.426,37.001,35.477,34.255,33.539,33.097,32.558,32.068,31.065,29.255,26.935,24.699,22.429,20.363,18.679,17.262,15.821,14.419,13.103,11.869,10.727,9.666,8.657,7.853,7.318,6.967,6.655,6.419,6.105,5.626,5.049,4.534,4.047,3.595,3.195,2.834,2.485,2.156,1.843,1.545,1.266,1,0.765,0.591,0.45,0.336,0.236,0.175,0.14,0.101,0.058,0.041,0.028,0.013,0.014
2018,74.36,76.187,76.831,77.41,75.486,73.005,70.084,66.838,63.357,59.731,56.207,52.954,50.009,47.175,44.415,42.614,42.169,42.709,43.402,44.341,45.6,47.108,48.81,50.582,52.282,54.238,56.549,58.915,61.128,63.45,64.197,62.581,59.435,56.361,53.014,50.279,48.75,47.997,46.964,45.826,44.817,43.935,43.131,42.384,41.734,40.864,39.624,38.163,36.72,35.179,33.94,33.203,32.741,32.182,31.673,30.658,28.847,26.534,24.304,22.043,19.985,18.31,16.9,15.466,14.072,12.764,11.538,10.403,9.348,8.348,7.545,6.999,6.63,6.301,6.048,5.725,5.248,4.682,4.177,3.703,3.264,2.879,2.534,2.203,1.892,1.602,1.33,1.08,0.836,0.632,0.492,0.372,0.266,0.183,0.138,0.11,0.079,0.045,0.03,0.014,0.017
2019,72.172,75.16,76.831,77.329,77.137,75.371,72.992,70.126,66.898,63.398,59.714,56.148,52.896,49.976,47.148,44.385,42.579,42.13,42.664,43.351,44.283,45.536,47.039,48.737,50.504,52.199,54.15,56.454,58.813,61.018,63.332,64.073,62.454,59.307,56.231,52.881,50.143,48.61,47.851,46.813,45.67,44.652,43.757,42.936,42.173,41.506,40.618,39.361,37.883,36.423,34.866,33.609,32.852,32.369,31.791,31.263,30.237,28.426,26.121,23.899,21.646,19.599,17.931,16.529,15.104,13.719,12.419,11.201,10.073,9.026,8.035,7.232,6.676,6.289,5.945,5.675,5.342,4.868,4.313,3.818,3.356,2.932,2.561,2.233,1.92,1.627,1.359,1.114,0.893,0.672,0.498,0.393,0.294,0.196,0.13,0.101,0.08,0.056,0.031,0.016,0.02
2020,70.154,73.893,76.295,77.494,77.624,76.819,75.212,72.937,70.128,66.92,63.401,59.662,56.057,52.807,49.914,47.094,44.328,42.519,42.065,42.594,43.275,44.2,45.446,46.943,48.635,50.397,52.087,54.031,56.327,58.677,60.873,63.178,63.913,62.291,59.144,56.067,52.717,49.977,48.441,47.678,46.635,45.487,44.461,43.553,42.716,41.937,41.253,40.349,39.075,37.58,36.104,34.532,33.259,32.482,31.978,31.381,30.835,29.798,27.989,25.692,23.479,21.238,19.201,17.543,16.149,14.734,13.357,12.067,10.858,9.738,8.7,7.717,6.916,6.349,5.944,5.584,5.298,4.957,4.485,3.941,3.458,3.008,2.598,2.242,1.931,1.636,1.362,1.116,0.897,0.706,0.508,0.363,0.294,0.215,0.126,0.077,0.064,0.05,0.034,0.017,0.023
2021,68.578,70.886,74.092,76.164,77.201,77.303,76.605,75.24,73.136,70.324,67.006,63.446,59.7,56.086,52.828,49.928,47.101,44.327,42.511,42.053,42.581,43.259,44.183,45.427,46.922,48.611,50.371,52.058,53.998,56.287,58.628,60.816,63.111,63.837,62.209,59.056,55.973,52.614,49.864,48.316,47.538,46.479,45.315,44.271,43.34,42.478,41.673,40.963,40.035,38.746,37.239,35.751,34.17,32.883,32.085,31.555,30.936,30.367,29.318,27.51,25.225,23.024,20.796,18.769,17.115,15.722,14.308,12.935,11.649,10.449,9.341,8.313,7.343,6.551,5.984,5.577,5.216,4.928,4.592,4.135,3.612,3.15,2.723,2.335,2.004,1.716,1.441,1.194,0.979,0.782,0.604,0.431,0.311,0.251,0.183,0.107,0.07,0.054,0.037,0.019,0.026
2022,67.205,71.084,71.548,74.217,75.955,76.829,76.903,76.312,75.192,73.261,70.448,67.025,63.427,59.676,56.058,52.796,49.892,47.06,44.28,42.46,41.999,42.524,43.2,44.121,45.362,46.853,48.538,50.293,51.976,53.91,56.19,58.521,60.697,62.98,63.697,62.064,58.908,55.821,52.458,49.701,48.141,47.349,46.276,45.098,44.035,43.082,42.196,41.366,40.63,39.681,38.376,36.859,35.361,33.772,32.472,31.654,31.1,30.458,29.867,28.806,27.002,24.731,22.544,20.332,18.318,16.67,15.278,13.868,12.498,11.219,10.029,8.933,7.917,6.962,6.178,5.613,5.203,4.841,4.553,4.222,3.78,3.28,2.839,2.434,2.07,1.762,1.499,1.245,1.025,0.841,0.666,0.501,0.353,0.258,0.207,0.15,0.087,0.059,0.041,0.021,0.029
2023,66.095,69.5,72.185,72.17,74.3,75.704,76.414,76.461,75.978,75.102,73.345,70.533,67.007,63.373,59.62,56,52.735,49.828,46.992,44.208,42.385,41.921,42.444,43.117,44.034,45.271,46.758,48.438,50.187,51.865,53.792,56.062,58.38,60.545,62.815,63.522,61.884,58.728,55.638,52.273,49.51,47.94,47.134,46.047,44.855,43.775,42.801,41.89,41.037,40.275,39.304,37.986,36.459,34.952,33.356,32.044,31.206,30.628,29.964,29.352,28.279,26.48,24.224,22.052,19.857,17.857,16.215,14.826,13.42,12.055,10.782,9.603,8.52,7.518,6.576,5.802,5.239,4.827,4.464,4.175,3.85,3.423,2.945,2.527,2.144,1.804,1.52,1.281,1.048,0.855,0.702,0.55,0.398,0.274,0.204,0.164,0.118,0.067,0.044,0.023,0.032
2024,65.258,68.021,70.372,72.309,72.784,74.376,75.446,75.992,76.01,75.636,75.004,73.422,70.611,66.981,63.313,59.558,55.935,52.668,49.758,46.92,44.133,42.306,41.839,42.36,43.03,43.943,45.176,46.658,48.333,50.077,51.749,53.668,55.928,58.234,60.386,62.643,63.34,61.699,58.542,55.45,52.083,49.315,47.734,46.914,45.813,44.608,43.511,42.516,41.581,40.703,39.916,38.924,37.592,36.056,34.539,32.936,31.613,30.754,30.152,29.467,28.833,27.749,25.955,23.715,21.558,19.38,17.394,15.759,14.372,12.971,11.61,10.345,9.177,8.107,7.117,6.191,5.426,4.865,4.45,4.087,3.797,3.478,3.067,2.611,2.214,1.854,1.538,1.278,1.063,0.851,0.686,0.564,0.434,0.295,0.196,0.151,0.12,0.085,0.047,0.025,0.035
