hhid,rural,female_head,weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,current_B,value_B,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,age,age5yrs,sex,disab
1,0,0,2078.5532,4,"Couple household, with no children",84706.969,1.1017773,,0,8,0,0,0,0,0,0,0,0,48,9,1,0
2,0,0,2078.5532,5,"Couple household, with children",106879.03,1.1017773,,0,9,1,220.35547,0,0,0,0,0,0,29,5,0,0
3,0,0,2078.5532,4,"Couple household, with children",66167.984,1.1017772,,0,7,0,0,0,0,0,0,0,0,19,3,1,0
4,0,1,2078.5532,1,"One-person household, 60+ years",103420.07,1.1017773,,0,9,0,0,0,0,0,0,0,0,66,13,1,0
5,0,1,2078.5532,5,Three generation household,49367.48,1.1017772,11.095559,0,5,0,0,0,0,0,0,0,0,69,13,1,0
6,0,1,2078.5532,5,Other household types,119892.39,1.1017772,10.727988,0,10,0,0,0,0,0,0,0,0,54,10,1,0
7,0,1,2078.5532,5,Three generation household,48887.195,1.1017773,,0,5,0,0,1,168000,0,0,0,0,53,10,0,1
8,0,0,2078.5532,4,Three generation household,165117.02,1.1017773,,0,10,0,0,0,0,0,0,0,0,84,16,1,0
9,0,0,2078.5532,7,"Couple household, with children",53271.266,1.1017772,,0,6,0,0,0,0,0,0,0,0,25,5,1,0
10,0,0,2078.5532,3,"Couple household, with children",123553.7,1.1017772,,0,10,0,0,0,0,0,0,0,0,37,7,1,0
11,0,1,2078.5532,1,"One-person household, 60+ years",96602.977,1.1017772,10.960412,0,9,0,0,0,0,0,0,0,0,69,13,1,0
12,0,0,2078.5532,5,Three generation household,51326.223,1.1017773,,0,5,1,48.55653,0,0,1,220.35547,0,0,9,1,1,0
13,1,0,8839.4785,3,"Couple household, with no children",76557.727,1.1017773,10.824865,0,8,0,0,0,0,0,0,0,0,60,12,0,0
14,1,0,8839.4785,5,"Couple household, with children",35118.637,1.1017772,,1,3,1,97.113037,0,0,1,440.71088,0,0,37,7,0,1
15,1,0,8839.4785,4,"Couple household, with children",123589.48,1.1017772,,0,10,1,75.86956,0,0,1,275.44431,0,0,9,1,1,0
