weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,rural,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,age,age5yrs,sex,disab,_merge,hhid
1464.3654,2,"Couple household, with no children",2961.1609,1,8.4363899,0,4,0,1,0,0,0,0,0,0,0,0,36,7,0,0,matched (3),1
1464.3654,2,"Couple household, with no children",2302.2917,1,8.3549385,1,2,0,1,0,0,0,0,0,0,0,0,70,14,1,0,matched (3),2
1464.3654,3,"Couple household, with no children",3412.7185,1,8.5003328,0,5,0,1,0,0,0,0,0,0,0,0,48,9,0,0,matched (3),3
1464.3654,3,"Couple household, with no children",3480.0398,1,8.292388,0,5,0,1,0,0,0,0,0,0,0,0,60,12,0,0,matched (3),4
1464.3654,4,"Couple household, with children",5408.0503,1,8.4540033,0,8,0,1,0,0,0,0,0,0,0,0,23,4,0,0,matched (3),5
1464.3654,5,"Couple household, with children",3137.3213,1,8.0538731,0,4,0,1,0,0,0,0,0,0,0,0,53,10,1,0,matched (3),6
1464.3654,4,"Couple household, with children",3050.7141,1,8.3164377,0,4,0,1,0,0,0,0,0,0,0,0,6,1,1,0,matched (3),7
1464.3654,5,Three generation household,4208.3691,1,8.3011169,0,6,0,1,0,0,0,0,0,0,0,0,48,9,0,0,matched (3),8
1464.3654,5,"Couple household, with no children",4096.9165,1,8.3382978,0,6,0,1,0,0,0,0,0,0,0,0,24,4,0,0,matched (3),9
1464.3654,5,"Couple household, with children",5012.6763,1,8.3057079,0,7,0,1,0,0,0,0,0,0,0,0,45,9,1,0,matched (3),10
1464.3654,5,"Couple household, with no children",3535.1309,1,8.443821,0,5,0,1,0,0,0,0,0,0,0,0,53,10,1,0,matched (3),11
1464.3654,6,Other household types,4483.145,1,8.1482573,0,7,0,1,0,0,0,0,0,0,0,0,17,3,0,0,matched (3),12
1464.3654,6,"Couple household, with children",3398.0256,1,8.1751595,0,5,0,1,0,0,0,0,0,0,0,0,11,2,0,0,matched (3),13
1464.3654,7,"Couple household, with children",2114.9744,1,8.0581532,1,2,0,1,0,0,0,0,0,0,0,0,24,4,1,0,matched (3),14
1464.3654,8,Three generation household,3916.7783,1,8.1031017,0,6,0,1,0,0,0,0,0,0,0,0,36,7,1,0,matched (3),15
1429.4413,2,"Couple household, with no children",8929.0479,1,8.7348137,0,10,0,1,0,0,0,0,0,0,0,0,26,5,1,0,matched (3),16
1429.4413,2,Single parent/caregiver (<60 years),2219.0178,1,7.9709568,1,2,0,1,0,0,0,0,0,0,0,0,11,2,0,0,matched (3),17
1429.4413,3,"Couple household, with children",3031.2698,1,8.5439415,0,4,0,1,0,0,0,0,0,0,0,0,25,5,1,0,matched (3),18
1429.4413,3,"Couple household, with no children",5178.4326,1,8.5701981,0,7,0,1,0,0,0,0,0,0,0,0,18,3,1,0,matched (3),19
1429.4413,3,Other household types,3181.0518,1,8.3345203,0,4,1,1,0,0,0,0,0,0,0,0,19,3,0,0,matched (3),20
1429.4413,4,"Couple household, with no children",4278.7349,1,8.6464033,0,6,0,1,0,0,0,0,0,0,0,0,40,8,1,0,matched (3),21
1429.4413,4,"Couple household, with children",2899.2708,1,8.3697319,0,4,0,1,0,0,0,0,0,0,0,0,5,1,0,0,matched (3),22
1429.4413,4,"Couple household, with children",3953.1101,1,8.5426617,0,6,0,1,0,0,0,0,0,0,0,0,37,7,1,0,matched (3),23
1429.4413,4,"Couple household, with no children",2361.2053,1,8.5586071,1,2,0,1,0,0,0,0,0,0,0,0,22,4,0,0,matched (3),24
1429.4413,5,"Couple household, with children",5206.6787,1,8.3604193,0,7,0,1,0,0,0,0,0,0,0,0,15,3,0,0,matched (3),25
1429.4413,2,Single parent/caregiver (<60 years),5642.4106,1,8.4979572,0,8,1,1,0,0,0,0,0,0,0,0,3,0,0,0,matched (3),26
1429.4413,5,Three generation household,4505.5713,1,8.4382114,0,7,0,1,0,0,0,0,0,0,0,0,61,12,0,0,matched (3),27
1429.4413,6,"Couple household, with children",2737.51,1,8.2634411,0,3,0,1,0,0,0,0,0,0,0,0,57,11,1,0,matched (3),28
1429.4413,7,"Couple household, with children",2631.25,1,8.2005854,0,3,0,1,0,0,0,0,0,0,0,0,19,3,1,0,matched (3),29
1429.4413,10,Three generation household,4026.9045,1,7.8977456,0,6,0,1,0,0,0,0,0,0,0,0,13,2,0,0,matched (3),30
1039.0521,1,"One-person household, 18-59 years",5239.8213,1,8.5792007,0,8,1,0,0,0,0,0,0,0,0,0,47,9,1,0,matched (3),31
1039.0521,2,"Couple household, with no children",6269.6431,1,8.8622532,0,8,0,0,0,0,0,0,0,0,0,0,24,4,1,0,matched (3),32
1039.0521,2,"Couple household, with no children",9748.0361,1,9.1247673,0,10,0,0,0,0,0,0,0,0,0,0,39,7,0,0,matched (3),33
1039.0521,3,"Couple household, with no children",3854.2854,1,8.7673483,0,6,0,0,0,0,0,0,0,0,0,0,18,3,1,0,matched (3),34
1039.0521,3,"Couple household, with children",4395.5356,1,8.5564032,0,6,0,0,0,0,0,0,0,0,0,0,52,10,1,0,matched (3),35
1039.0521,3,"Couple household, with children",8000.813,1,8.6223955,0,9,0,0,0,0,0,0,0,0,0,0,44,8,0,0,matched (3),36
1039.0521,3,Single parent/caregiver (<60 years),1553.869,1,8.4033175,1,1,1,0,0,0,0,0,0,0,0,0,43,8,0,0,matched (3),37
1039.0521,4,Single parent/caregiver (<60 years),3802.0984,1,8.2513027,0,5,1,0,0,0,0,0,0,0,0,0,25,5,1,0,matched (3),38
1039.0521,4,"Couple household, with children",3286.9045,1,8.4425697,0,4,0,0,0,0,0,0,0,0,0,0,20,4,0,0,matched (3),39
1039.0521,4,"Couple household, with children",2380.9077,1,8.3568802,1,2,0,0,0,0,0,0,0,0,0,0,26,5,1,0,matched (3),40
1039.0521,5,"Couple household, with children",2156.25,1,8.3903446,1,2,0,0,0,0,0,0,0,0,0,0,21,4,0,0,matched (3),41
1039.0521,5,"Couple household, with children",2367.6189,1,8.2706451,1,2,0,0,0,0,0,0,0,0,0,0,21,4,1,0,matched (3),42
1039.0521,6,Three generation household,3693.3533,1,8.3627968,0,5,0,0,0,0,0,0,0,0,0,0,9,1,1,0,matched (3),43
1039.0521,6,"Couple household, with children",1667.1626,1,8.0745306,1,1,1,0,0,0,0,0,0,0,0,0,15,3,0,0,matched (3),44
1039.0521,7,"Couple household, with children",2437.7295,1,8.1289759,1,2,0,0,0,0,0,0,0,0,0,0,8,1,0,0,matched (3),45
1426.5073,1,"One-person household, 60+ years",2965.7737,1,8.4806976,0,4,1,1,0,0,0,0,0,0,0,0,60,12,1,0,matched (3),46
1426.5073,2,"Couple household, with no children",3409.4941,1,8.2520323,0,5,0,1,0,0,0,0,0,0,0,0,46,9,0,0,matched (3),47
1426.5073,2,"Couple household, with no children",3275.2976,1,8.4993963,0,4,0,1,0,0,0,0,0,0,0,0,42,8,1,0,matched (3),48
1426.5073,3,"Couple household, with children",14639.802,1,8.5820274,0,10,0,1,0,0,0,0,0,0,0,0,28,5,1,0,matched (3),49
1426.5073,3,"Couple household, with no children",9325.4756,1,8.7118921,0,10,0,1,0,0,0,0,0,0,0,0,48,9,1,0,matched (3),50
1426.5073,3,"Couple household, with children",5033.6704,1,8.3881817,0,7,0,1,0,0,0,0,0,0,0,0,54,10,1,0,matched (3),51
1426.5073,4,"Couple household, with children",8047.8726,1,8.4172382,0,9,0,1,0,0,0,0,0,0,0,0,6,1,0,0,matched (3),52
1426.5073,4,"Couple household, with children",3429.97,1,8.1538067,0,5,0,1,0,0,0,0,0,0,0,0,5,1,0,0,matched (3),53
1426.5073,5,"Couple household, with children",4584.8213,1,8.3307333,0,7,0,1,0,0,0,0,0,0,0,0,10,2,0,0,matched (3),54
1426.5073,5,Three generation household,4922.4165,1,8.1862459,0,7,0,1,0,0,0,0,0,0,0,0,64,12,1,0,matched (3),55
1426.5073,6,"Couple household, with children",3527.9763,1,8.0975685,0,5,0,1,0,0,0,0,0,0,0,0,3,0,0,0,matched (3),56
1426.5073,6,"Couple household, with children",3064.1865,1,7.9883013,0,4,0,1,0,0,0,0,0,0,0,0,3,0,0,0,matched (3),57
1426.5073,7,"Couple household, with children",3115.6038,1,7.9162941,0,4,0,1,0,0,0,0,0,0,0,0,12,2,1,0,matched (3),58
