year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,5421.529,5288.63,5167.679,5057.843,4958.288,4868.181,4786.689,4712.978,4646.215,4585.567,4529.651,4477.084,4429.78,4388.006,4349.28,4310.392,4271.433,4226.957,4173.736,4113.156,4050.366,3984.983,3910.627,3824.838,3730.154,3633.068,3534.074,3427.935,3313.279,3193.511,3073.345,2951.762,2837.092,2733.946,2639.145,2545.193,2453.946,2365.094,2277.851,2193.235,2112.217,2033.6,1962.983,1902.93,1850.339,1798.991,1749.461,1700.649,1651.162,1601.002,1551.856,1503.737,1451.573,1393.113,1330.343,1268.873,1209.23,1145.44,1075.626,1003.33,932.804,861.799,803.312,763.801,737.016,709.893,684.616,658.514,628.803,596.743,566.939,539.14,507.598,470.121,429.102,389.227,349.683,312.392,278.824,248.171,218.193,189.384,162.625,138.148,115.862,95.294,76.355,60.11,46.981,36.433,25.836,18.512,14.828,10.601,5.83,3.18,2.605,1.99,1.335,0.64,0.751
2016,5516.834,5394.082,5268.527,5153.145,5047.319,4950.432,4861.723,4780.427,4706.661,4640.099,4579.687,4523.368,4469.966,4421.672,4378.848,4339.045,4298.985,4258.761,4213.332,4159.663,4098.996,4036.117,3970.681,3896.469,3811.055,3716.906,3620.405,3522.063,3416.51,3302.294,3182.867,3063.066,2941.847,2827.484,2724.576,2629.95,2536.138,2444.988,2356.195,2268.98,2184.354,2103.279,2024.56,1953.78,1893.492,1840.603,1788.917,1739.01,1689.773,1639.813,1589.136,1539.453,1490.79,1438.015,1378.855,1315.337,1253.108,1192.659,1128.221,1058.015,985.477,914.674,843.413,784.493,744.261,716.57,688.611,662.563,635.628,604.998,572.014,541.376,512.809,480.798,443.28,402.553,363.072,324.056,287.503,254.896,225.396,196.68,169.207,144.004,121.351,101.054,82.115,65.251,51.418,39.958,30.441,21.368,15.381,12.298,8.773,4.804,2.661,2.032,1.363,0.653,0.767
2017,5616.164,5479.455,5366.854,5248.638,5138.819,5036.999,4942.776,4855.46,4774.359,4700.533,4634.17,4573.991,4517.268,4463.028,4413.742,4369.866,4328.986,4287.752,4246.26,4199.877,4145.757,4085.001,4022.032,3956.54,3882.469,3797.427,3703.809,3607.889,3510.194,3405.222,3291.443,3172.352,3052.91,2932.05,2817.991,2715.315,2620.862,2527.185,2436.128,2347.391,2260.201,2175.562,2094.425,2015.603,1944.656,1884.13,1830.942,1778.917,1728.63,1678.966,1628.53,1577.335,1527.112,1477.903,1424.515,1364.653,1300.385,1237.395,1176.137,1111.049,1040.449,967.666,896.582,825.062,765.707,724.752,696.155,667.36,640.539,612.769,581.22,547.31,515.837,486.5,454.02,416.458,376.021,336.934,298.443,262.628,230.98,202.632,175.177,149.038,125.39,104.561,86.25,68.94,54.151,42.729,32.936,24.451,16.901,12.252,9.77,6.946,3.779,2.068,1.387,0.665,0.784
2018,5706.971,5571.318,5444.358,5339.583,5228.706,5124.451,5026.637,4935.08,4849.158,4768.25,4694.367,4628.202,4568.257,4511.131,4456.054,4405.776,4360.849,4318.891,4276.483,4233.725,4186.387,4131.818,4070.974,4007.913,3942.366,3868.438,3783.768,3690.681,3595.343,3498.297,3393.907,3280.565,3161.811,3042.73,2922.23,2808.475,2706.032,2611.752,2518.212,2427.248,2338.568,2251.403,2166.751,2085.554,2006.629,1935.517,1874.753,1821.265,1768.901,1718.236,1668.145,1617.234,1565.521,1514.76,1465.005,1411.004,1350.441,1285.422,1221.672,1159.606,1093.868,1022.874,949.848,878.483,806.705,746.916,705.238,675.736,646.103,618.51,589.906,557.438,522.602,490.295,460.188,427.239,389.634,349.488,310.794,272.83,237.752,207.063,179.868,153.674,128.869,106.776,87.77,71.447,55.765,43.051,34.04,25.915,18.461,12.435,9.122,7.241,5.118,2.754,1.41,0.677,0.802
2019,5773.163,5646.242,5525.457,5410.665,5312.543,5209,5110.305,5016.492,4927.596,4843.065,4762.348,4688.404,4622.435,4562.721,4505.189,4449.272,4398,4352.02,4308.983,4265.4,4221.373,4173.079,4118.057,4057.122,3993.969,3928.363,3854.573,3770.272,3677.713,3582.953,3486.55,3382.739,3269.829,3151.406,3032.681,2912.536,2799.081,2696.866,2602.755,2509.348,2418.473,2329.847,2242.703,2158.035,2076.774,1997.741,1926.461,1865.457,1811.668,1758.963,1707.916,1657.396,1606.008,1553.775,1502.472,1452.171,1397.555,1336.287,1270.516,1206.003,1143.125,1076.735,1005.344,932.07,860.422,788.384,728.157,685.755,655.345,624.875,596.509,567.069,533.68,497.918,464.774,433.896,400.477,362.827,322.97,284.668,247.228,212.886,183.156,157.111,132.177,108.706,88.167,70.984,56.648,42.593,31.953,25.352,18.894,12.472,7.969,5.993,4.712,3.291,1.73,0.69,0.82
2020,5804.334,5696.506,5590.499,5486.563,5384.95,5285.91,5189.693,5096.551,5006.733,4920.492,4837.345,4756.812,4682.801,4617.023,4557.537,4499.593,4442.832,4390.562,4343.525,4299.406,4254.644,4209.346,4160.091,4104.613,4043.582,3980.33,3914.661,3841.005,3757.066,3665.027,3570.837,3475.072,3371.83,3259.344,3141.244,3022.865,2903.066,2789.901,2687.908,2593.958,2500.676,2409.884,2321.304,2234.175,2149.484,2068.153,1989.007,1917.553,1856.304,1802.209,1749.159,1697.727,1646.774,1594.904,1542.147,1490.3,1439.447,1384.212,1322.235,1255.706,1190.424,1126.73,1059.682,987.89,914.363,842.426,770.121,709.452,666.323,635.003,603.692,574.551,544.273,509.961,473.269,439.287,407.635,373.743,336.046,296.474,258.561,221.643,188.034,159.26,134.364,110.689,88.549,69.562,54.201,41.85,29.423,20.857,16.666,11.875,6.483,3.503,2.864,2.184,1.465,0.705,0.84
2021,5790.647,5770.56,5674.035,5576.032,5477.279,5378.502,5280.018,5182.144,5087.66,4998.113,4912.999,4829.835,4748.603,4673.759,4607.109,4546.735,4487.804,4429.961,4376.883,4329.485,4285.322,4240.502,4195.172,4146.035,4090.845,4030.219,3967.414,3902.247,3829.017,3745.353,3653.489,3559.494,3463.915,3360.843,3248.514,3130.55,3012.274,2892.545,2779.407,2677.387,2583.364,2489.971,2399.022,2310.257,2222.924,2137.998,2056.378,1976.893,1905.032,1843.301,1788.651,1735.011,1682.971,1631.278,1578.492,1524.707,1471.844,1419.983,1363.769,1300.872,1233.489,1167.355,1102.775,1035.111,963.103,889.607,817.7,745.519,684.695,640.934,608.699,576.623,546.833,515.954,481.112,444.019,409.755,377.898,344.317,307.653,269.638,233.35,198.157,166.485,139.847,117.211,95.414,75.698,59.531,46.121,34.976,24.337,17.339,13.83,9.833,5.346,2.932,2.236,1.499,0.721,0.86
2022,5744.1,5710.28,5739.621,5654.347,5564.299,5470.678,5374.689,5276.713,5177.134,5081.261,4991.941,4907.913,4824.692,4742.721,4667.007,4599.454,4538.162,4478.215,4419.262,4365.351,4317.569,4273.339,4228.441,4183.056,4134.013,4079.084,4018.833,3956.443,3891.747,3818.907,3735.478,3643.743,3549.896,3454.458,3351.504,3239.277,3121.393,3003.16,2883.443,2770.276,2668.18,2574.039,2480.488,2389.337,2300.345,2212.766,2127.562,2045.614,1965.75,1893.448,1831.204,1775.973,1721.717,1669.043,1616.586,1562.858,1508.018,1454.115,1401.221,1344.001,1280.153,1211.882,1144.864,1079.366,1011.054,938.795,865.293,793.382,721.291,660.282,615.867,582.7,549.844,519.391,487.896,452.508,414.996,380.433,348.355,315.07,279.42,242.942,208.262,174.776,145.023,120.508,100.121,80.19,62.888,49.532,38.065,28.121,19.264,13.83,11.002,7.796,4.211,2.296,1.539,0.74,0.881
2023,5680.957,5691.1,5679.848,5709.864,5635.829,5553.719,5465.213,5371.992,5274.505,5173.199,5075.917,4986.806,4903.847,4820.551,4737.823,4661.223,4592.752,4530.53,4469.554,4409.479,4354.723,4306.547,4262.241,4217.255,4171.806,4122.846,4068.168,4008.279,3946.291,3882.053,3809.588,3726.376,3634.751,3541.033,3445.716,3342.859,3230.711,3112.881,2994.668,2874.938,2761.718,2659.525,2565.245,2471.518,2380.146,2290.907,2203.064,2117.566,2035.271,1955.011,1882.253,1819.483,1763.66,1708.776,1655.457,1602.224,1547.542,1491.637,1436.681,1382.743,1324.505,1259.692,1190.519,1122.602,1056.174,987.199,914.674,841.151,769.219,697.203,635.996,590.918,556.813,523.17,492.048,459.928,423.987,386.048,351.179,318.874,285.876,251.235,216.287,183.207,151.422,123.583,101.188,83.045,64.977,50.086,39.539,30.015,21.269,14.194,10.323,8.176,5.76,3.078,1.584,0.761,0.904
2024,5624.601,5669.107,5686.743,5680.228,5679.271,5616.491,5542.334,5458.958,5368.52,5271.535,5168.517,5069.84,4980.949,4899.072,4815.713,4732.24,4654.765,4585.385,4522.241,4460.245,4399.055,4343.462,4294.899,4250.523,4205.456,4159.949,4111.08,4056.66,3997.143,3935.566,3871.795,3799.715,3716.733,3625.232,3531.656,3436.473,3333.728,3221.675,3103.916,2985.74,2866.015,2752.758,2650.483,2556.078,2462.187,2370.608,2281.135,2193.04,2107.259,2024.63,1943.986,1870.782,1807.495,1751.087,1695.583,1641.627,1587.625,1531.997,1475.033,1419.032,1364.057,1304.809,1239.041,1168.975,1100.169,1032.818,963.19,890.41,816.876,744.935,673.004,611.608,565.873,530.834,496.408,464.621,431.882,395.393,357.031,321.861,289.333,256.628,223,189.588,158.115,128.036,102.116,81.844,65.949,49.748,37.272,29.536,21.956,14.411,9.119,6.813,5.346,3.723,1.943,0.784,0.928
