year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,2344.981,2318.969,2294.219,2270.693,2248.351,2227.154,2207.061,2188.034,2170.032,2153.018,2136.313,2119.242,2104.95,2094.671,2086.455,2076.619,2065.3,2051.571,2034.399,2013.641,1991.598,1969.506,1937.132,1890.158,1833.817,1777.75,1720.133,1667.093,1622.692,1584.367,1544.88,1504.942,1469.469,1439.949,1414.367,1389.617,1366.793,1340.939,1309.425,1274.662,1241.071,1207.019,1176.989,1153.418,1133.642,1112.912,1092.6,1068.223,1037.204,1001.848,966.898,931.247,896.69,864.548,833.72,802.031,770.212,736.715,700.646,663.011,625.82,588.798,552.515,517.5,483.578,450.316,418.121,386.432,355.032,324.513,295.166,266.308,241.986,224.042,210.383,197.354,186.024,172.652,155.111,135.292,117.15,99.828,84.499,72.123,61.968,52.286,43.356,35.472,28.58,22.622,16.809,12.654,10.326,7.674,4.699,3.008,2.515,1.969,1.37,0.718,1.037
2016,2278.24,2329.106,2310.84,2291.128,2270.359,2248.923,2226.802,2203.976,2182.885,2164.738,2148.696,2132.058,2114.581,2099.822,2089.03,2080.284,2069.909,2058.031,2043.903,2026.584,2005.856,1983.843,1961.801,1929.539,1882.732,1826.597,1770.757,1713.391,1660.56,1616.294,1578.05,1538.645,1498.781,1463.345,1433.815,1408.187,1383.367,1360.445,1334.485,1302.865,1267.988,1234.257,1200.048,1169.809,1145.956,1125.847,1104.777,1084.116,1059.381,1028.003,992.288,956.985,920.993,886.102,853.63,822.489,790.511,758.418,724.734,688.601,650.992,613.842,576.888,540.689,505.758,471.925,438.768,406.684,375.128,343.889,313.543,284.388,255.779,231.561,213.492,199.588,186.371,174.851,161.535,144.43,125.305,107.848,91.241,76.648,64.993,55.55,46.465,38.365,31.413,25.148,19.521,14.365,10.895,8.868,6.566,3.989,2.745,2.151,1.5,0.792,1.164
2017,2178.773,2219.239,2315.915,2305.37,2290.667,2272.629,2252.075,2229.006,2203.422,2180.244,2161.931,2146.843,2130.253,2112.35,2097.108,2085.791,2076.505,2065.58,2053.128,2038.587,2021.101,2000.378,1978.37,1956.354,1924.165,1877.473,1821.479,1765.802,1708.619,1655.937,1611.756,1573.549,1534.18,1494.345,1458.905,1429.332,1403.628,1378.71,1355.663,1329.566,1297.805,1262.774,1228.864,1194.46,1163.977,1139.815,1119.349,1097.917,1076.883,1051.761,1019.988,983.874,948.178,911.804,876.538,843.7,812.211,779.908,747.503,713.594,677.356,639.729,602.578,565.65,529.492,494.605,460.822,427.732,395.722,364.262,333.15,302.942,273.945,245.551,221.409,203.195,189.031,175.61,163.887,150.611,133.923,115.47,98.677,82.765,68.891,57.944,49.2,40.702,33.422,27.393,21.746,16.445,11.941,9.15,7.422,5.466,3.284,2.353,1.644,0.874,1.303
2018,2070.732,2150.032,2209.288,2304.032,2301.208,2291.513,2276.197,2256.514,2232.482,2204.124,2178.844,2160.353,2146.213,2129.661,2111.321,2095.587,2083.737,2073.907,2062.424,2049.391,2034.427,2016.764,1996.036,1974.02,1952.016,1919.883,1873.278,1817.394,1761.849,1704.817,1652.254,1608.132,1569.94,1530.586,1490.757,1455.292,1425.659,1399.864,1374.834,1351.65,1325.401,1293.481,1258.275,1224.167,1189.548,1158.802,1134.317,1113.484,1091.675,1070.256,1044.734,1012.547,976.013,939.902,903.126,867.465,834.241,802.387,769.739,737.004,702.85,666.486,628.82,591.647,554.724,518.587,483.723,449.971,416.93,384.975,353.595,322.59,292.503,263.649,235.453,211.375,193.004,178.571,164.939,153.006,139.764,123.483,105.691,89.553,74.329,61.166,50.92,42.872,34.956,28.493,23.385,18.354,13.375,9.52,7.409,5.978,4.369,2.581,1.804,0.964,1.454
2019,1988.27,2092.497,2172.561,2230.81,2291.33,2296.236,2291.557,2278.973,2260.168,2235.182,2204.056,2176.68,2158.018,2144.83,2128.323,2109.552,2093.331,2080.952,2070.579,2058.543,2044.933,2029.551,2011.717,1990.99,1968.974,1946.991,1914.924,1868.423,1812.669,1757.275,1700.414,1647.988,1603.941,1565.778,1526.452,1486.642,1451.166,1421.483,1395.606,1370.472,1347.159,1320.768,1288.699,1253.33,1219.036,1184.213,1153.216,1128.416,1107.222,1085.045,1063.248,1037.333,1004.743,967.802,931.289,894.122,858.078,824.479,792.27,759.289,726.234,691.847,655.371,617.679,580.496,543.591,507.488,472.66,438.95,405.969,374.082,342.791,311.905,281.95,253.248,225.261,201.254,182.733,168.036,154.198,142.059,128.855,112.987,95.864,80.388,65.857,53.411,43.871,36.521,29.192,23.548,19.364,14.951,10.297,7.094,5.663,4.531,3.269,1.875,1.062,1.619
2020,1955.295,2061.08,2144.01,2206.199,2249.757,2276.798,2289.432,2289.772,2279.93,2262.018,2236.097,2202.228,2172.778,2153.961,2141.736,2125.286,2106.099,2089.404,2076.506,2065.599,2053.019,2038.842,2023.054,2005.064,1984.354,1962.356,1940.412,1908.437,1862.077,1806.497,1751.298,1694.654,1642.407,1598.47,1560.366,1521.1,1481.342,1445.881,1416.173,1390.234,1365.017,1341.593,1315.08,1282.888,1247.385,1212.931,1177.934,1146.71,1121.614,1100.076,1077.548,1055.39,1029.105,996.137,958.818,921.932,884.404,848.005,814.059,781.52,748.233,714.885,680.292,643.732,606.044,568.881,532.023,495.983,461.219,427.579,394.685,362.889,331.713,300.971,271.172,242.645,214.89,190.973,172.317,157.367,143.334,130.999,117.842,102.401,85.96,71.158,57.332,45.613,36.787,30.142,23.405,18.584,15.328,11.537,7.211,4.661,3.912,3.08,2.166,1.168,1.797
2021,1989.027,1980.193,2067.585,2139.198,2195.943,2238.731,2269.694,2290.966,2297.349,2287.311,2265.426,2237.888,2203.556,2173.592,2154.23,2141.452,2124.433,2104.652,2087.519,2074.426,2063.49,2050.877,2036.688,2020.92,2002.967,1982.307,1960.379,1938.524,1906.606,1860.245,1804.62,1749.374,1692.671,1640.348,1596.317,1558.1,1518.698,1478.783,1443.134,1413.198,1386.999,1361.498,1337.761,1310.919,1278.385,1242.521,1207.688,1172.305,1140.629,1114.987,1092.845,1069.72,1046.963,1020.117,986.657,948.898,911.58,873.635,836.868,802.614,769.816,736.293,702.735,667.962,631.252,593.438,556.183,519.276,483.166,448.283,414.511,381.523,349.651,318.511,287.965,258.475,230.291,202.949,179.386,160.957,146.185,132.388,120.292,107.607,92.986,77.588,63.532,50.787,40.542,32.511,26.124,20.129,16.056,13.208,9.903,6.143,4.272,3.372,2.377,1.287,1.995
2022,2070.382,2098.63,2001.615,2070.426,2130.574,2181.764,2223.704,2258.543,2288.431,2300.856,2290.637,2264.812,2235.702,2200.968,2170.543,2150.67,2137.36,2119.803,2099.461,2081.919,2068.653,2057.708,2045.086,2030.909,2015.189,1997.305,1976.731,1954.913,1933.187,1901.383,1855.102,1799.532,1744.337,1687.675,1635.368,1591.322,1553.06,1513.592,1473.591,1437.816,1407.706,1381.293,1355.552,1331.545,1304.421,1271.601,1235.439,1200.288,1164.583,1132.51,1106.365,1083.657,1059.975,1036.659,1009.3,975.407,937.274,899.59,861.294,824.222,789.721,756.722,723.023,689.314,654.423,617.627,579.755,542.473,505.584,469.468,434.528,400.683,367.66,335.768,304.718,274.424,245.297,217.506,190.626,167.459,149.292,134.722,121.188,109.352,97.163,83.389,69.062,55.779,44.139,35.39,28.17,22.052,16.812,13.494,11.06,8.25,5.062,3.68,2.601,1.414,2.204
2023,2175.042,2142.967,2125.048,2021.132,2071.315,2119.951,2165.545,2206.598,2245.276,2283.742,2302.192,2291.804,2262.067,2231.414,2196.31,2165.453,2145.087,2131.259,2113.18,2092.298,2074.364,2060.939,2049.994,2037.374,2023.224,2007.566,1989.768,1969.299,1947.612,1926.034,1894.373,1848.217,1792.754,1737.662,1681.095,1628.853,1584.833,1546.562,1507.066,1467.017,1431.149,1400.893,1374.291,1348.335,1324.081,1296.7,1263.626,1227.201,1191.764,1155.771,1123.331,1096.71,1073.458,1049.242,1025.389,997.543,963.248,924.778,886.764,848.153,810.813,776.096,742.928,709.085,675.257,640.281,603.433,565.539,528.266,491.428,455.34,420.376,386.49,353.463,321.581,290.652,260.638,231.899,204.527,178.135,155.386,137.496,123.144,109.884,98.319,86.637,73.723,60.48,47.98,37.457,30.209,23.806,17.964,13.482,10.922,8.904,6.589,3.977,2.832,1.546,2.427
2024,2267.888,2185.581,2129.745,2097.005,2041.04,2072.636,2109.791,2149.806,2189.983,2232.501,2279.54,2304.008,2293.449,2259.799,2227.6,2192.12,2160.825,2139.963,2125.614,2107.011,2085.585,2067.257,2053.668,2042.723,2030.102,2015.974,2000.376,1982.66,1962.292,1940.731,1919.297,1887.773,1841.73,1786.363,1731.362,1674.878,1622.69,1578.687,1540.399,1500.866,1460.76,1424.793,1394.385,1367.588,1341.412,1316.907,1289.263,1255.929,1219.233,1183.505,1147.215,1114.404,1087.301,1063.5,1038.747,1014.352,986.015,951.311,912.497,874.144,835.212,797.595,762.657,729.313,695.318,661.365,626.296,589.39,551.465,514.193,477.399,441.331,406.336,372.402,339.365,307.486,276.669,246.929,218.573,191.614,165.703,143.365,125.75,111.611,98.621,87.326,76.146,64.088,51.925,40.205,30.794,25.043,19.455,13.886,10.161,8.357,6.754,4.934,2.895,1.681,2.669
