year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,1383.153,1366.012,1352.496,1342.243,1334.892,1330.082,1327.451,1326.636,1327.278,1329.014,1331.339,1333.749,1336.599,1339.8149,1342.604,1345.396,1349.48,1346.239,1331.864,1310.8051,1290.739,1269.434,1255.0179,1252.088,1256.613,1259.399,1261.609,1264.304,1266.869,1268.776,1270.369,1271.885,1268.651,1258.465,1243.224,1227.157,1209.585,1190.5389,1170.514,1149.4091,1126.948,1103.568,1078.619,1051.876,1024.021,995.82703,966.98401,939.87799,915.72699,893.50098,870.80499,847.94702,825.30701,802.77899,780.19397,757.51398,734.77698,711.008,685.72998,659.30103,633.01801,607.16803,579.45502,549.04303,517.24701,485.995,454.63101,426.57599,403.64001,384.24301,364.91199,346.24899,327.97601,309.57599,291.26501,273.62601,256.36499,239.61099,223.42799,207.52699,192.045,177.54401,160.748,140.229,117.758,96.420998,75.466003,57.764,45.014,35.896999,25.653999,18.139,14.527,10.384,5.7080002,3.118,2.5450001,1.944,1.3150001,.65799999,.875
2016,1372.298,1381.168,1368.511,1358.017,1349.553,1342.988,1337.959,1334.103,1332.441,1333.301,1335.861,1338.494,1340.959,1343.674,1346.4969,1348.735,1350.9709,1354.447,1350.772,1336.262,1315.262,1295.219,1273.947,1259.541,1256.5601,1260.9969,1263.722,1265.885,1268.532,1271.0439,1272.896,1274.433,1275.892,1272.6,1262.355,1247.052,1230.921,1213.281,1194.165,1174.067,1152.885,1130.342,1106.873,1081.835,1055.002,1027.054,998.72601,969.67499,942.44598,918.31897,896.16699,873.50299,850.72699,827.73401,804.19,780.185,756.13501,731.95001,707.10101,681.362,654.87299,628.44598,602.45697,574.54901,543.80298,511.57901,479.94101,448.22101,419.72299,396.22,376.173,356.211,336.931,318.02701,298.98099,280.034,261.82901,244.101,226.896,210.258,193.966,178.19501,163.42999,146.868,127.3,106.254,85.808998,66.438004,51.132999,39.589001,30.749001,21.698,15.479,12.366,8.8079996,4.803,2.842,2.171,1.465,.72600001,.93599999
2017,1348.325,1352.063,1379.783,1371.615,1364.146,1357.472,1351.692,1346.441,1341.356,1338.843,1339.923,1343.309,1346.252,1348.774,1351.355,1353.786,1355.474,1357.152,1360.019,1355.907,1341.256,1320.306,1300.278,1279.03,1264.6281,1261.594,1265.944,1268.609,1270.7271,1273.326,1275.787,1277.585,1279.066,1280.469,1277.1169,1266.808,1251.436,1235.234,1217.519,1198.324,1178.1429,1156.875,1134.24,1110.673,1085.533,1058.599,1030.5439,1002.07,972.79797,945.43402,921.32098,899.23297,876.58899,853.88599,830.52899,805.95697,780.51703,755.08398,729.43701,703.49298,677.28302,650.72198,624.13898,597.99902,569.88202,538.78802,506.121,474.08401,441.992,413.03699,388.95499,368.25,347.64401,327.73801,308.19299,288.48999,268.89801,250.118,231.914,214.25,197.147,180.45799,164.39,149.353,133.019,114.395,94.768997,75.208,57.417,44.508999,34.167999,25.601999,17.742001,12.82,10.206,7.2319999,3.898,2.4660001,1.661,.81,.99800003
2018,1316.2791,1333.8051,1347.214,1377.799,1374.136,1369.702,1364.825,1359.834,1354.363,1348.049,1344.684,1345.984,1350.197,1353.449,1356.026,1358.472,1360.51,1361.644,1362.7629,1365.0179,1360.4709,1345.684,1324.793,1304.788,1283.573,1269.181,1266.0959,1270.358,1272.9611,1275.032,1277.582,1279.991,1281.733,1283.1591,1284.505,1281.094,1270.725,1255.291,1239.024,1221.2419,1201.976,1181.722,1160.376,1137.658,1114.002,1088.772,1061.7469,1033.599,1004.99,975.50897,948.021,923.93201,901.91901,879.30499,856.685,832.97302,807.38,780.51398,753.70502,726.604,699.57397,672.901,646.28003,619.55103,593.27197,564.95801,533.52802,500.431,468.00699,435.55701,406.15701,381.505,360.147,338.90701,318.38199,298.20099,277.85001,257.61899,238.271,219.597,201.481,183.92,166.838,150.48,135.17799,119.079,101.409,83.214996,64.550003,48.349998,37.848999,28.719999,20.431999,13.769,10.148,8.0349998,5.6490002,2.9890001,1.898,.91100001,1.068
2019,1283.791,1312.8101,1335.401,1352.244,1373.626,1374.474,1373.084,1370.012,1365.819,1360.137,1352.6021,1348.391,1349.908,1354.942,1358.499,1361.126,1363.433,1365.074,1365.652,1366.2111,1367.85,1362.874,1347.975,1327.177,1307.2271,1286.078,1271.72,1268.587,1272.754,1275.292,1277.313,1279.8101,1282.163,1283.847,1285.214,1286.501,1283.037,1272.624,1257.153,1240.848,1223.026,1203.72,1183.424,1162.0341,1139.27,1115.562,1090.282,1063.209,1035.0129,1006.313,976.67102,949.10303,925.07501,903.17297,880.625,858.12402,834.09497,807.521,779.271,751.12799,722.61499,694.54102,667.44897,640.80902,613.97699,587.59998,559.13501,527.41901,493.944,461.185,428.427,398.629,373.44501,351.46899,329.62701,308.51501,287.73199,266.76401,245.927,226.03999,206.927,188.386,170.394,152.948,136.325,120.781,104.943,88.257004,71.524002,53.784,39.202,31.125999,23.223,15.227,9.7720003,7.46,5.8509998,4.0560002,2.075,1.028,1.158
2020,1256.655,1292.278,1320.272,1341.424,1356.52,1366.3459,1371.689,1373.335,1372.0699,1368.681,1362.802,1354.068,1349.022,1350.7531,1356.593,1360.4449,1363.118,1365.281,1366.522,1366.546,1366.5439,1367.566,1362.174,1347.197,1326.538,1306.689,1285.6541,1271.361,1268.189,1272.252,1274.719,1276.6851,1279.124,1281.415,1283.037,1284.344,1285.568,1282.059,1271.627,1256.1541,1239.8459,1222.025,1202.724,1182.432,1161.048,1138.2889,1114.584,1089.3101,1062.252,1034.071,1005.347,975.60999,948.02502,924.11401,902.37,879.94098,857.60901,833.31799,805.828,776.26202,746.85303,716.99799,687.948,660.49902,633.901,607.02802,580.61298,552.06097,520.13202,486.358,453.33801,420.34799,390.22101,364.565,342.02301,319.63101,297.98199,276.64499,255.10899,233.715,213.338,193.83,174.908,156.528,138.758,121.909,106.16,90.617996,74.948997,59.709999,42.932999,29.996,24.356001,17.691999,10.005,5.7670002,4.763,3.661,2.46,1.16,1.277
2021,1247.181,1266.967,1297.14,1320.996,1339.1591,1352.251,1360.988,1366.089,1367.704,1366.2679,1362.686,1357.08,1349.007,1344.417,1346.156,1351.745,1355.496,1358.113,1360.379,1361.9709,1362.502,1362.975,1364.474,1359.489,1344.793,1324.321,1304.6639,1283.818,1269.632,1266.46,1270.446,1272.8199,1274.661,1276.9919,1279.224,1280.813,1282.061,1283.212,1279.6169,1269.0811,1253.491,1237.059,1219.104,1199.662,1179.226,1157.691,1134.769,1110.889,1085.429,1058.174,1029.783,1000.852,970.92902,943.08502,918.80701,896.63898,873.79602,851.01599,826.45801,798.98102,769.599,740.33197,710.61798,681.59601,653.98499,627.08502,599.914,573.18701,544.23499,511.79599,477.43301,443.823,410.25601,379.49301,353.12399,329.84698,306.772,284.48001,262.66501,240.888,219.446,199.09801,179.718,161.065,143.104,125.895,109.362,94.563004,80.561996,66.016998,51.375999,36.470001,25.756001,20.854,15.087,8.4549999,5.395,4.152,2.793,1.3150001,1.439
2022,1242.8831,1275.392,1274.194,1298.823,1318.469,1333.588,1344.637,1352.26,1357.104,1358.684,1357.08,1353.314,1347.996,1340.6071,1336.484,1338.2271,1343.55,1347.192,1349.746,1352.109,1354.05,1355.088,1356.036,1358.011,1353.447,1339.068,1318.834,1299.418,1278.814,1264.77,1261.605,1265.506,1267.7791,1269.49,1271.708,1273.875,1275.427,1276.613,1277.688,1274.015,1263.401,1247.7321,1231.215,1213.17,1193.635,1173.105,1151.472,1128.443,1104.4449,1078.861,1051.475,1022.943,993.87701,963.84003,935.80603,911.21802,888.67999,865.47803,842.30603,817.539,790.14301,761.01898,731.966,702.46698,673.54498,645.83698,618.70203,591.29797,564.32501,535.04199,502.17099,467.302,433.18201,399.11899,367.79401,340.77499,316.81699,293.11401,270.23099,247.991,226.02499,204.58701,184.319,165.116,146.77901,129.283,112.678,96.502998,82.694,70.273003,56.891998,42.888,29.895,21.438999,17.289,12.435,6.8790002,4.6719999,3.1470001,1.4859999,1.635
2023,1241.79,1267.097,1288.0389,1279.384,1298.436,1313.843,1325.895,1334.885,1341.3831,1345.963,1347.506,1345.7371,1341.793,1336.771,1330.076,1326.427,1328.171,1333.22,1336.746,1339.234,1341.691,1343.978,1345.52,1346.942,1349.389,1345.252,1331.213,1311.249,1292.106,1271.775,1257.896,1254.744,1258.552,1260.722,1262.3,1264.402,1266.5,1268.0129,1269.135,1270.131,1266.386,1255.712,1239.989,1223.4139,1205.306,1185.71,1165.118,1143.422,1120.323,1096.245,1070.578,1043.105,1014.479,985.32202,955.21997,927.03998,902.18298,879.31097,855.78699,832.25897,807.323,780.052,751.23102,722.43799,693.20203,664.42499,636.66699,609.33801,581.745,554.57001,525.00299,491.75201,456.43301,421.858,387.353,355.51599,327.89099,303.29199,278.99799,255.561,232.931,210.812,189.41299,169.256,150.25999,132.269,115.264,99.290001,83.499001,70.700996,59.879002,47.682999,34.337002,23.278,17.09,13.698,9.7659998,5.2930002,3.5309999,1.675,1.865
2024,1240.6071,1258.454,1273.942,1287.217,1284.192,1297.673,1308.848,1317.839,1324.771,1330.146,1334.4611,1335.9659,1334.032,1329.912,1325.187,1319.187,1316.0129,1317.756,1322.531,1325.941,1328.361,1330.91,1333.541,1335.587,1337.481,1340.3979,1336.689,1322.994,1303.3051,1284.439,1264.386,1250.676,1247.536,1251.252,1253.318,1254.7629,1256.7469,1258.777,1260.25,1261.308,1262.226,1258.41,1247.679,1231.906,1215.278,1197.114,1177.462,1156.8149,1135.062,1111.899,1087.75,1062.006,1034.455,1005.742,976.50403,946.34497,918.02899,892.909,869.71002,845.87299,821.99701,796.89899,769.76099,741.25201,712.72601,683.75897,655.13702,627.33502,599.82202,572.04901,544.67902,514.83801,481.21799,445.45999,410.44101,375.50601,343.168,314.94501,289.71301,264.83701,240.855,217.843,195.578,174.22301,154.18401,135.39999,117.758,101.248,85.907997,70.503998,58.719002,49.493999,38.483002,25.797001,16.67,12.748,10.113,7.0999999,3.71,1.8890001,2.1300001
