weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,age,age5yrs,sex,pension,rural,disab,hhid
4760,2,Other household types,27722920,1.2759138,8.7189732,0,10,1,0,0,0,0,0,0,0,0,63,12,1,1,0,0,1
4760,5,Three generation household,15684930,1.2782276,8.870471,0,10,0,0,0,0,0,0,0,0,0,37,7,0,0,0,0,2
4760,2,"Couple household, with no children",7808861.5,1.2816154,8.1803808,0,10,0,0,0,0,0,0,0,0,0,61,12,0,1,0,0,3
4760,3,Skipped generation,5368985.5,1.2579436,8.3918152,0,10,0,0,0,0,0,0,0,0,0,62,12,0,1,0,0,4
4760,5,Three generation household,8904251,1.2521333,8.6004801,0,10,0,0,0,0,0,0,0,0,0,62,12,0,1,0,1,5
4760,4,"Couple household, with children",12906464,1.2569456,8.5738478,0,10,0,0,0,0,0,0,0,0,0,45,9,0,0,0,0,6
7541,2,"Couple household, with no children",6951148.5,1.2958372,8.3238325,0,10,0,0,0,0,0,0,0,0,0,80,16,0,1,0,0,7
7541,4,Three generation household,5372575.5,1.2976469,8.0209351,0,10,0,0,0,0,0,0,0,0,0,62,12,0,1,0,0,8
7541,6,Three generation household,4165159.3,1.2954021,7.8348765,0,9,0,0,0,0,0,0,0,0,0,80,16,0,1,0,1,9
3727,2,"Couple household, with no children",4863649,1.2849754,8.1975336,0,9,1,0,0,0,0,0,0,0,0,77,15,1,1,0,0,10
3727,5,Three generation household,4078230.8,1.2856148,7.8680124,0,9,1,0,0,0,0,0,0,0,0,69,13,1,0,0,0,11
3727,4,Three generation household,5045787.5,1.2849915,8.2426538,0,9,0,0,0,0,0,0,0,0,0,64,12,0,0,0,0,12
3821,5,Three generation household,3996322.3,1.2828366,8.2329216,0,9,1,0,0,0,0,0,0,0,0,57,11,1,0,0,0,13
3821,5,Three generation household,3418370.8,1.2833508,7.9444995,0,8,1,0,0,0,0,0,0,0,0,64,12,1,1,0,0,14
3821,4,"Couple household, with no children",1719618.8,1.2835377,7.3663015,0,3,0,0,0,0,0,0,0,0,0,53,10,0,0,0,0,15
4760,6,Three generation household,5070112,1.2637918,7.9469891,0,9,0,0,0,0,0,0,0,0,0,73,14,0,1,0,0,16
4760,3,"Couple household, with children",3737211.3,1.2650076,7.4745278,0,8,0,0,0,0,0,0,0,0,0,31,6,0,0,0,0,17
4760,4,"Couple household, with children",11919556,1.2562379,8.6386528,0,10,1,0,0,0,0,0,0,0,0,32,6,1,0,0,0,18
4961,1,"One-person household, 60+ years",9847251,1.2946237,7.8527627,0,10,1,0,0,0,0,0,0,0,0,78,15,1,1,0,0,19
4961,5,Three generation household,3255903.5,1.2984438,8.0857944,0,8,0,0,0,0,0,0,0,0,0,60,12,0,0,0,0,20
4961,3,"Couple household, with no children",7983691,1.2961235,8.3988543,0,10,0,0,0,0,0,0,0,0,0,64,12,0,0,0,1,21
4760,3,Other household types,2771265.8,1.2854412,8.1772509,0,7,1,0,0,0,0,0,0,0,0,60,12,1,0,0,0,22
4760,3,"Couple household, with children",4350030.5,1.2842935,8.1241837,0,9,0,0,0,0,0,0,0,0,0,53,10,0,0,0,0,23
4760,4,"Couple household, with children",3039373.3,1.2858584,7.8947778,0,7,0,0,0,0,0,0,0,0,0,39,7,0,0,0,0,24
7890,6,"Couple household, with children",3799988.3,1.2791452,7.9247475,0,8,0,0,0,0,0,0,0,0,0,55,11,0,0,0,0,25
7890,4,"Couple household, with children",5292039.5,1.2846752,8.0798845,0,10,0,0,0,0,0,0,0,0,0,35,7,0,0,0,0,26
7890,3,"Couple household, with children",4914461,1.2826699,8.0834007,0,9,0,0,0,0,0,0,0,0,0,35,7,0,0,0,0,27
4808,5,Three generation household,3426577.3,1.2624207,7.8898711,0,8,1,0,0,0,0,0,0,0,0,76,15,1,1,0,0,28
4808,2,"Couple household, with no children",4351487,1.265206,8.2219868,0,9,0,0,0,0,0,0,0,0,0,64,12,0,1,0,0,29
4808,3,"Couple household, with no children",3158279,1.2637141,8.008215,0,7,0,0,0,0,0,0,0,0,0,56,11,0,0,0,0,30
4298,4,"Couple household, with no children",6324428,1.2952509,8.2838955,0,10,0,0,0,0,0,0,0,0,0,54,10,0,0,0,0,31
4298,5,"Couple household, with children",5162426.5,1.2954619,8.3539019,0,9,1,0,0,0,0,0,0,0,0,45,9,1,0,0,1,32
4298,5,Three generation household,11736028,1.2927042,9.0207539,0,10,0,0,0,0,0,0,0,0,0,48,9,0,0,0,0,33
4165,5,Three generation household,2594633,1.2862803,7.9254971,0,6,0,0,0,0,0,0,0,0,0,62,12,0,0,0,0,34
4165,2,Other household types,2367791.5,1.2882037,7.9393754,0,6,1,0,0,0,0,0,0,0,0,66,13,1,1,0,0,35
4165,2,Other household types,3298884,1.2841612,8.3486919,0,8,1,0,0,0,0,0,0,0,0,53,10,1,0,0,0,36
4760,2,"Couple household, with no children",3961819.3,1.2810638,8.0313873,0,9,1,0,0,0,0,0,0,0,0,55,11,1,0,0,1,37
4760,1,"One-person household, 60+ years",12703516,1.2792952,8.7962389,0,10,1,0,0,0,0,0,0,0,0,66,13,1,1,0,0,38
4760,4,"Couple household, with children",18346398,1.2803801,9.0639639,0,10,1,0,0,0,0,0,0,0,0,40,8,1,0,0,0,39
4760,4,Other household types,2562933.8,1.263659,8.3230667,0,6,1,0,0,0,0,0,0,0,0,59,11,1,0,0,1,40
4760,6,Three generation household,2487155.5,1.2652129,8.0093775,0,6,0,0,0,0,0,0,0,0,0,61,12,0,1,0,0,41
4760,5,Three generation household,1814253.9,1.2616901,7.7885823,0,4,0,0,0,0,0,0,0,0,0,47,9,0,0,0,0,42
10056,1,"One-person household, 60+ years",8010962.5,1.2949644,8.4215221,0,10,1,0,0,0,0,0,0,0,0,71,14,1,0,0,0,43
10056,6,"Couple household, with children",2567573.5,1.2967806,7.9074888,0,6,0,0,0,0,0,0,0,0,0,56,11,0,0,0,0,44
10056,3,"Couple household, with no children",6763174,1.293107,8.6931581,0,10,0,0,0,0,0,0,0,0,0,66,13,0,1,0,1,45
4808,5,"Couple household, with no children",2006964.5,1.2824886,7.6532564,0,4,1,0,0,0,0,0,0,0,0,73,14,1,0,0,1,46
4808,3,"Couple household, with no children",2225061.8,1.2870014,7.9979992,0,5,0,0,0,0,0,0,0,0,0,53,10,0,0,0,0,47
4808,4,"Couple household, with no children",3491007,1.2802249,7.3123178,0,8,0,0,0,0,0,0,0,0,0,53,10,0,0,0,0,48
6732,1,"One-person household, 18-59 years",12132521,1.2808936,8.5919247,0,10,0,0,0,0,0,0,0,0,0,56,11,0,0,0,0,49
6732,5,Three generation household,7182975,1.2829714,8.4208107,0,10,1,0,0,0,0,0,0,0,0,63,12,1,1,0,0,50
6732,3,"Couple household, with no children",3278605.8,1.2831883,8.1644173,0,8,0,0,0,0,0,0,0,0,0,62,12,0,0,0,0,51
4760,4,"Couple household, with children",5749624.5,1.25257,8.2109222,0,10,0,0,0,0,0,0,0,0,0,48,9,0,0,0,1,52
4760,4,"Couple household, with children",3193990,1.2548715,8.2895536,0,7,0,0,0,0,0,0,0,0,0,46,9,0,0,0,0,53
4760,6,"Couple household, with children",5350600,1.2522109,8.3762798,0,10,0,0,0,0,0,0,0,0,0,53,10,0,0,0,0,54
2911,4,"Couple household, with children",4114900,1.2976115,8.1611109,0,9,0,0,0,0,0,0,0,0,0,50,10,0,0,0,0,55
2911,4,"Couple household, with no children",3976710.3,1.298291,8.1461916,0,9,0,0,0,0,0,0,0,0,0,53,10,0,0,0,0,56
2911,5,Three generation household,5057114,1.2971116,8.1674347,0,9,0,0,0,0,0,0,0,0,0,68,13,0,1,0,0,57
2962,2,"Couple household, with no children",7139331.5,1.2854795,8.6114788,0,10,1,0,0,0,0,0,0,0,0,58,11,1,1,0,0,58
2962,2,"Couple household, with no children",15843599,1.2797766,8.9536438,0,10,1,0,0,0,0,0,0,0,0,53,10,1,0,0,0,59
2962,4,"Couple household, with children",4225556,1.2834405,8.3606491,0,9,1,0,0,0,0,0,0,0,0,46,9,1,0,0,0,60
7032,2,"Couple household, with no children",14812640,1.2784038,9.2416344,0,10,0,0,0,0,0,0,0,0,0,67,13,0,0,0,0,61
7032,7,Three generation household,4257966.5,1.283012,7.9965138,0,9,1,0,0,0,0,0,0,0,0,62,12,1,1,0,0,62
7032,3,Three generation household,5861076,1.2827165,8.3172159,0,10,0,0,0,0,0,0,0,0,0,60,12,0,1,0,0,63
4760,3,Other household types,5937867,1.2618781,8.1137352,0,10,1,0,0,0,0,0,0,0,0,78,15,1,1,0,0,64
4760,6,"Couple household, with children",5328155.5,1.2588,8.0389862,0,10,0,0,0,0,0,0,0,0,0,53,10,0,1,0,0,65
4760,3,"Couple household, with no children",10520429,1.2540791,8.6893425,0,10,0,0,0,0,0,0,0,0,0,73,14,0,1,0,0,66
4382,2,"Couple household, with no children",5514502.5,1.2938797,8.397583,0,10,1,0,0,0,0,0,0,0,0,64,12,1,1,0,0,67
4382,6,Three generation household,4245529,1.2973509,8.0578756,0,9,0,0,0,0,0,0,0,0,0,83,16,0,1,0,0,68
4382,4,"Couple household, with no children",8964269,1.2936652,8.703392,0,10,0,0,0,0,0,0,0,0,0,60,12,0,0,0,0,69
4760,6,Three generation household,2668143.3,1.2891737,7.5937676,0,6,0,0,0,0,0,0,0,0,0,76,15,0,1,0,0,70
4760,2,"Couple household, with no children",7029293,1.2823288,8.7111902,0,10,1,0,0,0,0,0,0,0,0,56,11,1,1,0,0,71
4760,1,"One-person household, 60+ years",9446830,1.2802334,8.0898314,0,10,1,1,345663,0,0,0,0,0,0,86,16,1,0,0,0,72
6042,6,"Couple household, with children",9218658,1.2784035,8.7496071,0,10,0,0,0,0,0,0,0,0,0,59,11,0,1,0,0,73
6042,2,"Couple household, with no children",8362585,1.2795616,8.7883549,0,10,0,0,0,0,0,0,0,0,0,66,13,0,1,0,0,74
6042,5,Three generation household,4955803,1.2828367,8.2654257,0,9,0,0,0,0,0,0,0,0,0,74,14,0,1,0,1,75
4760,6,Three generation household,4517683,1.2580881,8.0846348,0,9,1,0,0,0,0,0,0,0,0,60,12,1,0,0,0,76
4760,6,Three generation household,4174196.8,1.2598439,8.0169706,0,9,1,0,0,0,0,0,0,0,0,56,11,1,0,0,0,77
4760,4,Three generation household,5293455.5,1.258315,8.3987741,0,10,1,0,0,0,0,0,0,0,0,61,12,1,0,0,0,78
4941,5,Three generation household,4016846,1.2972841,8.0029221,0,9,0,0,0,0,0,0,0,0,0,61,12,0,0,0,0,79
4941,5,Three generation household,3228584,1.2967697,7.9546342,0,8,0,0,0,0,0,0,0,0,0,62,12,0,0,0,0,80
4941,5,Three generation household,3914550,1.2986697,8.0270529,0,9,0,0,0,0,0,0,0,0,0,50,10,0,0,0,1,81
5241,7,"Couple household, with children",2786111.3,1.2878963,7.7552538,0,7,0,0,0,0,0,0,0,0,0,55,11,0,0,0,0,82
5241,3,"Couple household, with no children",4569452,1.2863078,8.4164333,0,9,0,0,0,0,0,0,0,0,0,75,15,0,1,0,0,83
5241,6,"Couple household, with children",4610864,1.2860953,7.8466854,0,9,0,0,0,0,0,0,0,0,0,58,11,0,0,0,0,84
5842,5,"Couple household, with children",8268262.5,1.278944,8.7675953,0,10,0,0,0,0,0,0,0,0,0,41,8,0,0,0,0,85
5842,1,"One-person household, 60+ years",10353741,1.2776611,8.527606,0,10,0,0,0,0,0,0,0,0,0,76,15,0,1,0,1,86
5842,2,"Couple household, with no children",20619702,1.276548,9.5716505,0,10,1,0,0,0,0,0,0,0,0,56,11,1,1,0,0,87
4760,2,"Couple household, with no children",9565788,1.2510144,8.7249956,0,10,0,0,0,0,0,0,0,0,0,70,14,0,1,0,0,88
4760,4,"Couple household, with children",3244906.3,1.2543768,8.0697689,0,8,0,0,0,0,0,0,0,0,0,55,11,0,0,0,0,89
4760,4,"Couple household, with children",12476017,1.2487657,8.937851,0,10,0,0,0,0,0,0,0,0,0,43,8,0,0,0,0,90
6222,3,"Couple household, with no children",4490094,1.2992853,8.3994989,0,9,1,0,0,0,0,0,0,0,0,54,10,1,1,0,0,91
6222,2,"Couple household, with no children",3046618.5,1.3001127,7.9432416,0,7,1,0,0,0,0,0,0,0,0,68,13,1,1,0,0,92
6222,4,Other household types,5318754,1.2967389,8.5072556,0,10,0,0,0,0,0,0,0,0,0,85,16,0,1,0,0,93
4760,3,"Couple household, with no children",3047576.5,1.2870021,8.2274523,0,7,0,0,0,0,0,0,0,0,0,75,15,0,1,0,0,94
4760,5,Three generation household,3588337.8,1.2864028,7.9981809,0,8,1,0,0,0,0,0,0,0,0,84,16,1,0,0,0,95
4760,7,Three generation household,2350642.8,1.2897995,7.604877,0,6,0,0,0,0,0,0,0,0,0,73,14,0,1,0,0,96
3400,3,Skipped generation,1026100,1.2862132,6.4102836,0,1,0,0,0,0,0,0,0,0,0,65,13,0,1,0,0,97
3400,2,"Couple household, with no children",2098676.5,1.2880166,7.9787936,0,5,0,0,0,0,0,0,0,0,0,75,15,0,1,0,1,98
3400,2,"Couple household, with no children",3546979.5,1.285562,8.114152,0,8,0,0,0,0,0,0,0,0,0,68,13,0,1,0,0,99
4760,4,"Couple household, with children",2251701,1.2624037,7.8653789,0,5,1,0,0,0,0,0,0,0,0,55,11,1,1,0,0,100
4760,3,"Couple household, with no children",5385733,1.2550974,8.2383118,0,10,0,0,0,0,0,0,0,0,0,53,10,0,0,0,0,101
4760,7,Three generation household,3102588.8,1.2583383,7.7329936,0,7,0,0,0,0,0,0,0,0,0,62,12,0,0,0,1,102
8141,7,Three generation household,3724419,1.2963402,7.8883166,0,8,0,0,0,0,0,0,0,0,0,63,12,0,0,0,0,103
8141,5,Three generation household,2320178.8,1.2973516,7.7095885,0,5,1,0,0,0,0,0,0,0,0,83,16,1,0,0,1,104
