country,def,econ,educ,envir,gen,health,house,safety,culture,socprot,income_t,corporate_t,tax_burden
Armenia,4.804458,1.7036956,1.9688798,0.0885514,4.8724518,1.511381,0.2473362,2.1871997,0.5108563,6.6257598,22,18,22.2
Bangladesh,0.8493955,1.6237955,1.5804666,0.0117453,1.7978996,0.5171659,0.6813508,0.7943628,0.0928832,0,25,32.5,8.8
Bhutan,,9.2630926,6.2182174,0.0496864,9.6155905,2.8057155,1.4833892,1.5555074,1.455984,,6.4,30,12.3
Cambodia,23.2719679,11.6899502,27.4925746,0.7264197,23.7754055,14.6295653,,15.2153728,2.5845729,11.0134832,20,20,19.7
Cook Islands,,,,,,,,,,,30,28,29.8
Georgia,1.6652854,3.8455295,2.069852,0.1279731,10.2568578,3.0650164,0.2346854,2.282459,0.2138336,8.7898694,20,15,19.6
India,1.4690553,2.224251,0.4239259,,,0.2749161,1.2190611,,,,42.74,30,12
Indonesia,0.7290339,2.7710607,2.8420999,0.2274964,4.65137,1.479785,1.1830194,1.0427459,0.1588844,1.3067134,30,22,9.8
Kiribati,0,10.67605,10.0381363,1.1575142,49.7014801,8.4921547,0,5.6186089,0,0.7219932,30,35,24.9
Kyrgyzstan,,4.0276767,5.5225692,0.1353462,8.8998689,0.6114645,0.3065373,,0.5948047,1.8640864,10,10,16.9
Maldives,1.5482818,8.2165322,4.6117934,1.8488489,7.1960503,4.28024,3.2318704,3.1110239,0.9481806,4.1222099,3.96,15,9.1
Mongolia,0.8286783,2.3312797,3.3020247,0.2585354,5.7808508,2.0227047,0.0226851,2.3926525,0.3695921,4.4345843,10,25,16.8
Nepal,1.2960468,7.0244437,0.9385243,0.2738236,10.934775,0.9328606,0.9274652,1.2434495,0.1565723,1.0965034,30,30,19.8
Pakistan,2.8864186,0.2332332,0.2623389,0.0035472,8.6002238,0.0373903,0.0070742,0.3449506,0.0342764,0.0066496,35,29,5.9
Philippines,0.8511333,2.6359063,3.4502511,0.1022242,7.1694872,0.890423,0.0322612,1.3271883,0.0805458,2.2224676,35,30,14.5
Sri Lanka,1.6277796,4.1942202,1.9328325,0,6.9725644,1.6269652,2.5691783,0.6047142,0,0,18,24,11.6
Thailand,1.2490982,2.6174061,2.938448,0.0557085,7.375022,1.2531689,0.3131094,1.1814984,0.3044866,1.6479314,35,20,14.6
Turkey,1.3474588,3.3484849,3.3939785,0.025502,7.0503887,1.4258776,0.2722814,2.1089854,0.4498733,5.9201683,40,20,16.5
Viet Nam,0,0.6266906,0.6200965,0.0379385,0.8331305,0.3215743,0,0,0.0508196,1.5034142,35,20,16.9
