year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,45.453999,43.131001,43.223999,40.105999,39.596001,40.539001,36.814999,35.312,32.702999,36.355,35.52,34.292,33.245998,33.046001,33.591999,35.310001,36.591999,38.481998,39.932999,41.654999,45.091,49.318001,56.84,58.254002,60.034,56.620998,55.041,54.733002,52.296001,53.314999,51.358002,46.672001,42.374001,40.854,40.848,37.053001,35.817001,32.912998,33.710999,33.181999,31.125999,31.841,32.612,31.215,33.459,32.835999,32.429001,32.148998,33.743999,36.250999,38.723999,41.298,43.111,45.219002,46.361,45.264,43.446999,40.313999,37.278,35.305,32.852001,30.635,29.333,27.684,25.111,22.280001,20.424,19.232,16.23,11.375,7.7940001,7.744,11.1,15.446,17.896,18.357,18.318001,17.339001,15.164,12.484,10.037,9.3030005,9.0050001,8.1490002,7.4549999,6.6869998,5.7789998,4.7249999,3.697,2.7409999,1.969,1.262,.741,.47400001,.317,.212,.147,.088,.052999999,.041000001,.067000002
2016,41.833,45.257,42.935001,42.980999,39.830002,39.293999,40.217999,36.487,34.986,32.379002,36.021999,35.191002,33.959999,32.882,32.655998,33.166,34.841,36.080002,37.93,39.341,41.011002,44.402,48.598,56.077999,57.465,59.220001,55.793999,54.209999,53.901001,51.484001,52.521,50.595001,45.957001,41.699001,40.220001,40.238998,36.476002,35.257999,32.363998,33.160999,32.619999,30.549,31.250999,32.007,30.608999,32.834999,32.219002,31.823999,31.559999,33.165001,35.692001,38.171001,40.747002,42.558998,44.66,45.812,44.733002,42.926998,39.819,36.785999,34.813,32.361,30.17,28.868999,27.201,24.632999,21.801001,19.948999,18.747999,15.782,11.031,7.5320001,7.4559999,10.644,14.744,17.000999,17.355,17.231001,16.218,14.091,11.513,9.1829996,8.4390001,8.0860004,7.2319999,6.5370002,5.79,4.934,3.971,3.0580001,2.2320001,1.5779999,.99400002,.57300001,.359,.235,.154,.104,.061000001,.035,.066
2017,41.297001,41.650002,45.064999,42.698002,42.709,39.534,38.979,39.896999,36.166,34.667,32.054001,35.699001,34.865002,33.602001,32.499001,32.236,32.706001,34.339001,35.537998,37.348,38.709,40.334999,43.696999,47.852001,55.304001,56.667999,58.408001,54.977001,53.395,53.104,50.708,51.771,49.889,45.290001,41.077,39.625,39.669998,35.925999,34.716,31.827999,32.608002,32.048,29.973,30.660999,31.407,30.007,32.228001,31.621,31.243,31,32.630001,35.164001,37.650002,40.222,42.028,44.130001,45.285,44.206001,42.410999,39.304001,36.283001,34.306,31.877001,29.698,28.372999,26.690001,24.112,21.298,19.445999,18.235001,15.308,10.665,7.2550001,7.1539998,10.168,14.017,16.080999,16.329,16.122999,15.083,13.012,10.546,8.3400002,7.5960002,7.1999998,6.3600001,5.6760001,4.9580002,4.1620002,3.296,2.497,1.795,1.248,.77200001,.43599999,.26699999,.171,.109,.071999997,.039999999,.061999999
2018,38.557999,41.119999,41.464001,44.832001,42.431999,42.418999,39.223999,38.662998,39.580002,35.854,34.347,31.737,35.380001,34.514999,33.224998,32.085999,31.784,32.214001,33.807999,34.966999,36.729,38.046001,39.644001,42.967999,47.096001,54.522999,55.873001,57.605999,54.176998,52.613998,52.341,49.974998,51.077999,49.231998,44.675999,40.493,39.067001,39.125999,35.394001,34.187,31.290001,32.049,31.48,29.396,30.075001,30.813,29.424,31.639999,31.047001,30.691999,30.485001,32.129002,34.667999,37.153999,39.719002,41.528,43.625,44.763,43.687,41.875999,38.779999,35.766998,33.806,31.388,29.197001,27.851,26.134001,23.563999,20.77,18.917999,17.693001,14.808,10.279,6.9650002,6.8379998,9.6759996,13.268,15.138,15.283,15.001,13.94,11.935,9.5889997,7.5149999,6.7779999,6.3499999,5.5359998,4.8699999,4.1919999,3.464,2.697,2.01,1.4220001,.97299999,.58999997,.32600001,.19400001,.121,.075000003,.048,.064000003
2019,37.532001,38.389999,40.939999,41.236,44.570999,42.146999,42.113998,38.915001,38.354,39.272999,35.540001,34.035999,31.424,35.036999,34.145,32.82,31.643999,31.301001,31.693001,33.248001,34.359001,36.078999,37.369999,38.93,42.229,46.333,53.743999,55.089001,56.819,53.41,51.865002,51.620998,49.296001,50.432999,48.625999,44.098999,39.946999,38.535999,38.599998,34.875,33.654999,30.745001,31.489,30.91,28.823999,29.497,30.237,28.861,31.077,30.500999,30.183001,30,31.658001,34.199001,36.68,39.244999,41.051998,43.123001,44.243,43.141998,41.325001,38.236,35.251999,33.292999,30.862,28.663,27.278,25.547001,22.986,20.207001,18.354,17.115,14.274,9.8719997,6.6589999,6.5089998,9.1630001,12.494,14.171,14.218,13.865,12.792,10.862,8.6470003,6.711,5.9899998,5.5409999,4.7610002,4.1259999,3.4979999,2.8429999,2.1760001,1.595,1.11,.745,.44100001,.23800001,.139,.085000001,.050999999,.071999997
2020,36.172001,37.372002,38.215,40.716999,40.979,44.290001,41.848999,41.811001,38.611,38.051998,38.965,35.235001,33.729,31.087999,34.674999,33.749001,32.386002,31.171,30.790001,31.145,32.653,33.723,35.415001,36.668999,38.206001,41.483002,45.574001,52.977001,54.321999,56.066002,52.675999,51.16,50.955002,48.666,49.839001,48.056999,43.561001,39.425999,38.022999,38.087002,34.353001,33.116001,30.202,30.931999,30.346001,28.261,28.937,29.681999,28.325001,30.542999,29.999001,29.707001,29.551001,31.216999,33.757999,36.242001,38.800999,40.585999,42.632,43.708,42.591,40.763,37.702,34.734001,32.755001,30.313999,28.091,26.686001,24.938,22.382,19.621,17.764,16.513,13.723,9.4519997,6.3470001,6.1729999,8.6440001,11.716,13.203,13.158,12.743,11.668,9.8210001,7.7420001,5.9460001,5.2480001,4.79,4.0539999,3.4590001,2.885,2.3080001,1.735,1.25,.85299999,.56,.324,.171,.097000003,.057999998,.077
2021,34.705002,36.064999,37.275002,38.097,40.584999,40.834999,44.138,41.693001,41.654999,38.459,37.895,38.808998,35.077,33.557999,30.902,34.472,33.526001,32.143002,30.908001,30.509001,30.84,32.326,33.382999,35.054001,36.297001,37.823002,41.091,45.175999,52.576,53.924999,55.675999,52.299,50.800999,50.611,48.34,49.521,47.749001,43.261002,39.132,37.724998,37.775002,34.032001,32.785999,29.865,30.579,29.985001,27.903999,28.573999,29.309999,27.955999,30.152,29.601999,29.312,29.155001,30.792999,33.293999,35.729,38.219002,39.941002,41.897999,42.896,41.736,39.893002,36.838001,33.865002,31.855,29.393999,27.167999,25.743999,23.987,21.462999,18.75,16.910999,15.654,12.942,8.8599997,5.9109998,5.7140002,7.9559999,10.716,11.997,11.875,11.418,10.37,8.6470003,6.7420001,5.118,4.461,4.013,3.3410001,2.8050001,2.3010001,1.808,1.335,.94199997,.62900001,.40200001,.228,.116,.064000003,.082999997
2022,33.415001,34.603001,35.969002,37.158001,37.966,40.442001,40.682999,43.981998,41.536999,41.501999,38.301998,37.738998,38.652,34.905998,33.372002,30.700001,34.25,33.284,31.879999,30.627001,30.202999,30.513,31.986,33.022999,34.681999,35.914001,37.431999,40.694,44.778999,52.179001,53.536999,55.296001,51.938,50.455002,50.279999,48.021999,49.209999,47.441002,42.959999,38.832001,37.411999,37.443001,33.695999,32.438,29.516001,30.216,29.618,27.542,28.202999,28.93,27.584999,29.747999,29.190001,28.900999,28.740999,30.353001,32.808998,35.181999,37.598999,39.237999,41.103001,42.015999,40.823002,38.957001,35.900002,32.929001,30.888,28.424999,26.205,24.763,22.997999,20.507,17.843,16.02,14.753,12.124,8.2489996,5.467,5.2540002,7.27,9.7229996,10.805,10.614,10.126,9.1149998,7.5229998,5.7979999,4.348,3.7409999,3.3150001,2.7130001,2.24,1.807,1.3940001,1.007,.69499999,.454,.28299999,.156,.077,.093000002
2023,32.249001,33.303001,34.533001,35.911999,37.111,37.926998,40.409,40.654999,43.957001,41.514999,41.480999,38.280998,37.715,38.619999,34.860001,33.306,30.610001,34.132,33.140999,31.715,30.441999,30.004999,30.305,31.771999,32.807999,34.469002,35.705002,37.229,40.497002,44.585999,51.987999,53.351002,55.113998,51.764999,50.287998,50.118,47.865002,49.051998,47.285999,42.810001,38.686001,37.264,37.289001,33.546001,32.287998,29.367001,30.059,29.455,27.379999,28.027,28.733,27.381001,29.499001,28.92,28.618999,28.444,30.016001,32.414001,34.716999,37.051998,38.609001,40.377998,41.205002,39.966,38.064999,35.005001,32.041,29.987,27.525999,25.312,23.851999,22.077,19.608999,16.993,15.185,13.905,11.359,7.6810002,5.0599999,4.8340001,6.6469998,8.8269997,9.7340002,9.4840002,8.9680004,7.993,6.52,4.9590001,3.6670001,3.1099999,2.7119999,2.1830001,1.77,1.403,1.061,.74900001,.50400001,.32100001,.19599999,.104,.108
2024,31.309,32.132999,33.230999,34.474998,35.865002,37.071999,37.894001,40.380001,40.630001,43.933998,41.493999,41.459999,38.257,37.681999,38.570999,34.791,33.215,30.493,33.988998,32.974998,31.530001,30.243999,29.797001,30.091999,31.558001,32.595001,34.259998,35.500999,37.032001,40.305,44.400002,51.804001,53.172001,54.938999,51.598999,50.126999,49.960999,47.715,48.902,47.137001,42.667,38.549,37.127998,37.150002,33.412998,32.155998,29.242001,29.927,29.320999,27.247,27.885,28.579,27.224001,29.309999,28.719999,28.414,28.23,29.775,32.131001,34.386002,36.655998,38.146999,39.845001,40.606998,39.328999,37.404999,34.347,31.388,29.322001,26.858,24.638,23.153999,21.362,18.907,16.32,14.52,13.233,10.756,7.2350001,4.737,4.4980001,6.1459999,8.1020002,8.8570004,8.5489998,8,7.0469999,5.6729999,4.2519999,3.098,2.5869999,2.22,1.757,1.4,1.087,.80299997,.55299997,.36300001,.226,.134,.13699999
