year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,22634.71,23319.8,23897.02,24373.88,24757.89,25056.55,25277.37,25427.87,25515.54,25547.9,25527.18,25455.6,25367.07,25279.66,25185.03,25059.17,24909.72,24743.48,24562.38,24369.08,24159.38,23928.19,23714.26,23534.59,23369.62,23181.04,22974.36,22736.26,22455.54,22136.67,21806.66,21473.7,21067.27,20559.36,19987.52,19414,18822.38,18284,17839.42,17456.08,17061.94,16672.69,16277.75,15865.06,15444.46,15034.67,14628.18,14242.78,13887.98,13552.18,13215.21,12882.21,12533.92,12159.04,11766.63,11370.54,10960.22,10569.55,10214.28,9873.091,9523.958,9189.289,8762.552,8194.276,7542.447,6909.474,6268.825,5714.24,5300.812,4983.409,4659.778,4347.942,4047.807,3748.293,3453.414,3180.388,2928.317,2671.434,2399.426,2122.703,1862.224,1614.077,1385.68,1182.93,1002.284,833.167,676.333,540.738,429.351,338.303,247.879,181.693,147.51,110.949,72.008,50.03,41.619,33.092,24.451,15.694,34.01
2016,22693.64,22738.91,23327.27,23845.49,24294.69,24675.95,24996.83,25264.9,25448.9,25536.97,25549.63,25521.61,25448.83,25358.3,25267.97,25169.84,25040.35,24887.05,24717.59,24534.39,24339.77,24128.62,23895.93,23681.06,23501.18,23336.45,23148.12,22941.83,22703.61,22421.9,22101.46,21769.92,21435.31,21027.28,20517.9,19944.63,19369.42,18775.85,18235.46,17788.91,17403.48,17006.94,16615.05,16216.81,15799.94,15374.46,14959.57,14547.78,14156.47,13795.05,13452.14,13107.88,12767.29,12411.72,12030.19,11631.49,11229.15,10812.98,10415.57,10052.09,9702.029,9344.511,9001.472,8568.594,7997.55,7345.222,6711.901,6071.628,5516.742,5101.475,4781.477,4456.295,4143.778,3843.478,3544.378,3250.708,2979.665,2730.148,2478.151,2214.17,1947.79,1698.077,1461.192,1245.122,1055.757,889.135,731.329,588.926,471.613,373.025,290.066,211.947,156.711,127.071,95.497,61.989,44.303,35.25,26.073,16.771,36.466
2017,23019.33,23238.95,22824.46,23315.52,23774.27,24195.41,24573.6,24916.45,25231.6,25448.98,25537.38,25530.3,25495.01,25421.09,25328.64,25235.45,25133.89,25000.87,24843.85,24671.31,24486.15,24290.37,24077.95,23843.96,23628.32,23448.37,23284.02,23096.1,22890.36,22652.22,22369.75,22048.01,21715.21,21379.23,20969.92,20459.5,19885.27,19308.85,18713.8,18171.86,17723.7,17336.49,16937.88,16543.67,16142.46,15721.75,15291.72,14872.08,14455.32,14058.42,13690.68,13340.94,12989.65,12641.75,12279.19,11891.32,11486.66,11078.4,10656.71,10252.88,9881.489,9522.828,9157.212,8806.078,8367.411,7794.066,7141.777,6508.629,5869.26,5314.531,4897.766,4575.433,4248.967,3936.027,3635.808,3337.37,3045.152,2776.317,2529.562,2282.663,2026.934,1771.124,1532.392,1306.973,1103.418,927.607,775.158,628.802,500.961,402.04,316.344,241.55,175.811,131.58,106.51,79.953,51.91,37.458,27.739,17.89,39.067
2018,23484.8,23360.26,23340.74,22899.99,23293.56,23692.67,24085.58,24460.53,24825.2,25187.26,25437.91,25526.6,25499.8,25457.26,25382.23,25287.9,25191.9,25086.95,24950.47,24789.79,24614.25,24427.22,24230.36,24016.77,23781.56,23565.26,23385.32,23221.41,23033.98,22828.9,22590.93,22307.83,21984.92,21651.01,21313.82,20903.4,20392.16,19817.23,19239.85,18643.59,18100.33,17650.76,17261.94,16861.44,16465.08,16061.07,15636.7,15202.33,14778.12,14356.57,13954.26,13580.36,13223.94,12865.79,12510.73,12141.34,11747.29,11336.86,10922.86,10495.83,10085.77,9706.628,9339.532,8965.982,8606.911,8162.648,7587.255,6935.29,6302.593,5664.407,5110.078,4691.996,4367.472,4039.866,3726.639,3426.634,3128.986,2838.348,2571.838,2327.951,2086.256,1838.888,1593.756,1366.105,1152.247,961.291,799.104,660.889,526.042,412.813,332.321,259.548,192.948,139.613,106.401,85.91,64.38,41.812,29.473,19.064,41.831
2019,23904.72,23490.94,23249.75,23159.06,22977.33,23273.53,23613.07,23977.79,24349.55,24736.05,25145.01,25428.93,25517.91,25471.41,25421.61,25345.47,25249.25,25150.44,25042.1,24902.14,24737.79,24559.24,24370.32,24172.37,23957.59,23721.16,23504.16,23324.23,23160.75,22973.8,22769.34,22531.53,22247.78,21923.68,21588.63,21250.19,20838.64,20326.54,19750.86,19172.46,18574.95,18030.33,17579.31,17188.86,16786.42,16387.89,15981.05,15553,15114.25,14685.43,14259.06,13851.32,13471.23,13108.11,12743.07,12380.83,12004.59,11604.34,11188.1,10768.32,10335.94,9919.607,9532.695,9157.139,8775.631,8408.599,7958.71,7381.223,6729.528,6097.23,5460.175,4906.199,4486.769,4160.028,3831.255,3517.716,3217.9,2921.019,2631.936,2367.726,2126.686,1890.171,1651.136,1416.655,1200.057,997.733,819.352,670.766,546.762,423.404,324.766,262.682,202.818,144.399,103.455,81.251,65.333,48.825,31.726,20.314,44.784
2020,24143.05,23567.78,23196.49,23004.61,22967.58,23060.82,23259.77,23539.86,23876.51,24245.17,24653.6,25109.55,25426.8,25516.11,25449.89,25392.83,25315.55,25217.42,25115.77,25004,24860.54,24692.48,24510.87,24320.01,24120.91,23904.88,23667.17,23449.42,23269.44,23106.35,22919.82,22715.94,22478.23,22193.74,21868.37,21532.09,21192.31,20779.52,20266.42,19689.83,19110.28,18511.34,17965.22,17512.63,17120.43,16715.96,16315.15,15905.37,15473.52,15030.28,14596.74,14165.44,13752.15,13365.77,12995.86,12623.83,12254.32,11871.12,11464.58,11042.41,10616.75,10178.9,9756.186,9361.401,8977.288,8587.723,8212.634,7756.999,7177.264,6525.664,5893.594,5257.498,4703.726,4282.835,3953.791,3623.763,3309.828,3010.12,2713.925,2426.318,2164.338,1926.078,1694.678,1463.908,1240.009,1034.402,843.553,677.692,542.662,432.83,320.924,236.844,193.143,146.165,95.909,67.339,56.133,44.783,33.289,21.652,47.939
2021,24139.06,23954.98,23489.86,23188.55,23033.08,23005.47,23081.2,23235.77,23483.82,23820.43,24208.03,24621.89,25076.43,25391.65,25478.25,25408.93,25348.65,25268,25167.06,25063.55,24950.62,24805.9,24636.53,24454.15,24263.23,24064.5,23848.83,23611.58,23393.77,23212.82,23048.15,22860.09,22654.61,22415.17,22128.9,21801.65,21463.28,21121.08,20706.17,20191.51,19613.58,19032.34,18431.53,17882.64,17425.97,17028.73,16619.04,16212.73,15797.05,15358.91,14909.07,14468.64,14030.14,13609.65,13216.22,12839.3,12460.05,12083.18,11692.47,11278.26,10848.28,10415.24,9970.908,9540.101,9134.593,8738.655,8338.255,7952.373,7490.765,6912.299,6266.86,5641.182,5012.779,4465.725,4049.018,3722.854,3397.258,3088.813,2795.464,2506.712,2227.598,1974.566,1745.423,1525.444,1309.275,1102.007,909.313,735.205,591.627,471.821,371.282,274.557,204.381,166.451,125.854,82.591,59.544,47.542,35.384,23.07,51.275
2022,23958.96,23501.45,23777.95,23422.73,23191.26,23072.11,23053.9,23112.16,23222.43,23438.57,23775.29,24182.01,24601.49,25054.81,25368.16,25452.1,25379.62,25316.11,25232.05,25128.25,25022.85,24908.7,24762.66,24591.89,24408.65,24217.59,24019.14,23803.73,23566.84,23348.85,23166.86,23000.54,22810.86,22603.68,22362.41,22074.22,21744.96,21404.33,21059.56,20642.34,20125.88,19546.34,18963.14,18360.2,17808.28,17347.32,16944.87,16529.77,16117.78,15696,15251.38,14794.74,14347.21,13901.32,13473.43,13072.77,12688.67,12302.03,11917.62,11519.22,11097.16,10659.18,10218.55,9767.545,9328.448,8912.035,8504.093,8092.678,7695.827,7228.036,6650.575,6010.998,5391.424,4770.424,4229.835,3817.118,3493.685,3172.37,2869.273,2582.146,2300.704,2029.951,1785.75,1565.615,1356.954,1155.283,964.547,784.674,627.222,505.856,401.215,309.922,228.328,172.02,139.842,105.607,69.313,50.48,37.616,24.58,54.822
2023,23667.27,23409.52,23225.45,23605.71,23360.38,23198.71,23115.89,23107.08,23147.87,23213.85,23398.11,23735,24160.93,24586.12,25038.32,25349.85,25431.14,25355.51,25288.75,25201.26,25094.58,24987.26,24871.87,24724.47,24552.28,24368.15,24176.9,23978.69,23763.49,23526.91,23308.7,23125.63,22957.62,22766.28,22557.36,22314.22,22024.04,21692.7,21349.75,21002.32,20582.71,20064.35,19483.08,18897.81,18292.59,17737.54,17272.2,16864.44,16443.85,16026.09,15598.13,15146.93,14683.38,14228.67,13775.29,13339.92,12931.95,12540.58,12146.47,11754.43,11348.27,10918.26,10472.19,10023.88,9566.101,9118.621,8691.212,8271.179,7848.659,7440.754,6966.682,6390.107,5756.265,5142.669,4528.948,3994.716,3585.908,3265.139,2948.041,2650.232,2369.271,2095.084,1832.641,1597.223,1386.056,1188.674,1001.466,827.23,660.145,519.324,420.154,330.663,248.6,182.127,139.682,113.251,85.372,56.045,39.961,26.166,58.544
2024,23366.29,23307.33,23256.08,23215.19,23429.41,23294.04,23202.24,23155.77,23156.37,23179.68,23201.33,23353.67,23690.67,24135.75,24566.59,25017.59,25327.24,25405.88,25327.09,25257.09,25166.18,25056.64,24947.42,24830.81,24682.08,24508.5,24323.5,24132.1,23934.15,23719.21,23482.98,23264.6,23080.46,22910.8,22717.83,22507.21,22262.22,21970.11,21636.74,21291.53,20941.51,20519.56,19999.4,19416.5,18829.25,18221.87,17663.77,17194.13,16781.13,16355.11,15931.65,15497.57,15039.88,14569.5,14107.67,13646.87,13204.1,12788.87,12390.3,11988.78,11589.19,11175.32,10737.43,10283.35,9827.421,9362.95,8907.16,8468.823,8036.763,7603.206,7184.312,6704.035,6128.445,5500.447,4892.936,4286.601,3758.818,3353.989,3035.94,2723.116,2430.647,2155.903,1889.019,1634.934,1408.344,1206.184,1020.12,847.412,689.712,535.45,411.291,334.343,260.025,187.209,135.876,107.305,86.629,65.115,42.761,27.8,62.381
