year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,169.822,161.9,154.12,146.554,139.272,132.345,125.845,119.841,114.406,109.609,105.327,101.437,98.981,98.419,99.24,100.327,101.734,103.626,105.917,108.426,110.928,113.308,115.394,117.023,118.083,118.917,119.805,118.483,113.967,107.401,100.902,94.039,88.171,84.189,81.488,78.519,75.518,73.048,71.21,69.837,68.679,67.81,66.828,65.515,64.048,62.702,61.276,60.417,60.428,60.904,61.205,61.541,60.982,59.028,56.125,53.263,50.291,47.225,44.186,41.16,38.02,34.804,31.737,28.922,26.306,23.797,21.495,19.149,16.652,14.187,11.892,9.558,8.292,8.605,9.901,11.137,12.59,13.278,12.629,11.12,9.823,8.552,7.317,6.241,5.282,4.265,3.21,2.355,1.799,1.456,1.095,0.862,0.695,0.491,0.25,0.11,0.088,0.066,0.045,0.023,0.034
2016,165.675,168.001,161.149,154.05,146.837,139.647,132.55,125.618,119.304,113.869,109.258,105.031,101.129,98.657,98.076,98.874,99.939,101.322,103.194,105.472,107.974,110.469,112.844,114.925,116.549,117.604,118.433,119.318,117.998,113.492,106.941,100.456,93.608,87.752,83.776,81.079,78.112,75.113,72.643,70.801,69.421,68.255,67.375,66.383,65.061,63.586,62.231,60.795,59.919,59.902,60.343,60.611,60.914,60.326,58.348,55.427,52.547,49.558,46.483,43.446,40.431,37.303,34.102,31.044,28.228,25.604,23.087,20.767,18.422,15.957,13.538,11.287,9.008,7.735,7.937,9.064,10.146,11.44,12.035,11.4,9.976,8.757,7.568,6.429,5.46,4.613,3.7,2.773,2.052,1.565,1.243,0.93,0.736,0.593,0.418,0.211,0.107,0.081,0.054,0.026,0.033
2017,158.003,159.057,166.592,160.793,154.356,147.479,140.362,133.078,125.699,119.059,113.611,109.174,104.992,101.068,98.575,97.972,98.751,99.795,101.157,103.013,105.285,107.787,110.281,112.657,114.738,116.36,117.411,118.239,119.122,117.801,113.294,106.742,100.255,93.405,87.548,83.569,80.867,77.896,74.892,72.415,70.565,69.175,67.998,67.105,66.1,64.767,63.28,61.912,60.463,59.568,59.523,59.93,60.165,60.436,59.817,57.811,54.865,51.96,48.946,45.854,42.813,39.801,36.678,33.483,30.427,27.603,24.966,22.433,20.09,17.741,15.302,12.923,10.71,8.482,7.197,7.289,8.25,9.181,10.32,10.824,10.201,8.859,7.715,6.604,5.558,4.692,3.956,3.144,2.343,1.754,1.335,1.035,0.768,0.612,0.492,0.346,0.173,0.105,0.07,0.033,0.035
2018,148.602,154.902,158.286,165.339,160.59,154.81,148.263,141.213,133.735,125.9,118.927,113.461,109.195,105.053,101.104,98.586,97.962,98.722,99.746,101.088,102.931,105.199,107.702,110.198,112.577,114.66,116.281,117.331,118.158,119.041,117.717,113.205,106.645,100.151,93.293,87.427,83.441,80.733,77.754,74.743,72.257,70.396,68.995,67.805,66.899,65.88,64.534,63.034,61.651,60.188,59.273,59.2,59.574,59.777,60.015,59.365,57.329,54.355,51.423,48.381,45.269,42.22,39.208,36.086,32.896,29.839,27.004,24.351,21.8,19.432,17.076,14.66,12.32,10.142,7.963,6.664,6.647,7.442,8.223,9.208,9.621,9.009,7.747,6.677,5.644,4.691,3.928,3.302,2.591,1.915,1.457,1.105,0.826,0.607,0.489,0.391,0.274,0.135,0.09,0.041,0.038
2019,140.121,150.494,157.24,160.762,163.957,160.263,155.146,148.934,141.958,134.289,126.004,118.703,113.224,109.132,105.033,101.062,98.522,97.877,98.616,99.621,100.942,102.77,105.031,107.534,110.03,112.41,114.493,116.113,117.161,117.985,118.867,117.542,113.028,106.466,99.969,93.107,87.238,83.249,80.536,77.552,74.535,72.042,70.172,68.761,67.56,66.64,65.609,64.251,62.739,61.343,59.867,58.932,58.831,59.171,59.341,59.547,58.866,56.802,53.802,50.844,47.776,44.647,41.593,38.584,35.466,32.282,29.226,26.383,23.715,21.149,18.757,16.396,14.005,11.706,9.565,7.436,6.126,5.999,6.627,7.257,8.086,8.408,7.807,6.627,5.632,4.678,3.818,3.16,2.644,2.034,1.484,1.158,0.875,0.617,0.444,0.364,0.29,0.201,0.097,0.05,0.045
2020,134.565,146.889,155.435,160.597,162.768,162.34,159.706,155.259,149.392,142.498,134.652,125.928,118.309,112.824,108.912,104.863,100.875,98.316,97.651,98.37,99.353,100.65,102.461,104.713,107.212,109.705,112.082,114.163,115.779,116.822,117.644,118.523,117.198,112.689,106.134,99.644,92.789,86.925,82.937,80.224,77.239,74.221,71.724,69.848,68.428,67.218,66.286,65.243,63.876,62.354,60.947,59.459,58.507,58.377,58.684,58.821,58.994,58.282,56.193,53.172,50.193,47.103,43.961,40.907,37.905,34.794,31.622,28.571,25.723,23.046,20.468,18.055,15.692,13.331,11.074,8.974,6.899,5.578,5.342,5.803,6.28,6.953,7.182,6.594,5.498,4.579,3.705,2.94,2.386,1.981,1.474,1.051,0.858,0.643,0.407,0.281,0.24,0.189,0.129,0.059,0.056
2021,133.433,137.431,147.779,155.099,159.658,161.721,161.684,159.943,156.114,150.204,142.867,134.83,126.039,118.355,112.811,108.847,104.745,100.704,98.108,97.433,98.158,99.15,100.459,102.283,104.549,107.063,109.572,111.968,114.064,115.687,116.733,117.557,118.438,117.111,112.596,106.031,99.53,92.663,86.788,82.792,80.072,77.079,74.05,71.543,69.656,68.223,66.998,66.05,64.99,63.605,62.064,60.637,59.129,58.146,57.971,58.221,58.302,58.417,57.658,55.539,52.499,49.5,46.394,43.227,40.136,37.09,33.942,30.739,27.66,24.785,22.087,19.49,17.053,14.706,12.421,10.278,8.289,6.339,5.088,4.83,5.215,5.629,6.233,6.436,5.891,4.883,4.027,3.233,2.578,2.083,1.698,1.257,0.907,0.738,0.551,0.346,0.262,0.207,0.143,0.068,0.071
2022,135.233,144.242,139.95,148.29,154.362,158.304,160.254,160.61,159.768,156.568,150.629,142.868,134.66,125.825,118.095,112.507,108.5,104.356,100.272,97.647,96.962,97.693,98.69,100.007,101.841,104.115,106.637,109.156,111.565,113.67,115.297,116.342,117.166,118.047,116.722,112.212,105.655,99.16,92.298,86.427,82.432,79.713,76.719,73.688,71.177,69.283,67.842,66.605,65.643,64.568,63.169,61.614,60.169,58.646,57.635,57.413,57.606,57.632,57.688,56.883,54.74,51.689,48.678,45.562,42.38,39.259,36.177,32.999,29.774,26.674,23.781,21.068,18.459,16.003,13.678,11.478,9.454,7.581,5.761,4.583,4.305,4.612,4.961,5.496,5.671,5.17,4.253,3.462,2.752,2.208,1.773,1.41,1.036,0.759,0.617,0.458,0.284,0.22,0.153,0.075,0.091
2023,138.795,143.821,148.004,142.274,148.596,153.413,156.734,158.569,159.316,159.373,156.806,150.848,142.673,134.306,125.438,117.674,112.049,108.006,103.825,99.703,97.052,96.359,97.094,98.095,99.419,101.259,103.538,106.065,108.591,111.009,113.12,114.748,115.792,116.615,117.494,116.173,111.674,105.133,98.654,91.807,85.947,81.96,79.245,76.254,73.226,70.713,68.815,67.367,66.121,65.146,64.058,62.647,61.079,59.62,58.083,57.045,56.777,56.913,56.883,56.881,56.031,53.866,50.809,47.79,44.669,41.475,38.329,35.215,32.013,28.769,25.653,22.745,20.022,17.404,14.933,12.634,10.519,8.617,6.863,5.176,4.072,3.774,4.004,4.288,4.752,4.898,4.443,3.618,2.893,2.267,1.836,1.462,1.119,0.815,0.611,0.494,0.365,0.221,0.161,0.083,0.112
2024,142.28,143.493,145.104,146.963,144.616,148.928,152.493,155.195,156.915,158.052,159.006,157.071,151.091,142.503,133.976,125.074,117.273,111.611,107.53,103.312,99.152,96.475,95.774,96.513,97.518,98.848,100.696,102.981,105.512,108.046,110.473,112.591,114.221,115.262,116.085,116.963,115.644,111.157,104.631,98.166,91.332,85.483,81.503,78.791,75.803,72.776,70.263,68.361,66.905,65.65,64.662,63.56,62.137,60.556,59.081,57.53,56.466,56.153,56.232,56.146,56.085,55.191,53.004,49.939,46.911,43.786,40.58,37.408,34.261,31.034,27.772,24.639,21.715,18.982,16.355,13.868,11.594,9.565,7.784,6.148,4.593,3.564,3.246,3.398,3.617,4.01,4.129,3.719,2.985,2.326,1.784,1.464,1.151,0.83,0.593,0.463,0.373,0.271,0.159,0.09,0.133
