year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2020,.917,.94800001,.97600001,1,1.027,1.053,1.079,1.099,1.115,1.194,1.072,.97100002,.94,.94,.90799999,.833,.74299997,.67900002,.68699998,.745,.74000001,.69,.648,.59799999,.55800003,.52999997,.477,.48300001,.56699997,.67400002,.71799999,.70999998,.72299999,.73900002,.71499997,.69700003,.68900001,.699,.69599998,.69700003,.65899998,.58399999,.55800003,.579,.565,.52200001,.50599998,.47999999,.46399999,.48500001,.472,.43599999,.40000001,.405,.39700001,.38499999,.36700001,.31600001,.29300001,.292,.28299999,.255,.25099999,.25,.25799999,.234,.205,.171,.149,.142,.149,.121,.090999998,.064000003,.048999999,.050000001,.039000001,.030999999,.024,.014,.0099999998,.015,.015,.014,.0099999998,.011,.0060000001,.0070000002,.0070000002,.0060000001,.0040000002,.003,.0020000001,.001,.001,0,0,0,0,0,0
2021,.85799998,.88800001,.91600001,.94099998,.95899999,.97899997,.99800003,1.017,1.033,1.046,1.1210001,1,.898,.86500001,.86699998,.83499998,.76099998,.67400002,.61400002,.62800002,.68900001,.68699998,.63999999,.60000002,.55500001,.51999998,.495,.44600001,.45500001,.542,.64999998,.69700003,.69,.70599997,.722,.69999999,.68199998,.676,.68599999,.68300003,.68300003,.64499998,.56999999,.54400003,.56599998,.55199999,.509,.493,.46700001,.44999999,.47099999,.458,.42300001,.38800001,.39300001,.384,.37099999,.35299999,.303,.27900001,.28,.271,.244,.23999999,.23899999,.245,.222,.193,.15899999,.138,.132,.138,.11,.083999999,.057999998,.043000001,.044,.033,.026000001,.021,.012,.0089999996,.013,.013,.011,.0089999996,.0089999996,.0060000001,.0060000001,.0060000001,.0040000002,.003,.0020000001,.001,.001,0,0,0,0,0,0
2022,.80199999,.83099997,.85699999,.88200003,.89999998,.91000003,.92400002,.93699998,.95200002,.963,.97399998,1.049,.92500001,.82300001,.792,.79299998,.764,.69300002,.60799998,.55500001,.57300001,.63599998,.63700002,.59200001,.55599999,.51599997,.484,.463,.417,.42899999,.51800001,.62900001,.67699999,.67299998,.69,.70599997,.68400002,.66799998,.662,.67199999,.66900003,.66900003,.63099998,.55699998,.53200001,.55299997,.54000002,.49599999,.479,.454,.43799999,.45699999,.44400001,.41100001,.37599999,.38,.37200001,.35800001,.34,.28999999,.26899999,.26899999,.259,.23199999,.227,.226,.23199999,.20900001,.18099999,.149,.12800001,.122,.127,.101,.077,.050999999,.037,.037999999,.028000001,.023,.018999999,.011,.0089999996,.011,.011,.0099999998,.0070000002,.0070000002,.0049999999,.0040000002,.0040000002,.003,.003,.001,.001,.001,0,0,0,0,0
2023,.75300002,.79799998,.829,.85600001,.88,.89899999,.91000003,.92299998,.93699998,.95099998,.96200001,.97299999,1.0470001,.92500001,.82300001,.79000002,.79299998,.76200002,.69099998,.60600001,.55299997,.57099998,.634,.63499999,.59100002,.55400002,.514,.48199999,.461,.41600001,.42699999,.51599997,.62699997,.67500001,.67000002,.68599999,.70300001,.68199998,.66500002,.65899998,.66900003,.66600001,.66500002,.62699997,.55299997,.528,.54799998,.53500003,.491,.47499999,.449,.433,.45100001,.43799999,.40599999,.37,.37400001,.36500001,.35100001,.333,.28400001,.26199999,.26199999,.252,.22499999,.22,.21699999,.22400001,.20100001,.17399999,.141,.121,.114,.119,.094999999,.071000002,.046999998,.034000002,.034000002,.025,.02,.017000001,.0089999996,.0070000002,.0099999998,.0089999996,.0080000004,.0060000001,.0049999999,.003,.003,.003,.003,.001,.001,.001,0,0,0,0,0
2024,.74599999,.75099999,.79799998,.82800001,.85399997,.87900001,.89700001,.90799999,.92199999,.935,.94999999,.96200001,.97299999,1.0470001,.92400002,.82099998,.78899997,.79100001,.76099998,.68900001,.60500002,.551,.56900001,.63200003,.63300002,.58899999,.55199999,.51200002,.48100001,.46000001,.41499999,.426,.514,.62400001,.67199999,.66799998,.68400002,.69999999,.67799997,.66100001,.65499997,.66500002,.66100001,.662,.62300003,.54900002,.52399999,.54400003,.52999997,.486,.47,.44400001,.428,.44600001,.43200001,.39899999,.36399999,.368,.35800001,.345,.32499999,.27700001,.25600001,.25400001,.245,.21799999,.213,.20900001,.214,.192,.164,.134,.114,.108,.111,.088,.064999998,.043000001,.030999999,.030999999,.023,.017000001,.014,.0080000004,.0060000001,.0080000004,.0070000002,.0070000002,.0040000002,.0049999999,.003,.003,.003,.0020000001,.001,.001,0,0,0,0,0
2025,.74000001,.74299997,.74900001,.796,.82700002,.85399997,.87800002,.89700001,.90799999,.921,.935,.94999999,.95999998,.972,1.045,.92299998,.81999999,.78799999,.78899997,.759,.68699998,.60399997,.55000001,.56800002,.63,.63099998,.58700001,.551,.51099998,.47999999,.45899999,.41299999,.42500001,.51300001,.62199998,.66900003,.66500002,.68000001,.69700003,.67500001,.65799999,.65200001,.66100001,.65700001,.65799999,.61900002,.54500002,.51899999,.53899997,.52499998,.48100001,.465,.43900001,.421,.44,.426,.39300001,.35800001,.361,.35100001,.33700001,.31799999,.27000001,.249,.248,.237,.20999999,.205,.20200001,.205,.183,.156,.126,.107,.1,.103,.081,.059999999,.039000001,.028000001,.027000001,.02,.015,.013,.0070000002,.0049999999,.0060000001,.0060000001,.0049999999,.0040000002,.0040000002,.0020000001,.0020000001,.001,.001,.001,0,0,0,0,0
2026,.73500001,.73699999,.74199998,.74800003,.796,.82599998,.852,.87800002,.89600003,.90700001,.921,.935,.949,.95999998,.97100002,1.045,.92199999,.81900001,.78600001,.787,.75700003,.685,.602,.54799998,.56599998,.62800002,.63099998,.58499998,.54900002,.50999999,.47799999,.45699999,.412,.42300001,.51099998,.62,.667,.662,.67799997,.69400001,.67199999,.65499997,.648,.65700001,.653,.65200001,.61299998,.54000002,.51499999,.53399998,.51899999,.47600001,.45899999,.43399999,.41600001,.433,.419,.38600001,.35100001,.354,.34400001,.329,.31,.26300001,.242,.23999999,.228,.20200001,.19599999,.192,.19599999,.17399999,.147,.118,.1,.092,.093999997,.074000001,.054000001,.035,.025,.024,.017000001,.013,.011,.0060000001,.0040000002,.0060000001,.0049999999,.0040000002,.003,.003,.001,.001,.001,.001,0,0,0,0,0
2027,.736,.73199999,.736,.741,.74699998,.79500002,.82599998,.852,.87599999,.89499998,.90700001,.92000002,.93300003,.94800001,.958,.97000003,1.043,.92000002,.81699997,.78399998,.78500003,.755,.68300003,.60000002,.546,.56400001,.62699997,.62900001,.583,.54699999,.50800002,.47600001,.45500001,.41100001,.42199999,.509,.61699998,.66399997,.66000003,.67400002,.69,.66799998,.65100002,.64499998,.653,.64899999,.648,.60900003,.53600001,.50999999,.52899998,.514,.47099999,.45300001,.42699999,.41,.42699999,.412,.38,.34400001,.34599999,.336,.32100001,.30199999,.255,.234,.23100001,.22,.19400001,.18700001,.183,.185,.164,.138,.11,.093000002,.085000001,.086000003,.067000002,.048999999,.030999999,.022,.021,.015,.012,.0089999996,.0049999999,.0040000002,.0040000002,.0040000002,.0040000002,.003,.0020000001,.001,.001,.001,0,0,0,0,0
2028,.74299997,.73299998,.73199999,.73500001,.74000001,.74699998,.79400003,.824,.852,.87599999,.89399999,.90600002,.91900003,.93300003,.94700003,.958,.96799999,1.041,.91799998,.815,.78200001,.78299999,.75300002,.68099999,.59899998,.546,.56300002,.625,.62699997,.58200002,.546,.50599998,.47499999,.454,.40900001,.41999999,.50700003,.61400002,.66100001,.65600002,.671,.68599999,.66500002,.64700001,.63999999,.648,.64399999,.64300001,.60399997,.53100002,.505,.523,.50800002,.465,.447,.42199999,.40400001,.41999999,.40400001,.373,.338,.338,.32699999,.31299999,.292,.24699999,.227,.223,.211,.185,.17900001,.17399999,.176,.153,.12899999,.103,.085000001,.078000002,.078000002,.059999999,.043000001,.027000001,.017999999,.017999999,.013,.0099999998,.0080000004,.0040000002,.0020000001,.003,.003,.003,.001,.001,.001,.001,0,0,0,0,0
2029,.74900001,.74000001,.73199999,.73000002,.73400003,.74000001,.74599999,.79299998,.824,.85000002,.87599999,.89399999,.90499997,.91900003,.93199998,.94599998,.95599997,.96600002,1.039,.91600001,.81300002,.77999997,.78100002,.75099999,.68000001,.597,.54400003,.56199998,.62300003,.625,.58099997,.54400003,.505,.47400001,.45300001,.40700001,.41800001,.505,.61199999,.65799999,.653,.667,.68300003,.66100001,.64399999,.63599998,.64399999,.639,.63800001,.59899998,.52600002,.5,.51700002,.50199997,.45899999,.44100001,.41499999,.39700001,.412,.39700001,.36500001,.329,.33000001,.31900001,.303,.28400001,.23899999,.21799999,.214,.20200001,.177,.169,.16500001,.16500001,.14399999,.12,.094999999,.078000002,.07,.07,.052999999,.037999999,.024,.016000001,.015,.0099999998,.0080000004,.0060000001,.003,.0020000001,.003,.003,.001,.001,.001,0,0,0,0,0,0
