year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,567.848,559.104,555.319,555.875,560.152,567.529,577.388,589.107,602.069,615.652,628.922,640.944,652.675,664.124,673.727,681.327,688.659,683.331,659.699,623.892,588.305,551.21,515.646,484.625,457.179,428.675,399.248,376.733,364.321,358.788,353.622,350.012,345.763,339.085,331.013,324.458,318.943,312.893,305.848,298.263,290.857,283.251,276.775,272.088,268.424,264.504,260.76,255.567,248.044,239.023,230.296,221.6,213.073,204.996,197.314,189.5,181.431,174.607,169.649,165.824,161.971,158.555,153.728,146.525,137.913,129.565,120.838,113.791,109.519,106.866,103.849,101.186,96.453,88.344,78.176,68.541,58.884,50.435,44.054,39.119,34.124,29.341,25.013,21.101,17.592,14.493,11.78,9.398,7.313,5.516,3.712,2.482,1.966,1.382,0.73,0.379,0.308,0.234,0.154,0.071,0.074
2016,557.536,558.79,552.491,550.346,551.847,556.489,563.682,572.837,583.867,596.434,609.781,622.63,634.204,645.342,655.989,664.75,671.586,678.068,672.802,650.607,617.109,583.698,548.801,515.134,485.428,458.842,431.269,402.891,380.612,367.262,360.066,353.27,347.843,342.466,335.844,328.588,322.668,317.771,312.275,305.594,298.228,291.11,283.868,277.452,272.37,268.026,263.443,258.967,253.259,245.601,236.682,227.991,219.332,210.761,202.492,194.522,186.455,178.152,171.071,165.83,161.712,157.567,153.844,148.801,141.526,132.931,124.604,115.945,108.864,104.381,101.423,98.152,95.242,90.411,82.439,72.567,63.226,53.891,45.768,39.689,35.046,30.369,25.918,21.928,18.359,15.19,12.384,10.013,7.992,6.184,4.583,3.053,2.057,1.626,1.14,0.599,0.326,0.247,0.163,0.075,0.077
2017,550.14,543.83,552.725,548.817,548.284,550.729,555.758,562.807,571.311,581.715,593.958,607.141,619.637,630.829,641.437,651.344,659.317,665.432,671.105,665.872,644.987,613.603,582.173,549.274,517.31,488.753,462.881,436.087,408.599,386.438,372.088,363.208,354.762,347.505,340.983,334.382,327.895,322.576,318.265,313.289,306.934,299.747,292.878,285.958,279.568,274.068,269.028,263.763,258.54,252.291,244.459,235.594,226.894,218.226,209.569,201.066,192.768,184.408,175.83,168.459,162.909,158.479,154.023,149.977,144.694,137.309,128.686,120.337,111.7,104.548,99.834,96.558,93.018,89.847,84.896,77.018,67.387,58.289,49.224,41.382,35.571,31.191,26.805,22.661,18.986,15.737,12.889,10.359,8.315,6.64,5.097,3.683,2.415,1.646,1.298,0.907,0.473,0.264,0.174,0.08,0.081
2018,545.581,540.925,538.788,548.719,547.187,548.264,551.663,557.097,564.027,571.913,581.73,593.693,606.761,618.953,629.804,639.921,649.126,656.34,661.756,666.642,661.423,641.77,612.382,582.817,551.791,521.412,493.898,468.642,442.528,415.829,393.703,378.3,367.703,357.574,348.461,340.77,334.165,328.424,323.685,319.944,315.47,309.417,302.383,295.736,289.112,282.725,276.787,271.032,265.066,259.075,252.263,244.227,235.384,226.643,217.934,209.157,200.388,191.732,183.049,174.164,166.474,160.595,155.838,151.054,146.668,141.127,133.604,124.92,116.519,107.871,100.622,95.658,92.054,88.23,84.787,79.697,71.884,62.458,53.57,44.741,37.151,31.585,27.454,23.342,19.488,16.114,13.173,10.636,8.372,6.648,5.313,4.03,2.797,1.786,1.241,0.975,0.677,0.348,0.187,0.085,0.086
2019,543.867,540.399,538.774,538.861,545.623,546.477,549.175,553.539,559.39,566.212,573.49,582.733,594.436,607.41,619.317,629.843,639.485,647.999,654.463,659.186,663.288,658.075,639.625,612.195,584.454,555.26,526.422,499.91,475.231,449.755,423.804,401.675,385.188,372.846,361.009,350.014,341.135,334.515,329.514,325.35,322.176,318.198,312.438,305.546,299.112,292.775,286.379,279.991,273.506,266.826,260.054,252.663,244.41,235.572,226.775,218.011,209.098,200.048,191.017,181.993,172.785,164.761,158.542,153.446,148.326,143.591,137.78,130.107,121.347,112.879,104.205,96.846,91.623,87.681,83.567,79.845,74.606,66.844,57.609,48.916,40.311,32.96,27.632,23.743,19.9,16.332,13.255,10.619,8.389,6.39,4.983,3.987,2.964,1.91,1.156,0.836,0.651,0.447,0.224,0.091,0.092
2020,544.874,541.731,540.006,539.629,540.533,542.648,545.906,550.237,555.573,561.845,568.561,575.229,583.896,595.34,608.223,619.845,630.047,639.213,647.033,652.743,656.769,660.082,654.874,637.633,612.167,586.256,558.899,531.606,506.096,481.992,457.152,431.947,409.811,392.227,378.124,364.564,351.67,341.592,334.955,330.698,327.112,324.509,321.03,315.564,308.812,302.59,296.541,290.135,283.291,276.071,268.669,261.108,253.133,244.657,235.824,226.967,218.145,209.094,199.757,190.347,180.977,171.44,163.079,156.516,151.078,145.616,140.53,134.445,126.618,117.779,109.241,100.54,93.067,87.582,83.3,78.892,74.887,69.497,61.785,52.74,44.242,35.858,28.747,23.657,20.011,16.438,13.157,10.378,8.049,6.129,4.394,3.307,2.654,1.89,1.018,0.523,0.428,0.325,0.216,0.098,0.098
2021,547.379,542.738,540.201,539.02,539.119,540.421,542.863,546.379,550.837,556.138,562.24,568.767,575.272,583.529,594.214,606.151,616.902,626.246,634.901,642.747,648.879,653.338,657.107,652.673,636.616,612.591,588.125,562.255,536.255,511.697,488.285,464.127,439.569,417.826,400.308,386.03,372.227,359.001,348.54,341.509,336.842,332.781,329.654,325.667,319.742,312.564,305.9,299.402,292.567,285.322,277.722,269.948,262.025,253.704,244.9,235.753,226.591,217.471,208.138,198.54,188.881,179.272,169.512,160.899,154.034,148.27,142.496,137.1,130.755,122.739,113.764,105.107,96.333,88.737,83.032,78.492,73.874,69.668,64.256,56.783,48.153,40.07,32.129,25.448,20.739,17.439,14.18,11.289,8.91,6.874,5.148,3.654,2.76,2.211,1.571,0.841,0.456,0.348,0.231,0.105,0.105
2022,552.711,546.571,540.749,538.819,538.182,538.756,540.457,543.226,547.003,551.589,556.856,562.789,569.128,575.473,583.323,593.249,604.244,614.126,622.614,630.76,638.633,645.189,650.084,654.308,650.649,635.773,613.183,590.156,565.767,541.055,517.444,494.719,471.236,447.317,425.963,408.507,394.05,379.998,366.437,355.589,348.163,343.084,338.548,334.894,330.398,324.012,316.404,309.296,302.348,295.083,287.433,279.451,271.303,263.014,254.345,245.209,235.747,226.278,216.856,207.238,197.376,187.466,177.614,167.629,158.761,151.593,145.499,139.412,133.705,127.097,118.891,109.776,100.998,92.149,84.426,78.5,73.701,68.872,64.464,59.027,51.791,43.576,35.906,28.405,22.154,17.824,14.869,11.924,9.423,7.443,5.7,4.167,2.915,2.214,1.768,1.252,0.665,0.371,0.247,0.113,0.113
2023,557.952,549.732,543.484,538.636,537.313,537.221,538.27,540.371,543.467,547.503,552.217,557.448,563.212,569.362,575.545,582.984,592.149,602.198,611.208,618.837,626.472,634.371,641.35,646.679,651.36,648.477,634.786,613.637,592.057,569.156,545.738,523.08,501.047,478.245,454.973,434.012,416.621,401.988,387.692,373.797,362.565,354.745,349.254,344.243,340.063,335.06,328.213,320.177,312.625,305.229,297.534,289.482,281.119,272.597,263.946,254.929,245.464,235.687,225.912,216.191,206.291,196.167,186.008,175.915,165.706,156.586,149.115,142.693,136.293,130.277,123.407,115.013,105.759,96.863,87.94,80.093,73.946,68.889,63.849,59.24,53.779,46.783,38.984,31.73,24.671,18.851,14.902,12.293,9.663,7.553,5.974,4.523,3.185,2.174,1.666,1.325,0.932,0.489,0.263,0.12,0.121
2024,559.268,550.383,543.547,538.622,536.208,535.493,535.946,537.471,539.969,543.39,547.684,552.522,557.716,563.306,569.263,575.28,582.305,590.704,599.8,607.933,614.699,621.817,629.737,637.136,642.897,648.03,645.925,633.427,613.733,593.612,572.212,550.102,528.411,507.083,484.976,462.364,441.808,424.493,409.693,395.16,380.94,369.331,361.121,355.221,349.739,345.035,339.526,332.223,323.763,315.773,307.932,299.812,291.362,282.622,273.733,264.723,255.364,245.575,235.49,225.415,215.4,205.224,194.843,184.44,174.113,163.685,154.318,146.549,139.803,133.094,126.772,119.644,111.066,101.68,92.669,83.679,75.712,69.348,64.036,58.788,53.981,48.499,41.747,34.369,27.534,20.922,15.537,11.971,9.71,7.397,5.678,4.5,3.344,2.201,1.431,1.117,0.88,0.612,0.312,0.128,0.131
2025,554.049,546.859,541.293,537.249,534.62,533.305,533.197,534.194,536.192,539.086,542.829,547.375,552.333,557.485,562.897,568.655,574.502,581.106,588.733,596.869,604.119,610.017,616.614,624.548,632.358,638.545,644.126,642.8,631.505,613.281,594.634,574.754,553.97,533.263,512.659,491.266,469.332,449.2,431.976,417.021,402.266,387.734,375.758,367.166,360.864,354.915,349.692,343.683,335.932,327.056,318.635,310.357,301.819,292.979,283.872,274.623,265.263,255.571,245.467,235.083,224.717,214.418,203.974,193.346,182.71,172.158,161.521,151.915,143.856,136.792,129.781,123.158,115.779,107.025,97.515,88.399,79.348,71.268,64.694,59.132,53.681,48.68,43.183,36.68,29.729,23.319,17.159,12.213,9.034,7.121,5.126,3.801,3.025,2.163,1.216,0.689,0.568,0.436,0.291,0.135,0.14
2026,543.051,551.306,546.365,542.296,539.107,536.803,535.302,534.52,534.914,536.67,539.526,543.003,547.163,551.735,556.525,561.616,567.064,572.594,579.087,586.901,595.429,603.069,609.376,616.407,624.772,633.003,639.62,645.646,644.645,633.494,615.285,596.644,576.742,555.904,535.12,514.418,492.895,470.805,450.517,433.149,418.056,403.147,388.451,376.308,367.551,361.082,354.96,349.562,343.372,335.436,326.371,317.758,309.286,300.55,291.506,282.192,272.735,263.166,253.264,242.951,232.357,221.781,211.27,200.619,189.79,178.957,168.215,157.407,147.602,139.298,131.97,124.718,117.866,110.327,101.516,92.023,82.951,73.99,65.995,59.474,53.966,48.607,43.699,38.458,32.448,26.138,20.209,14.704,10.542,7.773,5.999,4.276,3.184,2.529,1.804,1.008,0.592,0.454,0.304,0.142,0.15
2027,525.54,529.833,548.155,545.472,542.907,540.577,538.601,536.915,535.457,535.246,536.76,539.575,542.783,546.553,550.735,555.159,559.924,565.057,570.266,576.642,584.638,593.552,601.577,608.291,615.751,624.543,633.188,640.232,646.7,646.026,635.027,616.846,598.224,578.316,557.438,536.592,515.806,494.17,471.939,451.508,434.009,418.789,403.737,388.887,376.586,367.669,361.037,354.748,349.177,342.811,334.694,325.447,316.648,307.987,299.059,289.818,280.304,270.645,260.873,250.768,240.252,229.455,218.676,207.961,197.11,186.087,175.063,164.139,153.168,143.171,134.627,127.04,119.552,112.476,104.782,95.92,86.451,77.429,68.564,60.66,54.197,48.748,43.486,38.674,33.693,28.182,22.52,17.076,12.232,8.858,6.504,4.871,3.421,2.563,2.031,1.443,0.799,0.471,0.315,0.148,0.162
2028,504.446,516.421,525.716,544.538,544.118,543.06,541.593,539.946,538.077,535.943,535.127,536.397,539.17,542.104,545.481,549.269,553.323,557.757,562.571,567.455,573.709,581.88,591.174,599.577,606.692,614.575,623.787,632.84,640.305,647.209,646.863,636.026,617.888,599.302,579.403,558.504,537.613,516.761,495.03,472.676,452.12,434.504,419.169,403.988,388.996,376.547,367.478,360.689,354.236,348.497,341.96,333.67,324.248,315.27,306.428,297.314,287.884,278.177,268.325,258.358,248.058,237.347,226.357,215.384,204.474,193.431,182.223,171.019,159.922,148.796,138.615,129.838,121.998,114.281,106.985,99.144,90.237,80.801,71.836,63.075,55.269,48.87,43.485,38.322,33.612,28.895,23.889,18.879,13.926,9.747,7.165,5.228,3.737,2.563,1.939,1.53,1.08,0.589,0.326,0.154,0.173
2029,484.063,502.299,516.6,527.395,540.426,542.267,542.716,542.112,540.795,538.744,535.938,534.518,535.542,538.27,540.93,543.91,547.3,550.982,555.082,559.572,564.126,570.252,578.591,588.255,597.029,604.538,612.837,622.46,631.913,639.792,647.126,647.107,636.442,618.364,599.83,579.959,559.057,538.141,517.242,495.435,472.98,452.317,434.601,419.165,403.867,388.748,376.163,366.95,360.01,353.401,347.498,340.796,332.341,322.752,313.604,304.589,295.299,285.688,275.797,265.76,255.608,245.123,234.228,223.054,211.897,200.802,189.579,178.196,166.821,155.562,144.291,133.936,124.935,116.849,108.909,101.401,93.419,84.476,75.081,66.182,57.533,49.831,43.503,38.185,33.128,28.523,24.075,19.577,15.224,10.765,7.256,5.467,3.949,2.6,1.702,1.314,1.028,0.716,0.378,0.161,0.184
2030,467.548,489.099,506.26,519.48,529.209,535.896,539.99,541.942,542.2,541.214,538.983,535.508,533.486,534.265,536.946,539.329,541.911,544.903,548.209,551.973,556.137,560.358,566.351,574.852,584.877,594.014,601.91,610.617,620.642,630.486,638.772,646.529,646.837,636.351,618.347,599.88,580.053,559.165,538.24,517.311,495.446,472.907,452.155,434.352,418.828,403.427,388.192,375.482,366.132,359.047,352.286,346.226,339.365,330.752,321.004,311.693,302.513,293.054,283.271,273.205,262.992,252.663,242.001,230.93,219.583,208.251,196.98,185.585,174.038,162.501,151.089,139.683,129.162,119.945,111.619,103.464,95.751,87.635,78.663,69.317,60.49,51.959,44.368,38.114,32.869,27.921,23.424,19.248,15.26,11.566,7.605,4.765,3.769,2.669,1.465,0.843,0.69,0.527,0.353,0.168,0.194
