year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,340.746,343.753,346.215,348.133,349.507,350.337,350.623,350.366,349.566,348.223,346.552,344.767,341.798,337.219,331.67,326.061,320.015,315.411,313.216,312.515,311.729,311.533,309.84,305.569,299.938,294.949,289.843,287.443,289.241,293.746,297.676,301.332,305,308.374,311.165,313.972,317.38,316.681,309.817,299.137,288.776,277.58,269.545,266.971,267.872,267.926,267.963,267.352,265.335,262.37,259.605,256.732,253.661,250.438,246.922,243.15,239.377,234.145,226.818,218.185,209.294,199.477,191.677,187.319,184.816,181.599,178.71,172.253,160.198,144.633,129.739,114.754,101.184,90.223,81.18,71.98,62.809,55.377,50.255,46.745,43.592,41.064,38.206,34.422,30.132,26.391,23.033,19.745,16.488,13.351,9.939,7.281,5.977,4.417,2.601,1.574,1.308,1.015,0.695,0.347,0.446
2016,339.66,339.512,342.274,344.635,346.564,348.032,349.034,349.561,349.473,348.698,347.272,345.539,343.709,340.555,335.59,329.527,323.421,316.888,311.801,309.144,308.023,306.838,306.249,304.362,300.186,294.852,290.172,285.408,283.385,285.569,290.463,294.81,298.915,302.949,306.557,309.492,312.446,315.978,315.421,308.74,298.261,288.068,277.02,269.093,266.578,267.495,267.551,267.575,266.912,264.795,261.695,258.78,255.735,252.505,249.152,245.521,241.615,237.694,232.303,224.8,215.976,206.902,196.926,188.891,184.178,181.262,177.659,174.38,167.687,155.635,140.233,125.491,110.675,97.285,86.496,77.616,68.604,59.654,52.352,47.212,43.597,40.363,37.754,34.881,31.192,27.075,23.431,20.287,17.349,14.357,11.381,8.372,6.177,5.057,3.722,2.174,1.387,1.077,0.737,0.367,0.468
2017,339.154,339.754,338.18,340.697,342.954,344.894,346.458,347.63,348.398,348.48,347.729,346.22,344.425,342.551,339.213,333.865,327.289,320.688,313.67,308.1,304.983,303.441,301.858,300.875,298.796,294.717,289.68,285.31,280.89,279.244,281.813,287.095,291.86,296.412,300.811,304.651,307.729,310.829,314.486,314.07,307.574,297.298,287.277,276.379,268.564,266.108,267.041,267.098,267.11,266.395,264.178,260.944,257.88,254.665,251.277,247.795,244.05,240.01,235.943,230.393,222.717,213.705,204.449,194.318,186.049,180.984,177.655,173.668,169.999,163.073,151.026,135.791,121.207,106.562,93.357,82.743,74.03,65.207,56.482,49.311,44.155,40.436,37.122,34.433,31.546,27.953,24.01,20.465,17.534,14.949,12.222,9.407,6.804,5.071,4.134,3.026,1.746,1.144,0.782,0.389,0.493
2018,338.49,337.875,337.93,336.807,339.078,341.232,343.183,344.841,346.184,347.193,347.444,346.719,345.126,343.27,341.352,337.829,332.099,325.012,317.916,310.413,304.363,300.785,298.822,296.842,295.466,293.194,289.212,284.474,280.414,276.339,275.07,278.024,283.694,288.874,293.873,298.637,302.708,305.929,309.174,312.955,312.68,306.37,296.299,286.451,275.705,268.003,265.605,266.554,266.614,266.613,265.845,263.53,260.162,256.949,253.564,250.017,246.407,242.549,238.377,234.163,228.455,220.607,211.408,201.972,191.687,183.186,177.769,174.027,169.656,165.599,158.439,146.399,131.333,116.909,102.438,89.418,78.982,70.435,61.803,53.304,46.265,41.094,37.27,33.877,31.108,28.208,24.71,20.943,17.496,14.78,12.546,10.085,7.432,5.234,3.965,3.212,2.33,1.318,0.832,0.413,0.52
2019,336.65,335.325,334.881,335.167,335.461,337.486,339.538,341.499,343.251,344.766,346.015,346.436,345.735,344.06,342.142,340.18,336.473,330.359,322.76,315.169,307.182,300.65,296.612,294.229,291.85,290.081,287.617,283.731,279.291,275.541,271.81,270.918,274.258,280.315,285.911,291.357,296.486,300.789,304.154,307.544,311.449,311.316,305.19,295.324,285.648,275.053,267.462,265.123,266.088,266.15,266.136,265.317,262.901,259.4,256.038,252.483,248.778,245.039,241.067,236.762,232.402,226.536,218.514,209.128,199.512,189.071,180.338,174.568,170.413,165.658,161.212,153.819,141.785,126.887,112.622,98.323,85.488,75.227,66.846,58.405,50.13,43.223,38.036,34.108,30.635,27.786,24.872,21.471,17.878,14.53,12.027,10.146,7.95,5.458,3.666,2.86,2.29,1.633,0.891,0.438,0.548
2020,332.97,331.694,331.324,331.712,332.711,334.173,335.953,337.902,339.874,341.722,343.408,344.898,345.489,344.812,343.054,341.074,339.067,335.175,328.678,320.565,312.478,304.005,296.99,292.492,289.687,286.909,284.748,282.091,278.3,274.158,270.717,267.33,266.815,270.539,276.986,282.999,288.892,294.387,298.923,302.432,305.968,309.998,310.006,304.065,294.4,284.895,274.448,266.968,264.688,265.669,265.732,265.706,264.835,262.32,258.683,255.172,251.446,247.582,243.714,239.627,235.189,230.682,224.657,216.461,206.885,197.086,186.489,177.521,171.397,166.829,161.69,156.854,149.226,137.197,122.463,108.354,94.225,81.573,71.486,63.269,55.017,46.966,40.189,34.985,30.953,27.399,24.47,21.541,18.236,14.816,11.566,9.277,7.747,5.817,3.485,2.098,1.755,1.368,0.938,0.463,0.575
2021,326.8,330.325,329.874,330.064,330.787,331.935,333.354,334.89,336.663,338.655,340.622,342.317,343.766,344.191,343.171,340.955,338.532,336.091,331.771,324.869,316.389,307.955,299.14,291.959,287.546,285.004,282.5,280.641,278.32,274.879,271.092,268.03,265.048,264.863,268.796,275.369,281.511,287.516,293.126,297.8,301.454,305.107,309.232,309.318,303.436,293.811,284.328,273.893,266.378,264.003,264.846,264.759,264.561,263.532,260.894,257.152,253.515,249.654,245.627,241.555,237.236,232.566,227.828,221.552,213.082,203.221,193.151,182.303,173.091,166.729,161.944,156.611,151.59,143.894,131.962,117.439,103.55,89.67,77.249,67.341,59.273,51.198,43.346,36.754,31.709,27.825,24.383,21.675,18.984,15.916,12.682,9.779,7.868,6.549,4.896,2.907,1.854,1.449,0.994,0.489,0.6
2022,318.86,320.503,327.813,328.187,328.937,329.996,331.292,332.668,333.961,335.558,337.572,339.66,341.364,342.773,343.032,341.669,338.993,336.127,333.251,328.501,321.191,312.341,303.556,294.396,287.046,282.717,280.436,278.205,276.648,274.662,271.57,268.136,265.452,262.873,263.018,267.161,273.863,280.136,286.255,291.984,296.797,300.597,304.369,308.591,308.755,302.93,293.339,283.875,273.448,265.896,263.424,264.13,263.892,263.523,262.336,259.574,255.723,251.96,247.962,243.771,239.494,234.941,230.036,225.066,218.538,209.79,199.64,189.295,178.191,168.73,162.128,157.125,151.596,146.389,138.621,126.782,112.463,98.788,85.152,72.958,63.225,55.301,47.401,39.744,33.334,28.447,24.708,21.379,18.891,16.434,13.603,10.554,7.997,6.463,5.354,3.977,2.329,1.532,1.052,0.516,0.623
2023,310.375,314.14,317.667,325.366,326.565,327.876,329.27,330.716,332.048,333.099,334.52,336.555,338.764,340.478,341.847,341.942,340.234,337.098,333.788,330.477,325.296,317.576,308.353,299.216,289.71,282.189,277.944,275.923,273.964,272.709,271.058,268.313,265.233,262.926,260.75,261.225,265.579,272.411,278.816,285.051,290.899,295.853,299.8,303.692,308.011,308.253,302.484,292.926,283.479,273.057,265.466,262.898,263.466,263.078,262.536,261.191,258.305,254.346,250.454,246.32,241.962,237.48,232.691,227.552,222.348,215.566,206.539,196.097,185.476,174.113,164.403,157.559,152.335,146.61,141.215,133.374,121.625,107.508,94.045,80.65,68.68,59.12,51.34,43.612,36.15,29.92,25.189,21.596,18.378,16.109,13.887,11.292,8.428,6.216,5.058,4.16,3.058,1.752,1.111,0.543,0.648
2024,303.072,308.36,313.061,317.209,322.883,324.907,326.779,328.508,330.104,331.392,332.2,333.446,335.503,337.832,339.556,340.885,340.814,338.762,335.167,331.413,327.666,322.054,313.926,304.332,294.843,284.991,277.3,273.138,271.379,269.692,268.74,267.424,265.026,262.3,260.371,258.599,259.403,263.968,270.929,277.466,283.816,289.782,294.876,298.97,302.982,307.398,307.718,302.005,292.481,283.052,272.636,265.007,262.343,262.773,262.235,261.521,260.019,257.008,252.94,248.922,244.65,240.128,235.439,230.416,225.043,219.605,212.57,203.265,192.532,181.635,170.015,160.056,152.971,147.528,141.606,136.024,128.111,116.453,102.54,89.29,76.138,64.393,55.007,47.371,39.816,32.55,26.501,21.927,18.481,15.373,13.324,11.338,8.979,6.299,4.434,3.652,2.965,2.139,1.175,0.571,0.676
