year,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
2015,741.267,756.635,770.36,782.712,793.956,804.361,814.196,823.726,833.221,842.948,851.972,859.357,871.387,890.736,914.062,935.45,956.205,971.412,978.063,978.331,979.041,980.797,974.961,958.552,936.294,915.237,893.19,881.721,887.059,903.964,920.157,937.118,957.294,980.357,1005.172,1030.847,1057.458,1080.712,1098.338,1111.709,1124.125,1134.517,1143.358,1151.077,1156.819,1159.814,1160.837,1155.508,1141.769,1121.854,1099.695,1074.068,1049.037,1026.881,1005.475,981.299,956.123,924.21,882.697,834.971,787.551,739.452,693.414,651.564,612.927,574.22,535.884,501.039,470.845,444.226,418.54,393.821,371.49,351.829,333.964,317.02,301.509,283.794,262.083,238.038,215.148,192.757,171.676,152.675,135.298,118.424,102.394,87.171,72.662,59.093,44.785,33.384,27.616,21.173,14.055,10.042,8.51,6.81,4.942,2.906,5.311
2016,731.257,742.896,757.249,770.333,782.352,793.512,804.082,814.331,824.147,833.61,843.114,852.042,859.397,871.399,890.722,914.026,935.392,956.117,971.324,978.019,978.358,979.126,980.937,975.126,958.695,936.378,915.255,893.129,881.554,886.755,903.497,919.512,936.28,956.243,979.07,1003.63,1029.039,1055.372,1078.352,1095.717,1108.832,1120.986,1131.114,1139.679,1147.107,1152.547,1155.24,1155.954,1150.336,1136.34,1116.187,1093.789,1067.939,1042.638,1020.136,998.343,973.797,948.248,916.035,874.334,826.496,778.952,730.724,684.57,642.617,603.876,565.061,526.623,491.597,461.106,434.112,408.071,383.03,360.308,340.159,321.769,304.352,288.395,270.415,248.699,224.849,202.203,180.126,159.475,141.022,124.298,107.855,92.826,78.993,65.326,52.004,39.03,29.413,24.257,18.514,12.183,9.262,7.402,5.373,3.174,5.864
2017,723.796,738.74,744.328,757.662,770.099,781.783,792.856,803.588,814.248,824.347,833.775,843.054,851.885,859.208,871.178,890.47,913.745,935.082,955.773,970.975,977.714,978.122,978.949,980.814,975.029,958.58,936.212,915.028,892.829,881.151,886.213,902.788,918.62,935.191,954.935,977.519,1001.817,1026.954,1053.003,1075.702,1092.8,1105.657,1117.545,1127.405,1135.692,1142.826,1147.965,1150.355,1150.759,1144.853,1130.604,1110.217,1087.587,1061.52,1035.956,1013.114,990.94,966.031,940.115,907.609,865.732,817.795,770.138,721.794,675.538,633.492,594.657,555.746,517.214,482.018,451.238,423.875,397.487,372.129,349.023,328.39,309.48,291.594,275.197,256.955,235.24,211.592,189.197,167.44,147.223,129.325,113.259,97.251,83.228,70.79,57.968,44.898,33.26,25.432,20.89,15.848,10.307,8.051,5.846,3.472,6.489
2018,717.558,729.853,741.452,745.588,757.9,769.688,781.034,792.017,802.908,813.978,824.357,833.748,842.8,851.531,858.82,870.756,890.012,913.254,934.558,955.208,970.403,977.184,977.661,978.547,980.465,974.707,958.245,935.829,914.59,892.323,880.545,885.468,901.87,917.516,933.887,953.407,975.742,999.774,1024.633,1050.391,1072.804,1089.632,1102.226,1113.846,1123.436,1131.444,1138.283,1143.117,1145.204,1145.299,1139.106,1124.607,1103.991,1081.133,1054.856,1029.034,1005.858,983.308,958.04,931.764,898.974,856.93,808.904,761.147,712.697,666.349,624.221,585.301,546.301,507.686,472.326,441.265,413.54,386.811,361.142,337.656,316.545,297.12,278.768,261.933,243.435,221.726,198.286,176.146,154.713,134.937,117.597,102.192,86.624,73.609,62.569,50.595,37.78,27.482,21.444,17.518,13.179,8.428,6.39,3.81,7.182
2019,710.558,720.356,730.19,740.074,746.749,758.038,769.176,780.181,791.073,802.122,813.6,824.259,833.611,842.434,851.064,858.319,870.219,889.437,912.642,933.91,954.518,969.703,976.524,977.071,978.015,979.987,974.257,957.784,935.324,914.031,891.699,879.823,884.605,900.834,916.291,932.46,951.754,973.838,997.6,1022.177,1047.64,1069.765,1086.321,1098.651,1110.001,1119.32,1127.047,1133.59,1138.12,1139.903,1139.688,1133.21,1118.463,1097.62,1074.538,1048.054,1021.978,998.471,975.548,949.926,923.292,890.222,848.017,799.909,752.057,703.509,657.075,614.87,575.87,536.787,498.093,462.575,431.236,403.152,376.086,350.11,326.248,304.661,284.723,265.908,248.639,229.886,208.187,184.956,163.075,141.97,122.636,105.857,91.115,75.989,63.984,54.342,43.219,30.659,21.703,17.455,14.144,10.509,6.549,4.206,7.941
2020,701.39,709.879,718.811,728.143,737.829,747.827,758.091,768.578,779.243,790.042,801.248,813.132,824.068,833.382,841.975,850.504,857.723,869.586,888.764,911.93,933.159,953.722,968.896,975.757,976.373,977.375,979.4,973.699,957.216,934.714,913.371,890.977,879.003,883.645,899.698,914.965,930.93,949.995,971.826,995.316,1019.609,1044.775,1066.609,1082.89,1094.956,1106.034,1115.082,1122.527,1128.773,1132.999,1134.478,1133.954,1127.191,1112.197,1091.132,1067.828,1041.139,1014.812,990.976,967.684,941.71,914.723,881.376,839.015,790.829,742.889,694.247,647.733,605.455,566.381,527.218,488.45,452.778,421.165,392.726,365.325,339.045,314.809,292.75,272.301,253.026,235.324,216.319,194.631,171.613,149.993,129.218,110.327,94.111,80.033,65.35,54.356,46.113,35.841,23.539,15.924,13.465,10.77,7.838,4.669,8.766
2021,690.074,701.081,709.969,719.142,728.582,738.272,748.167,758.226,768.557,779.195,790.045,801.251,813.11,824.029,833.332,841.922,850.445,857.654,869.524,888.735,911.947,933.215,953.814,968.993,975.811,976.349,977.267,979.195,973.389,956.799,934.183,912.71,890.173,878.038,882.496,898.347,913.402,929.143,947.974,969.562,992.8,1016.831,1041.723,1063.28,1079.281,1091.062,1101.846,1110.591,1117.722,1123.643,1127.532,1128.668,1127.795,1120.67,1105.299,1083.844,1060.154,1033.086,1006.362,982.106,958.385,931.99,904.576,870.87,828.253,779.878,731.746,682.928,636.204,593.655,554.271,514.822,475.787,439.843,407.951,379.238,351.606,325.161,300.738,278.441,257.765,238.339,220.525,201.672,180.511,158.289,137.131,117.446,100.294,84.9,70.836,57.401,47.935,40.529,31.356,20.416,15.024,12.065,8.794,5.212,9.653
2022,676.809,686.818,700.706,709.992,719.405,728.953,738.645,748.437,758.289,768.464,779.073,789.973,801.178,813.012,823.911,833.203,841.79,850.307,857.503,869.379,888.622,911.879,933.183,953.817,968.999,975.772,976.233,977.066,978.897,972.987,956.291,933.563,911.962,889.285,876.99,881.264,896.911,911.752,927.267,945.862,967.205,990.189,1013.955,1038.572,1059.848,1075.567,1087.062,1097.551,1105.992,1112.809,1118.403,1121.955,1122.748,1121.527,1114.041,1098.293,1076.451,1052.375,1024.93,997.813,973.139,948.99,922.176,894.339,860.277,817.408,768.847,720.528,671.539,624.611,581.794,542.104,502.372,463.072,426.86,394.692,365.708,337.848,311.239,286.631,264.1,243.197,223.621,205.698,186.998,166.368,144.943,124.25,105.657,90.246,75.677,61.628,49.442,41.506,34.938,26.866,17.29,13.544,9.892,5.825,10.608
2023,662.722,674.536,686.017,700.239,709.923,719.575,729.23,738.922,748.61,758.253,768.27,778.85,789.798,801.001,812.808,823.686,832.966,841.547,850.057,857.242,869.121,888.393,911.692,933.03,953.695,968.878,975.607,975.989,976.738,978.472,972.459,955.659,932.821,911.095,888.281,875.827,879.916,895.357,909.982,925.27,943.627,964.722,987.448,1010.947,1035.285,1056.277,1071.713,1082.921,1093.112,1101.249,1107.751,1113.017,1116.232,1116.681,1115.111,1107.264,1091.142,1068.915,1044.458,1016.639,989.132,964.042,939.47,912.241,883.982,849.57,806.454,757.714,709.214,660.06,612.933,569.853,529.862,489.854,450.294,413.818,381.379,352.127,324.043,297.273,272.484,249.72,228.594,208.871,190.84,172.297,152.199,131.575,111.35,93.851,80.184,66.441,52.409,41.475,35.071,29.341,22.371,14.161,11.074,6.493,11.672
2024,649.444,662.648,675.156,687.045,699.626,709.705,719.594,729.353,739.044,748.626,758.058,767.916,778.464,789.458,800.656,812.433,823.288,832.554,841.129,849.63,856.8,868.681,887.979,911.314,932.681,953.373,968.555,975.237,975.541,976.205,977.841,971.726,954.826,931.884,910.037,887.091,874.481,878.384,893.616,908.022,923.079,941.194,962.036,984.501,1007.727,1031.78,1052.486,1067.634,1078.552,1088.444,1096.274,1102.46,1107.398,1110.274,1110.379,1108.461,1100.256,1083.762,1061.156,1036.323,1008.136,980.244,954.745,929.754,902.114,873.441,838.685,795.331,746.423,697.752,648.443,601.127,557.794,517.511,477.233,437.423,400.69,367.986,338.473,310.17,283.246,258.28,235.289,213.944,194.079,175.943,157.56,137.999,118.18,98.427,82.026,70.106,57.192,43.18,33.499,28.628,23.738,17.871,11.029,7.19,12.899
