Country,cpi11,cpi_sy,cpi22,ppp11,usd,iff2014,iff2005_2014,govrev2022,nationalpline,gdp2022,gdpgrowth,currency,steps
Armenia,179.744,215.749,254.119,165.63,525.2204718,1296.21568,10046.74874,23.396,"44,482.00",8037.952,0.042846,AMD,100
Bangladesh,146.751,206.427,287.477,24.73,87.26113888,8972.02039,75149.03204,9.231,"2,268.00",39764.622,0.0658,BDT,10
Bhutan,150.003,224.918,299.473,17.04,74.0125,0,328.3421169,24.935,"2,634.20",200.153,0.053974,BTN,10
Cambodia,143.838,177.432,197.777,1493.25,4154.16748,46.52009466,1093.29039,23.113,"173,000.00",118982.174,0.064692,KHR,"1,000"
Cook Islands,94,99.9,101.707,1.589,1.517909432,,,26.06,559.6758,0.5754,0.022735133,NZD,10
Georgia,108.543,114.665,171.951,0.84,3.297036441,1486.808603,15266.53046,25.543,141.27,73.497,0.049592,GEL,1
India,99.075,99.075,185.866,15.28,74.9175638,21103.68317,183654.5462,19.033,912.15,273322.996,0.064694,INR,10
Indonesia,71.943,96.813,111.481,3892.22,14176.8721,13922.44043,173773.7804,14.627,"375,013.50",18987952.55,0.052028,IDR,"5,000"
Kiribati,126.74,125.538,139.932,1.066,1.294372294,0,42.78801821,106.79,86.86,0.292,0.02322,AUD,1
Kyrgyzstan,116.636,153.931,210.332,16.3,87.14230254,0,1075.968017,34.623,"2,722.90",852.646,0.0373,KGS,10
Lao,85.259,104.225,135.048,3124.08,9697.92,,,14.024,"280,910.00",212596.097,0.038498,LAK,"1,000"
Maldives,78.463,99.505,102.317,8.81,15.40873016,488.5104767,1469.583376,27.609,"2,364.37",90.92,0.058598,MVR,10
Marshall Islands,141.591,147.561,160.035,1.08,1,,,61.558,177.41,0.271,0.020098,USD,1
Micronesia,127.749,117.66,143.736,1,1,,,67.483,155.82,0.428,0.01,USD,0.5
Mongolia,66.7,112.258,153.596,580.64,2912.564533,129.1483927,1345.356366,35.33,"153,985.50",50167.666,0.057,MNT,"1,000"
Myanmar,95.82,116.026,193.994,278.39,1381.62,,,14.027,"37,707.29",117559.716,0.033576,MMK,"1,000"
Nepal,71.888,100.006,146.229,25.74,117.1714056,0,5248.44345,23.963,"2,446.47",4737.184,0.05176,NPR,10
Pakistan,72.873,98.602,158.481,25.5,158.7779368,23.25860109,4011.113073,12.064,"2,954.01",66949.907,0.0446,PKR,10
Philippines,82.6,102.375,114.732,18.77,49.59997318,7639.724658,88732.19078,20.27,"1,750.00",21685.346,0.057926,PHP,10
Sri Lanka,88.9,111.692,212.55,42.99,191.5921899,915.6968994,16606.47042,8.782,"4,166.00",23843.073,0.01442,LKR,50
Thailand,91.65,99.297,106.721,12.76,30.15426694,17574.1376,144960.2925,20.047,"2,700.00",17325.994,0.033622,THB,10
Turkey,189.946,418.236,972.295,1.15,7.583775314,12292.47266,124008.9817,29.065,641.51,14291.037,0.030058,TRY,10
Viet Nam,198.341,248.051,298.097,7528.39,23805.1476,12203.80869,88916.85676,16.638,"969,167.00",9324758.279,0.065952,VND,"5,000"
